year,LA_2023,disability_group,inactive_rate,fairly_active_rate,active_rate,n,weighted_n,n_eff
1,8.0,limiting_disability,0.4041214332269704,0.10334833952346632,0.49253022724956325,173,102.96947076563858,90.68906546868314
1,8.0,non_limiting_disability,0.2449798246708574,0.15413344180433933,0.6008867335248027,119,88.12078224630643,62.88389776984915
1,8.0,no_disability,0.29221358680925885,0.11749943938054913,0.590286973810192,659,428.90101899912935,356.9668425443477
1,8.0,disty1,0.3911000944710111,0.12021264834851561,0.4886872571804734,95,53.92070275146787,47.86597871824174
1,8.0,disty2,0.4839929330870524,0.057511684471581434,0.4584953824413661,63,33.52241618685897,35.34737766674026
1,8.0,disty3,0.43592097515773787,0.11852132824337958,0.44555769659888267,97,55.12534872538064,50.59846713031712
1,8.0,disty4,0.3669477719482214,0.05041238918509312,0.5826398388666852,22,9.236238320166795,11.003233466942216
1,8.0,disty5,0.37963525681102617,0.11318455093946582,0.5071801922495082,49,34.853363129669816,25.66010917566734
1,8.0,disty6,0.3545244518557676,0.31664866794944707,0.32882688019478523,13,6.149831034807063,7.461895275353605
1,8.0,disty7,0.43809030784781644,0.10351968850442377,0.45839000364775956,60,26.790567094478636,32.079422630218986
1,8.0,disty8,0.4521306845285667,0.17016175045266768,0.3777075650187658,26,11.86595415817393,15.406647708743128
1,8.0,disty9,0.595817413607569,0.06238495892966872,0.3417976274627624,24,8.25831690810735,15.105555007428139
1,8.0,disty10,0.2576483668799592,0.0,0.7423516331200409,8,4.5994674865964456,1.9016233273971692
1,8.0,disty11,0.6955634802743123,0.3044365197256878,0.0,4,0.8357933975196831,3.665318761180147
1,8.0,disty12,0.47115297046724064,0.1183779304586125,0.41046909907414686,20,14.907216998630993,10.012863993492939
1,8.0,disty13,0.4436607774443484,0.14436871968993972,0.41197050286571185,20,8.678723634429437,12.90943296257089
1,9.0,limiting_disability,0.445133018440695,0.1642857442032436,0.3905812373560614,128,187.96916139969142,87.97023486531145
1,9.0,non_limiting_disability,0.16235560455152684,0.16057819374536292,0.6770662017031104,146,187.02664500244987,96.47206253057574
1,9.0,no_disability,0.1886760111722371,0.17996542590610742,0.6313585629216555,668,885.9974770798794,336.35885584311904
1,9.0,disty1,0.5033770998459861,0.10988809892569987,0.38673480122831394,60,88.20937723277886,38.667565370370944
