year,LA_2023,disability_group,activity,participation_MONTHS_12,second_activity,second_participation_MONTHS_12,ranking_margin,top_two_tied,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
9,107,disty1,ACTTRAV_C03,0.6634936032148367,WALKTRAV_B02,0.6436953277399665,0.01979827547487023,False,8,1,44.5,28,0.125,False,False,False
9,107,disty10,ACTTRAV_C03,0.6496466854274049,WALKTRAV_B02,0.635498753483625,0.014147931943779946,False,8,8,5.5,1,1.0,True,False,True
9,107,disty11,ACTTRAV_C03,0.6227353768496954,WALKTRAV_B02,0.6085874449059154,0.014147931943779946,False,7,7,5.0,1,1.0,True,True,True
9,107,disty12,ACTTRAV_C03,0.677281358300014,WALKTRAV_B02,0.6631334263562341,0.014147931943779946,False,8,8,9.5,3,1.0,True,False,True
9,107,disty13,ACTTRAV_C03,0.7003858879113669,WALKTRAV_B02,0.686237955967587,0.014147931943779946,False,8,8,7.0,4,1.0,True,False,True
9,107,disty2,ACTTRAV_C03,0.6700639529128054,WALKTRAV_B02,0.6559160209690255,0.014147931943779946,False,8,4,33.0,18,0.5,True,False,True
9,107,disty3,ACTTRAV_C03,0.6312190010339431,WALKTRAV_B02,0.6133378629708501,0.017881138063092994,False,8,2,44.0,25,0.25,False,False,False
9,107,disty4,ACTTRAV_C03,0.6333162883880844,WALKTRAV_B02,0.6191683564443046,0.014147931943779835,False,8,8,13.0,8,1.0,True,False,True
9,107,disty5,ACTTRAV_C03,0.6918353019164994,WALKTRAV_B02,0.6776873699727196,0.014147931943779835,False,8,3,35.0,20,0.375,False,False,False
9,107,disty6,ACTTRAV_C03,0.6094565511162287,WALKTRAV_B02,0.5953086191724487,0.014147931943779946,False,8,8,7.0,2,1.0,True,False,True
9,107,disty7,ACTTRAV_C03,0.6412676445734485,WALKTRAV_B02,0.6271197126296686,0.014147931943779946,False,8,4,25.5,16,0.5,True,False,True
9,107,disty8,ACTTRAV_C03,0.6411582269509586,WALKTRAV_B02,0.6270102950071786,0.014147931943779946,False,8,8,16.0,7,1.0,True,False,True
9,107,disty9,ACTTRAV_C03,0.6119259972564809,WALKTRAV_B02,0.5977780653127008,0.014147931943780057,False,8,8,14.5,4,1.0,True,False,True
9,107,limiting_disability,ACTTRAV_C03,0.6676156773679034,WALKTRAV_B02,0.651998178086309,0.015617499281594394,False,8,0,87.5,57,0.0,False,False,False
9,107,no_disability,ACTTRAV_C03,0.7208639395870364,WALKTRAV_B02,0.7006454257279492,0.02021851385908724,False,8,0,325.5,300,0.0,False,False,False
9,107,non_limiting_disability,ACTTRAV_C03,0.7263649085664458,WALKTRAV_B02,0.709619383258984,0.01674552530746176,False,8,0,88.0,60,0.0,False,False,False
9,109,disty1,ACTTRAV_C03,0.662174348911547,WALKTRAV_B02,0.636788530289739,0.025385818621808,False,8,2,38.0,23,0.25,False,False,False
9,109,disty10,ACTTRAV_C03,0.6988145054388165,WALKTRAV_B02,0.6666833497540874,0.03213115568472913,False,8,8,5.5,1,1.0,True,False,True
9,109,disty11,ACTTRAV_C03,0.6850409435003625,WALKTRAV_B02,0.6708930115565824,0.014147931943780057,False,8,8,4.0,2,1.0,True,False,True
9,109,disty12,ACTTRAV_C03,0.7038024410159747,WALKTRAV_B02,0.6710781515120467,0.03272428950392792,False,8,8,11.5,2,1.0,True,False,True
9,109,disty13,ACTTRAV_C03,0.731028676956398,WALKTRAV_B02,0.6551484830163766,0.07588019394002132,False,8,8,7.0,2,1.0,True,False,True
9,109,disty2,ACTTRAV_C03,0.6575181933108637,WALKTRAV_B02,0.6249132775486231,0.03260491576224056,False,8,4,29.5,16,0.5,True,False,True
9,109,disty3,ACTTRAV_C03,0.6427057384127363,WALKTRAV_B02,0.6239456934770484,0.018760044935687836,False,8,2,35.5,24,0.25,False,False,False
9,109,disty4,ACTTRAV_C03,0.6901426019908742,WALKTRAV_B02,0.6461372696366369,0.044005332354237314,False,8,8,12.0,5,1.0,True,False,True
9,109,disty5,ACTTRAV_C03,0.7159760099485393,WALKTRAV_B02,0.6899166544178914,0.026059355530647865,False,8,3,31.5,16,0.375,False,False,False
9,109,disty6,ACTTRAV_C03,0.6805237377484167,WALKTRAV_B02,0.6663758058046368,0.014147931943779835,False,8,8,7.0,3,1.0,True,False,True
9,109,disty7,ACTTRAV_C03,0.6384509979981562,WALKTRAV_B02,0.6243030660543761,0.014147931943780057,False,8,8,17.0,14,1.0,True,False,True
9,109,disty8,ACTTRAV_C03,0.6609096806398916,WALKTRAV_B02,0.6467617486961116,0.014147931943780057,False,8,8,14.0,10,1.0,True,False,True
9,109,disty9,ACTTRAV_C03,0.6841336691383967,WALKTRAV_B02,0.6699857371946166,0.014147931943780057,False,8,8,8.5,1,1.0,True,False,True
9,109,limiting_disability,ACTTRAV_C03,0.6863656504933381,WALKTRAV_B02,0.6650365477102254,0.02132910278311273,False,8,0,65.5,49,0.0,False,False,False
9,109,no_disability,ACTTRAV_C03,0.751858549327948,WALKTRAV_B02,0.7326314327760964,0.01922711655185161,False,8,0,328.0,302,0.0,False,False,False
9,109,non_limiting_disability,ACTTRAV_C03,0.756363043026542,WALKTRAV_B02,0.7278654540047603,0.028497589021781677,False,8,0,73.0,59,0.0,False,False,False
9,112,disty1,ACTTRAV_C03,0.6666469644579976,WALKTRAV_B02,0.6395271828633305,0.027119781594667103,False,8,2,35.0,26,0.25,False,False,False
9,112,disty10,ACTTRAV_C03,0.7010653248638916,WALKTRAV_B02,0.6600036659139639,0.04106165894992775,False,6,6,3.5,1,1.0,True,True,True
9,112,disty11,ACTTRAV_C03,0.5484402789760646,WALKTRAV_B02,0.5342923470322847,0.014147931943779946,False,6,6,2.5,1,1.0,True,True,True
9,112,disty12,ACTTRAV_C03,0.6719822102001878,WALKTRAV_B02,0.6519504311263812,0.0200317790738066,False,7,7,10.0,3,1.0,True,True,True
9,112,disty13,ACTTRAV_C03,0.7297191634386684,WALKTRAV_B02,0.7155712314948884,0.014147931943779946,False,7,7,5.0,3,1.0,True,True,True
9,112,disty2,ACTTRAV_C03,0.6908836899169944,WALKTRAV_B02,0.6767357579732145,0.014147931943779946,False,8,7,24.5,22,0.875,True,False,True
9,112,disty3,ACTTRAV_C03,0.6355369262600254,WALKTRAV_B02,0.6188257123605313,0.01671121389949415,False,8,0,32.5,31,0.0,False,False,False
9,112,disty4,ACTTRAV_C03,0.7353374413486957,WALKTRAV_B02,0.7211895094049158,0.014147931943779946,False,8,8,9.0,7,1.0,True,False,True
9,112,disty5,ACTTRAV_C03,0.6925005056527284,WALKTRAV_B02,0.6696528555042013,0.022847650148527077,False,8,7,21.0,8,0.875,True,False,True
9,112,disty6,ACTTRAV_C03,0.6917147922558372,WALKTRAV_B02,0.6775668603120573,0.014147931943779946,False,8,8,6.0,3,1.0,True,False,True
9,112,disty7,ACTTRAV_C03,0.6479657708875982,WALKTRAV_B02,0.6064557993948061,0.04150997149279212,False,8,8,18.0,12,1.0,True,False,True
9,112,disty8,ACTTRAV_C03,0.6136346258536995,WALKTRAV_B02,0.5958576019411398,0.017777023912559753,False,8,8,6.0,4,1.0,True,False,True
9,112,disty9,ACTTRAV_C03,0.680396788782656,WALKTRAV_B02,0.648212855717431,0.032183933065224934,False,8,8,6.0,3,1.0,True,False,True
9,112,limiting_disability,ACTTRAV_C03,0.6850051482309432,WALKTRAV_B02,0.6637429706875915,0.02126217754335169,False,8,0,62.5,60,0.0,False,False,False
9,112,no_disability,ACTTRAV_C03,0.7552578639597817,WALKTRAV_B02,0.7339584735189955,0.021299390440786214,False,8,0,337.0,320,0.0,False,False,False
9,112,non_limiting_disability,ACTTRAV_C03,0.7451274487441634,WALKTRAV_B02,0.7300007798852514,0.015126668858912007,False,8,0,66.0,55,0.0,False,False,False
9,114,disty1,ACTTRAV_C03,0.6720024516496056,WALKTRAV_B02,0.6578545197058256,0.014147931943779946,False,8,2,37.0,20,0.25,False,False,False
9,114,disty10,ACTTRAV_C03,0.7356954919734248,WALKTRAV_B02,0.7215475600296448,0.014147931943779946,False,7,7,4.0,2,1.0,True,True,True
9,114,disty11,ACTTRAV_C03,0.626914141890692,WALKTRAV_B02,0.6127662099469121,0.014147931943779835,False,6,6,3.0,1,1.0,True,True,True
9,114,disty12,ACTTRAV_C03,0.6990625110183032,WALKTRAV_B02,0.6797070585819488,0.019355452436354392,False,8,8,8.0,2,1.0,True,False,True
9,114,disty13,ACTTRAV_C03,0.7507978104162958,WALKTRAV_B02,0.7366498784725158,0.014147931943779946,False,8,8,6.0,3,1.0,True,False,True
9,114,disty2,ACTTRAV_C03,0.679521441023116,WALKTRAV_B02,0.6653735090793361,0.014147931943779835,False,8,3,30.5,20,0.375,False,False,False
9,114,disty3,ACTTRAV_C03,0.6471003443329842,WALKTRAV_B02,0.6329524123892043,0.014147931943779946,False,8,2,38.0,19,0.25,False,False,False
9,114,disty4,ACTTRAV_C03,0.5981642298754675,WALKTRAV_B02,0.5840162979316875,0.014147931943779946,False,8,8,10.5,5,1.0,True,False,True
9,114,disty5,ACTTRAV_C03,0.703686932218021,WALKTRAV_B02,0.6820505146518375,0.021636417566183508,False,8,3,30.5,14,0.375,False,False,False
