LA_2023,age_group,activity_suffix,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,16-24,ABSEILING_H03,8,1,35.0,27,0.125,False,False,False
107,16-24,ACTTRAV_C03,8,1,35.0,27,0.125,False,False,False
107,16-24,AIKIDO_S04,8,3,33.0,24,0.375,False,False,False
107,16-24,AIRGUN_S08,8,3,33.0,24,0.375,False,False,False
107,16-24,ARCHERY_J01,8,1,35.0,27,0.125,False,False,False
107,16-24,BADMINTON_G02,8,1,35.0,27,0.125,False,False,False
107,16-24,BASESOFTBALL_F13,8,1,35.0,27,0.125,False,False,False
107,16-24,BASKETBALL_F07,8,1,35.0,27,0.125,False,False,False
107,16-24,BOCCIA_L11,8,1,35.0,27,0.125,False,False,False
107,16-24,BOULES_L12,8,1,35.0,27,0.125,False,False,False
107,16-24,BOWLSBOULES_C12,8,1,35.0,27,0.125,False,False,False
107,16-24,BOWLSCARPET_U18,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSCROWNGREEN_U19,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSFLATGREEN_U20,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSSHORTMAT_U23,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLS_L10,8,1,35.0,27,0.125,False,False,False
107,16-24,BOXINGTRAD_S01,8,1,35.0,27,0.125,False,False,False
107,16-24,CAVING_H02,8,1,35.0,27,0.125,False,False,False
107,16-24,CHEERLEADING_L15,8,1,35.0,27,0.125,False,False,False
107,16-24,CLIMBWALL_R02,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETLONG_Q06,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETOTH_Q12,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETSHORT_Q07,8,3,33.0,24,0.375,False,False,False
107,16-24,CROQUET_I05,8,1,35.0,27,0.125,False,False,False
107,16-24,CYCBMX_N03,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCCROSS_N06,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCLEISURE_N01,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCMOUNTAIN_N02,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCROAD_N04,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCTRACK_N05,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCTRAV_B04,8,1,35.0,27,0.125,False,False,False
107,16-24,CYC_OLD_M02,8,1,35.0,27,0.125,False,False,False
107,16-24,DANCEART_B05,8,1,35.0,27,0.125,False,False,False
107,16-24,DANCEOTHER_O01,8,1,35.0,27,0.125,False,False,False
107,16-24,DARTS_I08,8,1,35.0,27,0.125,False,False,False
107,16-24,DIVING_U05,8,3,33.0,24,0.375,False,False,False
107,16-24,DODGEBALL_F12,8,1,35.0,27,0.125,False,False,False
107,16-24,DRIVINGRANGE_U10,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTDRESSAGE_U15,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTEVENTING_U16,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTHACKING_U12,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTOTHER_U17,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTSCHOOLING_U13,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTSHOWJUMP_U14,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUEST_L09,8,1,35.0,27,0.125,False,False,False
107,16-24,FELLRUNNING_L04,8,1,35.0,27,0.125,False,False,False
107,16-24,FENCING_J03,8,1,35.0,27,0.125,False,False,False
107,16-24,FOOTBALL11_Q01,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLOTHER_Q05,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLSMALL_Q02,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLWALK_Q04,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALL_F01,8,1,35.0,27,0.125,False,False,False
107,16-24,FRISBEE_I03,8,1,35.0,27,0.125,False,False,False
107,16-24,FUTSAL_Q03,8,3,33.0,24,0.375,False,False,False
107,16-24,GARDENTRAMP_L14,8,1,35.0,27,0.125,False,False,False
107,16-24,GARD_B08,8,1,35.0,27,0.125,False,False,False
107,16-24,GLIDING_H08,8,1,35.0,27,0.125,False,False,False
