LA_2023,age_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,16-24,8,1,35.0,27,0.125,False,False,False
107,25-34,8,0,118.5,99,0.0,False,False,False
107,35-44,8,0,119.0,98,0.0,False,False,False
107,45-54,8,0,99.5,81,0.0,False,False,False
107,55-64,8,0,77.0,59,0.0,False,False,False
107,65-74,8,0,58.5,42,0.0,False,False,False
107,75-84,8,5,23.5,16,0.625,True,False,True
107,85+,8,8,7.5,2,1.0,True,False,True
109,16-24,8,0,44.5,31,0.0,False,False,False
109,25-34,8,0,143.5,103,0.0,False,False,False
109,35-44,8,0,106.0,86,0.0,False,False,False
109,45-54,8,0,83.5,70,0.0,False,False,False
109,55-64,8,0,59.0,51,0.0,False,False,False
109,65-74,8,0,42.5,33,0.0,False,False,False
109,75-84,8,8,17.5,11,1.0,True,False,True
109,85+,8,8,3.0,1,1.0,True,False,True
112,16-24,8,0,47.0,31,0.0,False,False,False
112,25-34,8,0,105.0,98,0.0,False,False,False
112,35-44,8,0,96.0,72,0.0,False,False,False
112,45-54,8,0,88.5,75,0.0,False,False,False
112,55-64,8,0,72.0,63,0.0,False,False,False
112,65-74,8,0,56.5,49,0.0,False,False,False
112,75-84,8,4,29.5,24,0.5,True,False,True
112,85+,8,8,6.5,3,1.0,True,False,True
114,16-24,8,0,46.0,34,0.0,False,False,False
114,25-34,8,0,91.5,80,0.0,False,False,False
114,35-44,8,0,108.0,90,0.0,False,False,False
114,45-54,8,0,92.5,82,0.0,False,False,False
114,55-64,8,0,79.0,70,0.0,False,False,False
114,65-74,8,0,61.0,51,0.0,False,False,False
114,75-84,8,5,25.5,15,0.625,True,False,True
114,85+,8,8,4.5,3,1.0,True,False,True
117,16-24,8,0,46.5,30,0.0,False,False,False
117,25-34,8,0,64.5,46,0.0,False,False,False
117,35-44,8,0,99.0,88,0.0,False,False,False
117,45-54,8,0,84.5,74,0.0,False,False,False
117,55-64,8,0,81.0,69,0.0,False,False,False
117,65-74,8,0,71.0,55,0.0,False,False,False
117,75-84,8,2,36.0,29,0.25,False,False,False
117,85+,8,8,11.5,9,1.0,True,False,True
122,16-24,8,7,26.0,19,0.875,True,False,True
122,25-34,8,0,61.5,58,0.0,False,False,False
122,35-44,8,0,89.5,68,0.0,False,False,False
122,45-54,8,0,85.5,68,0.0,False,False,False
122,55-64,8,0,84.5,78,0.0,False,False,False
122,65-74,8,0,98.5,73,0.0,False,False,False
122,75-84,8,0,37.5,30,0.0,False,False,False
122,85+,8,8,13.0,3,1.0,True,False,True
126,16-24,8,0,40.0,31,0.0,False,False,False
126,25-34,8,0,61.5,54,0.0,False,False,False
126,35-44,8,0,104.5,80,0.0,False,False,False
126,45-54,8,0,89.0,72,0.0,False,False,False
126,55-64,8,0,81.5,71,0.0,False,False,False
126,65-74,8,0,66.0,60,0.0,False,False,False
126,75-84,8,1,34.0,24,0.125,False,False,False
126,85+,8,8,8.5,6,1.0,True,False,True
129,16-24,8,0,40.5,36,0.0,False,False,False
129,25-34,8,0,73.5,70,0.0,False,False,False
