LA_2023,disability_group,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,disty1,8,1,44.5,28,0.125,False,False,False
107,disty10,8,8,5.5,1,1.0,True,False,True
107,disty11,7,7,5.0,1,1.0,True,True,True
107,disty12,8,8,9.5,3,1.0,True,False,True
107,disty13,8,8,7.0,4,1.0,True,False,True
107,disty2,8,4,33.0,18,0.5,True,False,True
107,disty3,8,2,44.0,25,0.25,False,False,False
107,disty4,8,8,13.0,8,1.0,True,False,True
107,disty5,8,3,35.0,20,0.375,False,False,False
107,disty6,8,8,7.0,2,1.0,True,False,True
107,disty7,8,4,25.5,16,0.5,True,False,True
107,disty8,8,8,16.0,7,1.0,True,False,True
107,disty9,8,8,14.5,4,1.0,True,False,True
107,limiting_disability,8,0,87.5,57,0.0,False,False,False
107,no_disability,8,0,325.5,300,0.0,False,False,False
107,non_limiting_disability,8,0,88.0,60,0.0,False,False,False
109,disty1,8,2,38.0,23,0.25,False,False,False
109,disty10,8,8,5.5,1,1.0,True,False,True
109,disty11,8,8,4.0,2,1.0,True,False,True
109,disty12,8,8,11.5,2,1.0,True,False,True
109,disty13,8,8,7.0,2,1.0,True,False,True
109,disty2,8,4,29.5,16,0.5,True,False,True
109,disty3,8,2,35.5,24,0.25,False,False,False
109,disty4,8,8,12.0,5,1.0,True,False,True
109,disty5,8,3,31.5,16,0.375,False,False,False
109,disty6,8,8,7.0,3,1.0,True,False,True
109,disty7,8,8,17.0,14,1.0,True,False,True
109,disty8,8,8,14.0,10,1.0,True,False,True
109,disty9,8,8,8.5,1,1.0,True,False,True
109,limiting_disability,8,0,65.5,49,0.0,False,False,False
109,no_disability,8,0,328.0,302,0.0,False,False,False
109,non_limiting_disability,8,0,73.0,59,0.0,False,False,False
112,disty1,8,2,35.0,26,0.25,False,False,False
112,disty10,6,6,3.5,1,1.0,True,True,True
112,disty11,6,6,2.5,1,1.0,True,True,True
112,disty12,7,7,10.0,3,1.0,True,True,True
112,disty13,7,7,5.0,3,1.0,True,True,True
112,disty2,8,7,24.5,22,0.875,True,False,True
112,disty3,8,0,32.5,31,0.0,False,False,False
112,disty4,8,8,9.0,7,1.0,True,False,True
112,disty5,8,7,21.0,8,0.875,True,False,True
112,disty6,8,8,6.0,3,1.0,True,False,True
112,disty7,8,8,18.0,12,1.0,True,False,True
112,disty8,8,8,6.0,4,1.0,True,False,True
112,disty9,8,8,6.0,3,1.0,True,False,True
112,limiting_disability,8,0,62.5,60,0.0,False,False,False
112,no_disability,8,0,337.0,320,0.0,False,False,False
112,non_limiting_disability,8,0,66.0,55,0.0,False,False,False
114,disty1,8,2,37.0,20,0.25,False,False,False
114,disty10,7,7,4.0,2,1.0,True,True,True
114,disty11,6,6,3.0,1,1.0,True,True,True
114,disty12,8,8,8.0,2,1.0,True,False,True
114,disty13,8,8,6.0,3,1.0,True,False,True
114,disty2,8,3,30.5,20,0.375,False,False,False
114,disty3,8,2,38.0,19,0.25,False,False,False
114,disty4,8,8,10.5,5,1.0,True,False,True
114,disty5,8,3,30.5,14,0.375,False,False,False
114,disty6,8,8,7.0,5,1.0,True,False,True
114,disty7,8,7,21.0,7,0.875,True,False,True
114,disty8,8,8,12.5,5,1.0,True,False,True
114,disty9,8,8,10.5,6,1.0,True,False,True
114,limiting_disability,8,0,76.5,47,0.0,False,False,False
114,no_disability,8,0,324.5,273,0.0,False,False,False
114,non_limiting_disability,8,0,81.5,66,0.0,False,False,False
117,disty1,8,3,32.0,23,0.375,False,False,False
117,disty10,8,8,3.0,1,1.0,True,False,True
117,disty11,6,6,2.5,2,1.0,True,True,True
