LA_2023,disability_group,activity,predicted_participation
107,disty1,ACTTRAV_C03,0.6530709715576305
107,disty10,ACTTRAV_C03,0.6251706000684794
107,disty11,ACTTRAV_C03,0.6136669767413246
107,disty12,ACTTRAV_C03,0.6300911183590954
107,disty13,ACTTRAV_C03,0.6185846802067045
107,disty2,ACTTRAV_C03,0.6494320565574851
107,disty3,ACTTRAV_C03,0.6413712432809429
107,disty4,ACTTRAV_C03,0.660114437522351
107,disty5,ACTTRAV_C03,0.6812458688923527
107,disty6,ACTTRAV_C03,0.6019322898272781
107,disty7,ACTTRAV_C03,0.641401514950286
107,disty8,ACTTRAV_C03,0.6370757009161754
107,disty9,ACTTRAV_C03,0.6222170478312172
107,limiting_disability,ACTTRAV_C03,0.6617007827321493
107,no_disability,ACTTRAV_C03,0.7102376451886161
107,non_limiting_disability,ACTTRAV_C03,0.7331585718494559
109,disty1,ACTTRAV_C03,0.694420164404557
109,disty10,ACTTRAV_C03,0.7253936916012218
109,disty11,ACTTRAV_C03,0.7080808053280849
109,disty12,ACTTRAV_C03,0.7210601890076661
109,disty13,ACTTRAV_C03,0.7248346280032416
109,disty2,ACTTRAV_C03,0.6980019521817709
109,disty3,ACTTRAV_C03,0.6711499625725983
109,disty4,ACTTRAV_C03,0.6679297556928057
109,disty5,ACTTRAV_C03,0.7224832230511472
109,disty6,ACTTRAV_C03,0.693982435820191
109,disty7,ACTTRAV_C03,0.6696068358293356
109,disty8,ACTTRAV_C03,0.6801621638785672
109,disty9,ACTTRAV_C03,0.7167403176825242
109,limiting_disability,ACTTRAV_C03,0.7094702014616976
109,no_disability,ACTTRAV_C03,0.7514362328468697
109,non_limiting_disability,ACTTRAV_C03,0.7450871015036185
112,disty1,ACTTRAV_C03,0.685968702095891
112,disty10,ACTTRAV_C03,0.6375397655628288
112,disty11,ACTTRAV_C03,0.5766296310363165
112,disty12,ACTTRAV_C03,0.7205158070696499
112,disty13,ACTTRAV_C03,0.6760141440118349
112,disty2,ACTTRAV_C03,0.6937946070218538
112,disty3,ACTTRAV_C03,0.671998788849621
112,disty4,ACTTRAV_C03,0.6709460427850745
112,disty5,ACTTRAV_C03,0.7237515481907977
112,disty6,ACTTRAV_C03,0.6054872589560039
112,disty7,ACTTRAV_C03,0.6703541205769799
112,disty8,ACTTRAV_C03,0.6529412132304429
112,disty9,ACTTRAV_C03,0.6376377771493213
112,limiting_disability,ACTTRAV_C03,0.709316100115031
112,no_disability,ACTTRAV_C03,0.7433326593792777
112,non_limiting_disability,ACTTRAV_C03,0.7473493451961737
114,disty1,ACTTRAV_C03,0.6705121119654563
114,disty10,ACTTRAV_C03,0.7077036456313298
114,disty11,ACTTRAV_C03,0.6501551174037701
114,disty12,ACTTRAV_C03,0.6947063131791742
114,disty13,ACTTRAV_C03,0.7589134289156846
114,disty2,ACTTRAV_C03,0.6652634512694422
114,disty3,ACTTRAV_C03,0.6612471105102175
114,disty4,ACTTRAV_C03,0.640978142281106
114,disty5,ACTTRAV_C03,0.695557959143155
114,disty6,ACTTRAV_C03,0.68198294377015
114,disty7,ACTTRAV_C03,0.6882843189466454
114,disty8,ACTTRAV_C03,0.6787286455381688
114,disty9,ACTTRAV_C03,0.6761503129860692
114,limiting_disability,ACTTRAV_C03,0.6920240823131932
114,no_disability,ACTTRAV_C03,0.7366939713089258
114,non_limiting_disability,ACTTRAV_C03,0.7540921852932936
117,disty1,ACTTRAV_C03,0.6327731352707902
117,disty10,ACTTRAV_C03,0.5844642652619867
117,disty11,ACTTRAV_C03,0.5531548785266488
117,disty12,ACTTRAV_C03,0.6704718457529744
117,disty13,ACTTRAV_C03,0.6345288388128545
117,disty2,ACTTRAV_C03,0.6474431794623836
117,disty3,ACTTRAV_C03,0.6209221451022406
117,disty4,ACTTRAV_C03,0.6060941919904359
117,disty5,ACTTRAV_C03,0.655046689806444
117,disty6,ACTTRAV_C03,0.5949610462858635
117,disty7,ACTTRAV_C03,0.6070345910475523
117,disty8,ACTTRAV_C03,0.6139363691430452
117,disty9,ACTTRAV_C03,0.6003405135317865
117,limiting_disability,ACTTRAV_C03,0.6551378628580196
117,no_disability,ACTTRAV_C03,0.6841311576094549
117,non_limiting_disability,ACTTRAV_C03,0.6965103986070313
122,disty1,ACTTRAV_C03,0.6120226579790237
122,disty10,ACTTRAV_C03,0.7166817832732431
122,disty11,ACTTRAV_C03,0.689987710527272
122,disty12,ACTTRAV_C03,0.6116574011807594
122,disty13,ACTTRAV_C03,0.6663514044779539
122,disty2,ACTTRAV_C03,0.6247128603180698
122,disty3,ACTTRAV_C03,0.6143198415455685
122,disty4,ACTTRAV_C03,0.6016562521062432
122,disty5,ACTTRAV_C03,0.6569037028843637
122,disty6,ACTTRAV_C03,0.6718368384074679
122,disty7,ACTTRAV_C03,0.601939042414035
122,disty8,ACTTRAV_C03,0.6302224514373306
122,disty9,ACTTRAV_C03,0.6035001896015487
122,limiting_disability,ACTTRAV_C03,0.6275615897957993
122,no_disability,ACTTRAV_C03,0.6813594336971859
122,non_limiting_disability,ACTTRAV_C03,0.6816557932216202
126,disty1,ACTTRAV_C03,0.6177638022397539
126,disty10,ACTTRAV_C03,0.5913928522024792
126,disty11,ACTTRAV_C03,0.5836062324862249
126,disty12,ACTTRAV_C03,0.6429778490814024
126,disty13,ACTTRAV_C03,0.6754001784289425
126,disty2,ACTTRAV_C03,0.6431132936141997
126,disty3,ACTTRAV_C03,0.607539978422291
126,disty4,ACTTRAV_C03,0.6273921722359919
126,disty5,ACTTRAV_C03,0.6759863985028142
126,disty6,ACTTRAV_C03,0.5953306945079765
126,disty7,ACTTRAV_C03,0.6458512087566497
126,disty8,ACTTRAV_C03,0.5953236750836717
126,disty9,ACTTRAV_C03,0.6103224413322061
126,limiting_disability,ACTTRAV_C03,0.6393732781423169
126,no_disability,ACTTRAV_C03,0.677816943548136
126,non_limiting_disability,ACTTRAV_C03,0.6811671753402508
129,disty1,ACTTRAV_C03,0.6509647963213484
129,disty10,ACTTRAV_C03,0.6304414796910208
129,disty11,ACTTRAV_C03,0.6090309631741362
129,disty12,ACTTRAV_C03,0.7048749115888746
129,disty13,ACTTRAV_C03,0.6781892378307198
129,disty2,ACTTRAV_C03,0.6616380636488727
129,disty3,ACTTRAV_C03,0.6335209905710583
129,disty4,ACTTRAV_C03,0.6434155350092683
129,disty5,ACTTRAV_C03,0.6861651797591475
129,disty6,ACTTRAV_C03,0.6209950060971737
129,disty7,ACTTRAV_C03,0.6957797244002599
129,disty8,ACTTRAV_C03,0.6728649765631591
129,disty9,ACTTRAV_C03,0.6739830925784764
129,limiting_disability,ACTTRAV_C03,0.6739130516421551
129,no_disability,ACTTRAV_C03,0.6865571635373432
129,non_limiting_disability,ACTTRAV_C03,0.6804484428789555
135,disty1,ACTTRAV_C03,0.6984190749747726
135,disty10,ACTTRAV_C03,0.703293881102543
135,disty11,ACTTRAV_C03,0.7060119310717682
135,disty12,ACTTRAV_C03,0.6993815465604308
135,disty13,ACTTRAV_C03,0.7727590640459068
135,disty2,ACTTRAV_C03,0.7059278863851816
135,disty3,ACTTRAV_C03,0.6572869682918913
135,disty4,ACTTRAV_C03,0.6919753187402533
135,disty5,ACTTRAV_C03,0.7348308441526521
135,disty6,ACTTRAV_C03,0.6342897187437999
135,disty7,ACTTRAV_C03,0.7310158987521175
135,disty8,ACTTRAV_C03,0.6691705616877515
135,disty9,ACTTRAV_C03,0.6911521172277676
135,limiting_disability,ACTTRAV_C03,0.7159027856774139
135,no_disability,ACTTRAV_C03,0.7390111409467824
135,non_limiting_disability,ACTTRAV_C03,0.7628107080021621
136,disty1,ACTTRAV_C03,0.6521299967168851
136,disty10,ACTTRAV_C03,0.6488008047818677
136,disty11,ACTTRAV_C03,0.624030125886804
136,disty12,ACTTRAV_C03,0.6988172290468597
136,disty13,ACTTRAV_C03,0.6388918858869848
136,disty2,ACTTRAV_C03,0.6638957584510216
136,disty3,ACTTRAV_C03,0.646820765805409
136,disty4,ACTTRAV_C03,0.6233758662037944
136,disty5,ACTTRAV_C03,0.6913505896196379
136,disty6,ACTTRAV_C03,0.6024336482294355
136,disty7,ACTTRAV_C03,0.6382980695576679
136,disty8,ACTTRAV_C03,0.648534992944149
136,disty9,ACTTRAV_C03,0.6028183294720769
136,limiting_disability,ACTTRAV_C03,0.6864286640422853
136,no_disability,ACTTRAV_C03,0.7200940567780284
136,non_limiting_disability,ACTTRAV_C03,0.71705714144003
139,disty1,ACTTRAV_C03,0.665975334424187
139,disty10,ACTTRAV_C03,0.5865924178235329
139,disty11,ACTTRAV_C03,0.6369743376258343
139,disty12,ACTTRAV_C03,0.710252047868527
139,disty13,ACTTRAV_C03,0.7341042705389983
139,disty2,ACTTRAV_C03,0.6879845027447415
139,disty3,ACTTRAV_C03,0.6503730110227569
139,disty4,ACTTRAV_C03,0.6424454102497656
139,disty5,ACTTRAV_C03,0.7163011577570038
139,disty6,ACTTRAV_C03,0.5865371027777618
139,disty7,ACTTRAV_C03,0.6225165378786837
139,disty8,ACTTRAV_C03,0.6444850739159751
139,disty9,ACTTRAV_C03,0.6529935337113344
139,limiting_disability,ACTTRAV_C03,0.6833812800511376
139,no_disability,ACTTRAV_C03,0.7156941998876999
139,non_limiting_disability,ACTTRAV_C03,0.7176071410470255
142,disty1,ACTTRAV_C03,0.6738253554371683
142,disty10,ACTTRAV_C03,0.7322523444956294
142,disty11,ACTTRAV_C03,0.7045914756768414
142,disty12,ACTTRAV_C03,0.713714486569183
142,disty13,ACTTRAV_C03,0.7450883929385594
142,disty2,ACTTRAV_C03,0.6949152640070587
142,disty3,ACTTRAV_C03,0.689899194745547
142,disty4,ACTTRAV_C03,0.7167292141567723
142,disty5,ACTTRAV_C03,0.7164978423149156
142,disty6,ACTTRAV_C03,0.6281723705009835
142,disty7,ACTTRAV_C03,0.6731947398158794
142,disty8,ACTTRAV_C03,0.6670516760285153
142,disty9,ACTTRAV_C03,0.659358589844794
142,limiting_disability,ACTTRAV_C03,0.6982818281971136
142,no_disability,ACTTRAV_C03,0.7480170663207407
142,non_limiting_disability,ACTTRAV_C03,0.7577432856500186
147,disty1,ACTTRAV_C03,0.6843938306118826
147,disty10,ACTTRAV_C03,0.7433194989970233
147,disty11,ACTTRAV_C03,0.6782967572694136
147,disty12,ACTTRAV_C03,0.7078837957026256
147,disty13,ACTTRAV_C03,0.6329422252646788
147,disty2,ACTTRAV_C03,0.7248157005269995
147,disty3,ACTTRAV_C03,0.6729498563513187
147,disty4,ACTTRAV_C03,0.660171727500114
147,disty5,ACTTRAV_C03,0.7278304132976181
147,disty6,ACTTRAV_C03,0.6464295747440321
147,disty7,ACTTRAV_C03,0.6962089110414268
147,disty8,ACTTRAV_C03,0.6930994782366059
147,disty9,ACTTRAV_C03,0.6370761843460221
147,limiting_disability,ACTTRAV_C03,0.7040519952176685
147,no_disability,ACTTRAV_C03,0.7228112669335726
147,non_limiting_disability,ACTTRAV_C03,0.7243370255586086
160,disty1,ACTTRAV_C03,0.6857191326040547
160,disty10,ACTTRAV_C03,0.7426598777868479
160,disty11,ACTTRAV_C03,0.6850446936536826
160,disty12,ACTTRAV_C03,0.6904579784802629
160,disty13,ACTTRAV_C03,0.6044343887098175
160,disty2,ACTTRAV_C03,0.6963256214403026
160,disty3,ACTTRAV_C03,0.6400449330473681
160,disty4,ACTTRAV_C03,0.6513548021879904
160,disty5,ACTTRAV_C03,0.6907721566459097
160,disty6,ACTTRAV_C03,0.6606146352088093
160,disty7,ACTTRAV_C03,0.6735298877318185
160,disty8,ACTTRAV_C03,0.7268830617699756
160,disty9,ACTTRAV_C03,0.7095641417811562
160,limiting_disability,ACTTRAV_C03,0.6753743221166678
160,no_disability,ACTTRAV_C03,0.7165032075326239
160,non_limiting_disability,ACTTRAV_C03,0.717894414479226
17,disty1,ACTTRAV_C03,0.6235723228505288
17,disty10,ACTTRAV_C03,0.7031407435044563
17,disty11,ACTTRAV_C03,0.5521279526294702
17,disty12,ACTTRAV_C03,0.6823979637270202
17,disty13,ACTTRAV_C03,0.7203409350101454
17,disty2,ACTTRAV_C03,0.6371672998498054
17,disty3,ACTTRAV_C03,0.5986234649687011
17,disty4,ACTTRAV_C03,0.6069448984262823
17,disty5,ACTTRAV_C03,0.653736098519285
17,disty6,ACTTRAV_C03,0.5914575123093824
17,disty7,ACTTRAV_C03,0.6100888621017803
17,disty8,ACTTRAV_C03,0.6237566426656578
17,disty9,ACTTRAV_C03,0.5720990068825963
17,limiting_disability,ACTTRAV_C03,0.6307091524975805
17,no_disability,ACTTRAV_C03,0.6812201549805394
17,non_limiting_disability,ACTTRAV_C03,0.6878859915467286
171,disty1,ACTTRAV_C03,0.6420036136751521
171,disty10,ACTTRAV_C03,0.5873684286439907
171,disty11,ACTTRAV_C03,0.5902035862795789
171,disty12,ACTTRAV_C03,0.7069909718909482
171,disty13,ACTTRAV_C03,0.6662717474585622
171,disty2,ACTTRAV_C03,0.6354429992888244
171,disty3,ACTTRAV_C03,0.6440982055916786
171,disty4,ACTTRAV_C03,0.6390567761278415
171,disty5,ACTTRAV_C03,0.6843679156679847
171,disty6,ACTTRAV_C03,0.6623712879499021
171,disty7,ACTTRAV_C03,0.6366892812696969
171,disty8,ACTTRAV_C03,0.6728620698723546
171,disty9,ACTTRAV_C03,0.66524264600613
171,limiting_disability,ACTTRAV_C03,0.6745811064897653
171,no_disability,ACTTRAV_C03,0.7178751486449519
171,non_limiting_disability,ACTTRAV_C03,0.721276110876976
196,disty1,ACTTRAV_C03,0.6545728486193154
196,disty10,ACTTRAV_C03,0.730409304894496
196,disty11,ACTTRAV_C03,0.6917921480564304
196,disty12,ACTTRAV_C03,0.7050627061558764
196,disty13,ACTTRAV_C03,0.5564510121869082
196,disty2,ACTTRAV_C03,0.6798265852368401
196,disty3,ACTTRAV_C03,0.6385297186222885
196,disty4,ACTTRAV_C03,0.7114592945805944
196,disty5,ACTTRAV_C03,0.6983802629339424
196,disty6,ACTTRAV_C03,0.6871459889173693
196,disty7,ACTTRAV_C03,0.6504249743513061
196,disty8,ACTTRAV_C03,0.6274629264481336
196,disty9,ACTTRAV_C03,0.5784339062174475
196,limiting_disability,ACTTRAV_C03,0.671664951892354
196,no_disability,ACTTRAV_C03,0.689756256017694
196,non_limiting_disability,ACTTRAV_C03,0.710481978399983
201,disty1,ACTTRAV_C03,0.6520729977494265
201,disty11,ACTTRAV_C03,0.6710134066185277
201,disty12,ACTTRAV_C03,0.7199600159769826
201,disty13,ACTTRAV_C03,0.7676288960476816
201,disty2,ACTTRAV_C03,0.6451894609005704
201,disty3,ACTTRAV_C03,0.6503315279336863
201,disty4,ACTTRAV_C03,0.6635410501436338
201,disty5,ACTTRAV_C03,0.7083801468015629
201,disty6,ACTTRAV_C03,0.679139054598414
201,disty7,ACTTRAV_C03,0.6205056674167335
201,disty8,ACTTRAV_C03,0.7047430061860745
201,disty9,ACTTRAV_C03,0.6314955809137215
201,limiting_disability,ACTTRAV_C03,0.6782904977789295
201,no_disability,ACTTRAV_C03,0.728923528733588
201,non_limiting_disability,ACTTRAV_C03,0.7122204539952905
241,disty1,ACTTRAV_C03,0.6961533823313789
241,disty10,ACTTRAV_C03,0.7820683624403677
241,disty11,ACTTRAV_C03,0.6650226886026787
241,disty12,ACTTRAV_C03,0.7192988742625833
241,disty13,ACTTRAV_C03,0.7749619171973786
241,disty2,ACTTRAV_C03,0.7182153316630684
241,disty3,ACTTRAV_C03,0.6676176653090399
241,disty4,ACTTRAV_C03,0.6829771601510382
241,disty5,ACTTRAV_C03,0.7343640425782947
241,disty6,ACTTRAV_C03,0.7237230936474142
241,disty7,ACTTRAV_C03,0.7183210667894055
241,disty8,ACTTRAV_C03,0.7469866782447991
241,disty9,ACTTRAV_C03,0.6879143195008054
241,limiting_disability,ACTTRAV_C03,0.7107489711148691
241,no_disability,ACTTRAV_C03,0.739262715441579
241,non_limiting_disability,ACTTRAV_C03,0.7374197670412188
255,disty1,ACTTRAV_C03,0.6540521288102702
255,disty10,ACTTRAV_C03,0.6276548991138368
255,disty11,ACTTRAV_C03,0.6140187538375677
255,disty12,ACTTRAV_C03,0.7254619667342197
255,disty13,ACTTRAV_C03,0.6780912211917369
255,disty2,ACTTRAV_C03,0.6272281220478535
255,disty3,ACTTRAV_C03,0.6197166455634234
255,disty4,ACTTRAV_C03,0.5956712491674745
255,disty5,ACTTRAV_C03,0.6925766618751303
255,disty6,ACTTRAV_C03,0.619646552607935
255,disty7,ACTTRAV_C03,0.63202390726358
255,disty8,ACTTRAV_C03,0.6412073252150252
255,disty9,ACTTRAV_C03,0.6286702375516794
255,limiting_disability,ACTTRAV_C03,0.6561898030735509
255,no_disability,ACTTRAV_C03,0.6916378015278373
255,non_limiting_disability,ACTTRAV_C03,0.676556357849416
