task,origin,model,parameters,validation_score,selected
age_overall_level,4,Naive baseline,{},0.09399187502223032,False
age_overall_level,4,Ridge Regression,"{""alpha"": 0.1}",0.08959416790681703,False
age_overall_level,4,Random Forest,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 220}",0.08595976173798052,False
age_overall_level,4,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0782913597214568,True
age_overall_level,5,Naive baseline,{},0.10523771892795976,False
age_overall_level,5,Ridge Regression,"{""alpha"": 0.1}",0.09018750192694007,False
age_overall_level,5,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.08685407785575572,False
age_overall_level,5,Gradient Boosting,"{""learning_rate"": 0.03, ""max_depth"": 2, ""min_samples_leaf"": 20, ""n_estimators"": 160}",0.08201741167904796,True
age_overall_level,6,Naive baseline,{},0.0998281351047113,False
age_overall_level,6,Ridge Regression,"{""alpha"": 0.1}",0.08073519288235592,False
age_overall_level,6,Random Forest,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 220}",0.07948359792646356,False
age_overall_level,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.07191971150974646,True
age_overall_level,7,Naive baseline,{},0.0983674809067601,False
age_overall_level,7,Ridge Regression,"{""alpha"": 10.0}",0.08262485941091269,False
age_overall_level,7,Random Forest,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 220}",0.07821684355762956,False
age_overall_level,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.07014847894725573,True
