task,horizon,origins,observations,primary_metric,primary_value,positive_cell_mae,zero_cell_mae,small_n_rate,small_n_mean_error,large_n_mean_error
age_activity_level,1,4,126870,total_variation,0.00751678392515,0.0404892115841158,0.0001570962085116,0.2446835343264759,0.0055155347058789,0.0081617647853248
age_activity_level,2,3,95232,total_variation,0.0082198841569884,0.0437224628866252,0.000101201146964,0.2541687668010752,0.0058886834001643,0.00900910590926
age_activity_level,3,2,63488,total_variation,0.0088561687911783,0.0433785469538891,3.959723362307183e-05,0.2593560987903225,0.0065079926926251,0.0096705047964334
age_activity_level,4,1,31744,total_variation,0.0092863016784993,0.0429383994008416,2.543710888111096e-06,0.2476373487903226,0.0072488301339302,0.0099524063479293
age_days10p60gr,1,4,126870,days10p60gr_rate_mae,0.0084955730283278,0.0408471716731852,0.002233147541079,0.2446835343264759,0.0088064793778685,0.0083953712929169
age_days10p60gr,2,3,95232,days10p60gr_rate_mae,0.0091422057847076,0.0440763280171217,0.0021778569309314,0.2541687668010752,0.009037141233718,0.0091777751061361
age_days10p60gr,3,2,63488,days10p60gr_rate_mae,0.0094743199075412,0.0412080653084836,0.00264147676339,0.2593560987903225,0.0096082169221286,0.0094278850766774
age_days10p60gr,4,1,31744,days10p60gr_rate_mae,0.0093261042180968,0.0437322968614103,0.0017531388164713,0.2476373487903226,0.0102144321740388,0.0090356857329821
age_months12,1,4,126870,months12_rate_mae,0.0163867426466848,0.0421701033743315,0.0040901045263837,0.2446835343264759,0.0142778364288975,0.0170664201867325
age_months12,2,3,95232,months12_rate_mae,0.0174048360874943,0.0454747219077561,0.0042887188429103,0.2541687668010752,0.0145106167302227,0.0183846662741128
age_months12,3,2,63488,months12_rate_mae,0.0177067284323042,0.0442916603671488,0.004275565615128,0.2593560987903225,0.0157762511395425,0.0183762085312593
age_months12,4,1,31744,months12_rate_mae,0.0185402629549261,0.0452944782472565,0.0044254993197889,0.2476373487903226,0.0173225186937647,0.0189383765583741
age_overall_level,1,4,1024,total_variation,0.1113962129084745,0.0835646215936377,0.3056090793871981,0.21484375,0.2179447493128645,0.0822411407580195
age_overall_level,2,3,768,total_variation,0.10855029023799,0.081934451716769,0.2744733074144495,0.2135416666666666,0.2052032975168463,0.0823067584602872
age_overall_level,3,2,512,total_variation,0.1098744068544769,0.0847998963261454,0.2846908418908949,0.2109375,0.2087534210854564,0.0834414030501557
age_overall_level,4,1,256,total_variation,0.1114637352759245,0.0877684392425272,0.2780824380182357,0.19921875,0.2192532923619987,0.0846477966837792
disability_activity_level,1,4,251013,total_variation,0.0081146425611422,0.0759219727047147,0.0002148835577352,0.6942508953719528,0.0083419017558753,0.0076062668191567
disability_activity_level,2,3,188303,total_variation,0.0083722450632929,0.0770749351334835,0.0002298559052266,0.6944976978593013,0.008345134927536,0.0084330073568932
disability_activity_level,3,2,125612,total_variation,0.008712876873796,0.0766972541137088,0.0001551894384657,0.689440499315352,0.0084287532969494,0.0093369363568759
disability_activity_level,4,1,62992,total_variation,0.0084156668644427,0.0716584646679397,0.0002223669906282,0.6851663703327406,0.0081384369423775,0.0090152925959366
disability_days10p60gr,1,4,251013,participation_DAYS10P60GR_mae,0.0091928807091126,0.0698354819209597,0.0029002482802106,0.6942508953719528,0.0101037017299039,0.0071553864162868
disability_days10p60gr,2,3,188303,participation_DAYS10P60GR_mae,0.0096384368966707,0.0714523856682658,0.0030848508362309,0.6944976978593013,0.0103461173642108,0.0080523036242465
disability_days10p60gr,3,2,125612,participation_DAYS10P60GR_mae,0.0091605358042809,0.0683601549560189,0.0025196138121352,0.689440499315352,0.009670289134079,0.0080408948261447
disability_days10p60gr,4,1,62992,participation_DAYS10P60GR_mae,0.0090069127103469,0.0667516562909018,0.0025461341677525,0.6851663703327406,0.0095175384017469,0.0079024709479122
disability_months12,1,4,251013,participation_MONTHS_12_mae,0.0208668023825372,0.071984364591815,0.0092579659289781,0.6942508953719528,0.0231574066015828,0.0157427517547059
disability_months12,2,3,188303,participation_MONTHS_12_mae,0.0212220988187444,0.0755661121391884,0.0090734597833372,0.6944976978593013,0.0230261873704942,0.0171785721007091
disability_months12,3,2,125612,participation_MONTHS_12_mae,0.0224516862397017,0.0753074768798513,0.0098575011870225,0.689440499315352,0.0244732503678334,0.0180114483727264
disability_months12,4,1,62992,participation_MONTHS_12_mae,0.022622932086715,0.0764146079054725,0.0096624030886014,0.6851663703327406,0.0245414818356076,0.0184732653118689
disability_overall_level,1,4,2000,total_variation,0.1971981813699296,0.1433539752992736,0.5299933399562924,0.651,0.2530636373597601,0.093871098729713
disability_overall_level,2,3,1496,total_variation,0.1907304290870849,0.14039521128172,0.5204450022067967,0.6370320855614974,0.2467447611542478,0.0930406087047586
disability_overall_level,3,2,997,total_variation,0.1852952109095531,0.1388467442075348,0.5009840775671685,0.6218655967903711,0.241692920771403,0.0926952575820064
disability_overall_level,4,1,495,total_variation,0.1810287477220227,0.1302572023510566,0.501302721039062,0.6181818181818182,0.2365794083396484,0.0910895829125334
