observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,task,fixed_model,alr_epsilon,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2
256,0.10829036946343557,0.07219357964229038,0.10939999986481376,0.08530162881837144,0.12608573328807715,0.4289499058142979,0.04242389150435821,0.0589365320428632,-0.008424072273241379,0.08885521860414147,0.12858441959752426,0.468237390198611,252,0.08573694876914316,4,0.2853062182090347,51,0.19921875,0.2245963660493108,205,0.07935570689816905,age_overall_level,Gradient Boosting,0.0001,,,,,,,,,,,,,,,,,,
256,0.10829036946343557,0.07219357964229038,0.10939999986481376,0.08530162881837144,0.12608573328807715,0.4289499058142979,0.04242389150435821,0.0589365320428632,-0.008424072273241379,0.08885521860414147,0.12858441959752426,0.468237390198611,252,0.08573694876914316,4,0.2853062182090347,51,0.19921875,0.2245963660493108,205,0.07935570689816905,age_overall_level,Gradient Boosting,1e-05,,,,,,,,,,,,,,,,,,
256,0.10829036946343557,0.07219357964229038,0.10939999986481376,0.08530162881837144,0.12608573328807718,0.4289499058142978,0.04242389150435821,0.0589365320428632,-0.008424072273241379,0.08885521860414147,0.12858441959752426,0.468237390198611,252,0.08573694876914316,4,0.2853062182090347,51,0.19921875,0.2245963660493108,205,0.07935570689816905,age_overall_level,Gradient Boosting,1e-06,,,,,,,,,,,,,,,,,,
504,0.18414205777506387,0.1227613718500426,0.17611563634951918,,,,,,,,,,485,0.13431774592673146,19,0.5643045769336922,315,0.625,0.2410195927598922,189,0.08934616613368335,disability_overall_level,Gradient Boosting,0.0001,0.1411923825122069,0.1926963365844615,0.11212350626759893,0.07656416610100636,0.11653356004460401,-0.10890548733903138,0.15052756693691452,0.20576249257492688,0.05877782142094856,,,,,,,,,
504,0.1841401696109819,0.12276011307398793,0.17605155155645,,,,,,,,,,485,0.1342141182937411,19,0.5643080686779128,315,0.625,0.2409986990858376,189,0.08937595381955571,disability_overall_level,Gradient Boosting,1e-05,0.14127442614521404,0.1927715588978079,0.11143017539320721,0.0765779355423355,0.1164404005497756,-0.10713322906772849,0.15042797753441425,0.20558016834368273,0.06044509885367266,,,,,,,,,
504,0.18411335610785493,0.12274223740523663,0.1760301897219443,,,,,,,,,,485,0.13420397114693547,19,0.5638275115272104,315,0.625,0.24096962271522498,189,0.08935291176223809,disability_overall_level,Gradient Boosting,1e-06,0.1412541791450084,0.19280811404365697,0.11109314560029959,0.07657243639355718,0.11641129783144871,-0.10657987198871122,0.1504000966771443,0.20550747912608203,0.06110939869556753,,,,,,,,,
31585,0.007874006444722801,0.0052493376298152015,0.023084904839195664,,,,,,,,,,3828,0.03549935569562492,27757,0.00025429264874595635,7702,0.24384992876365363,0.006954121931106051,23883,0.008170658897257082,age_activity_level,Random Forest,0.0001,,,,,,,,,,0.0074332653217091815,0.029175738743260824,0.7518578531488915,0.0037888670974469273,0.016421820697257273,0.5179709448683536,0.004525880470289496,0.02185951893515226,0.7132777544223615
31585,0.007886740973965497,0.005257827315976997,0.02364360656817158,,,,,,,,,,3828,0.036612604305030626,27757,8.634033867257016e-05,7702,0.24384992876365363,0.006785891319101899,23883,0.008241752657663498,age_activity_level,Random Forest,1e-05,,,,,,,,,,0.0075048218018484115,0.030042337439922875,0.7368979377196359,0.0037554545719115555,0.016728819858224102,0.49977981316993625,0.0045132055741710225,0.022241064316897114,0.7031812573544234
31585,0.008036257372554461,0.005357504915036309,0.024111374759753647,,,,,,,,,,3828,0.03745509321509736,27757,4.889642670668467e-05,7702,0.24384992876365363,0.006843951451012281,23883,0.008420762677906297,age_activity_level,Random Forest,1e-06,,,,,,,,,,0.007688415319558854,0.030734591122574904,0.7246331274021109,0.0038016927469529498,0.016973477745258734,0.48504144724840126,0.004582406678597124,0.022613295650461957,0.6931628708782465
62392,0.008019742070599016,0.005346494713732676,0.033946920836790184,,,,,,,,,,4157,0.06469528114660464,58235,0.0004657969125783117,42560,0.6821387357353507,0.008412345230114216,19832,0.007177205237754777,disability_activity_level,Gradient Boosting,0.0001,0.0075654644622311935,0.04227683297380052,0.4418482202828987,0.0037287964623616073,0.0245874969193015,0.19875070487737156,0.004745223216605229,0.03263900568103464,0.3757553352145544,,,,,,,,,
62392,0.007939843612553338,0.005293229075035557,0.03444759044045425,,,,,,,,,,4157,0.06711522439962242,58235,0.0002707159701013394,42560,0.6821387357353507,0.008213243355352463,19832,0.0073531204856104775,disability_activity_level,Gradient Boosting,1e-05,0.007516696703224769,0.04293344039847232,0.42437611775770534,0.0036386166863247517,0.02472646114360921,0.18966806923391044,0.004724373835557153,0.033245018819730486,0.35235925188363615,,,,,,,,,
62392,0.008057673098219186,0.005371782065479457,0.03487662288756436,,,,,,,,,,4157,0.06930498915370999,58235,0.00020356623039138993,42560,0.6821387357353507,0.00819680107272004,19832,0.007759100760847445,disability_activity_level,Gradient Boosting,1e-06,0.0076597871428577624,0.04350792913608368,0.40886830389203976,0.003647963218556651,0.024828306529415287,0.1829789979290256,0.004807595835023961,0.03376020985265122,0.33213101696857117,,,,,,,,,
