LA_2023,age_group,activity_suffix,year,activity_inactive_rate,activity_fairly_active_rate,activity_active_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,16-24,ABSEILING_H03,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,ACTTRAV_C03,9,0.575919168160791,0.1103917286214292,0.3136891032177796,8,1,35.0,27,0.125,False,False,False
107,16-24,AIKIDO_S04,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,AIRGUN_S08,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,ARCHERY_J01,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BADMINTON_G02,9,0.9751028956825428,0.0068848027664398,0.0180123015510172,8,1,35.0,27,0.125,False,False,False
107,16-24,BASESOFTBALL_F13,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BASKETBALL_F07,9,0.8885178640715004,0.0632472236165847,0.0482349123119151,8,1,35.0,27,0.125,False,False,False
107,16-24,BOCCIA_L11,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BOULES_L12,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BOWLSBOULES_C12,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BOWLSCARPET_U18,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,BOWLSCROWNGREEN_U19,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,BOWLSFLATGREEN_U20,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,BOWLSSHORTMAT_U23,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,BOWLS_L10,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BOXINGTRAD_S01,9,0.9937446227006644,0.0062553772993356,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,CAVING_H02,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,CHEERLEADING_L15,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,CLIMBWALL_R02,9,0.9955858298647664,0.0,0.0044141701352334,8,2,33.5,27,0.25,False,False,False
107,16-24,CRICKETLONG_Q06,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,CRICKETOTH_Q12,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,CRICKETSHORT_Q07,9,0.9927276893980832,0.0072723106019166,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,CROQUET_I05,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,CYCBMX_N03,9,0.9731575286506446,0.0268424713493553,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,CYCCROSS_N06,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,CYCLEISURE_N01,9,0.9416317037122344,0.0348385702690131,0.0235297260187524,8,2,33.5,27,0.25,False,False,False
107,16-24,CYCMOUNTAIN_N02,9,0.9942761896749864,0.0,0.0057238103250135,8,2,33.5,27,0.25,False,False,False
107,16-24,CYCROAD_N04,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,CYCTRACK_N05,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,CYCTRAV_B04,9,0.9877888789971352,0.0122111210028647,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,CYC_OLD_M02,9,0.9328332901138952,0.0354977067530158,0.0316690031330892,8,1,35.0,27,0.125,False,False,False
107,16-24,DANCEART_B05,9,0.9694504190840806,0.0305495809159197,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,DANCEOTHER_O01,9,0.9523502722385044,0.0033542922231601,0.0442954355383357,8,1,35.0,27,0.125,False,False,False
107,16-24,DARTS_I08,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,DIVING_U05,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,DODGEBALL_F12,9,0.9843148332333768,0.0,0.0156851667666231,8,1,35.0,27,0.125,False,False,False
107,16-24,DRIVINGRANGE_U10,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTDRESSAGE_U15,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTEVENTING_U16,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTHACKING_U12,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTOTHER_U17,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTSCHOOLING_U13,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTSHOWJUMP_U14,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUEST_L09,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,FELLRUNNING_L04,9,0.9728378117896986,0.0059836720941144,0.021178516116187,8,1,35.0,27,0.125,False,False,False
107,16-24,FENCING_J03,9,0.9735737804173304,0.0264262195826697,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,FOOTBALL11_Q01,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,FOOTBALLOTHER_Q05,9,0.9927276893980832,0.0,0.0072723106019166,8,2,33.5,27,0.25,False,False,False
107,16-24,FOOTBALLSMALL_Q02,9,0.9927276893980832,0.0,0.0072723106019166,8,2,33.5,27,0.25,False,False,False
107,16-24,FOOTBALLWALK_Q04,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,FOOTBALL_F01,9,0.9824347540527808,0.0,0.0175652459472195,8,1,35.0,27,0.125,False,False,False
107,16-24,FRISBEE_I03,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,FUTSAL_Q03,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,GARDENTRAMP_L14,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,GARD_B08,9,0.9559461794995896,0.0440538205004105,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,GLIDING_H08,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,GOALBALL_F15,9,1.0,0.0,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,GOLFADV_U11,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,GOLFFULL_U08,9,1.0,0.0,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,GOLFSHORT_U09,9,0.979237201472698,0.0,0.020762798527302,8,2,33.5,27,0.25,False,False,False
107,16-24,GOLF_L08,9,0.9819876984489828,0.0,0.0180123015510172,8,1,35.0,27,0.125,False,False,False
