LA_2023,age_group,activity_suffix,year,days10p60gr_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,16-24,ABSEILING_H03,9,0.0015576903135818,8,1,35.0,27,0.125,False,False,False
107,16-24,ACTTRAV_C03,9,0.4431531196073298,8,1,35.0,27,0.125,False,False,False
107,16-24,AIKIDO_S04,9,0.001471886278127,8,3,33.0,24,0.375,False,False,False
107,16-24,AIRGUN_S08,9,0.0015245265796132,8,3,33.0,24,0.375,False,False,False
107,16-24,ARCHERY_J01,9,0.0016893045471637,8,1,35.0,27,0.125,False,False,False
107,16-24,BADMINTON_G02,9,0.017681981768783,8,1,35.0,27,0.125,False,False,False
107,16-24,BASESOFTBALL_F13,9,0.0017937863276575,8,1,35.0,27,0.125,False,False,False
107,16-24,BASKETBALL_F07,9,0.0485698961637694,8,1,35.0,27,0.125,False,False,False
107,16-24,BOCCIA_L11,9,0.0015113791601301,8,1,35.0,27,0.125,False,False,False
107,16-24,BOULES_L12,9,0.0015502253290994,8,1,35.0,27,0.125,False,False,False
107,16-24,BOWLSBOULES_C12,9,0.0022764189742388,8,1,35.0,27,0.125,False,False,False
107,16-24,BOWLSCARPET_U18,9,0.0015490383446772,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSCROWNGREEN_U19,9,0.0015291730941431,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSFLATGREEN_U20,9,0.0016621742343732,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSSHORTMAT_U23,9,0.0015450498774552,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLS_L10,9,0.0022237554958009,8,1,35.0,27,0.125,False,False,False
107,16-24,BOXINGTRAD_S01,9,0.0070890799328987,8,1,35.0,27,0.125,False,False,False
107,16-24,CAVING_H02,9,0.0015888882664234,8,1,35.0,27,0.125,False,False,False
107,16-24,CHEERLEADING_L15,9,0.0016113096515075,8,1,35.0,27,0.125,False,False,False
107,16-24,CLIMBWALL_R02,9,0.0107357884347727,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETLONG_Q06,9,0.0022671276005674,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETOTH_Q12,9,0.0265051535015157,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETSHORT_Q07,9,0.0057313232909725,8,3,33.0,24,0.375,False,False,False
107,16-24,CROQUET_I05,9,0.0015678298916612,8,1,35.0,27,0.125,False,False,False
107,16-24,CYCBMX_N03,9,0.0121569779175821,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCCROSS_N06,9,0.0018619863918987,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCLEISURE_N01,9,0.0781984041624261,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCMOUNTAIN_N02,9,0.0063886911420097,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCROAD_N04,9,0.0103075227768216,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCTRACK_N05,9,0.0021207974522589,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCTRAV_B04,9,0.0555555103959501,8,1,35.0,27,0.125,False,False,False
107,16-24,CYC_OLD_M02,9,0.0851940971316194,8,1,35.0,27,0.125,False,False,False
107,16-24,DANCEART_B05,9,0.0416403627090796,8,1,35.0,27,0.125,False,False,False
107,16-24,DANCEOTHER_O01,9,0.0637072029504489,8,1,35.0,27,0.125,False,False,False
107,16-24,DARTS_I08,9,0.0015978576178324,8,1,35.0,27,0.125,False,False,False
107,16-24,DIVING_U05,9,0.0017313074502057,8,3,33.0,24,0.375,False,False,False
107,16-24,DODGEBALL_F12,9,0.0216512394355502,8,1,35.0,27,0.125,False,False,False
107,16-24,DRIVINGRANGE_U10,9,0.0030501098855697,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTDRESSAGE_U15,9,0.0016753644518464,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTEVENTING_U16,9,0.0015437970389944,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTHACKING_U12,9,0.0020108001282218,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTOTHER_U17,9,0.0042871853596529,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTSCHOOLING_U13,9,0.0019605150090789,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTSHOWJUMP_U14,9,0.0015267154406132,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUEST_L09,9,0.0048829738788338,8,1,35.0,27,0.125,False,False,False
107,16-24,FELLRUNNING_L04,9,0.0142492966606604,8,1,35.0,27,0.125,False,False,False
107,16-24,FENCING_J03,9,0.0117294883599212,8,1,35.0,27,0.125,False,False,False
107,16-24,FOOTBALL11_Q01,9,0.0070305285957222,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLOTHER_Q05,9,0.0057187233998752,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLSMALL_Q02,9,0.0628262224870385,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLWALK_Q04,9,0.0022035134119492,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALL_F01,9,0.0692020144439757,8,1,35.0,27,0.125,False,False,False
107,16-24,FRISBEE_I03,9,0.0022902445201319,8,1,35.0,27,0.125,False,False,False
107,16-24,FUTSAL_Q03,9,0.0099091064866312,8,3,33.0,24,0.375,False,False,False
107,16-24,GARDENTRAMP_L14,9,0.0031604422288347,8,1,35.0,27,0.125,False,False,False
107,16-24,GARD_B08,9,0.0953562578449932,8,1,35.0,27,0.125,False,False,False
107,16-24,GLIDING_H08,9,0.0015371172340945,8,1,35.0,27,0.125,False,False,False
107,16-24,GOALBALL_F15,9,0.0015027342322193,8,1,35.0,27,0.125,False,False,False
107,16-24,GOLFADV_U11,9,0.015855424511561,8,3,33.0,24,0.375,False,False,False
107,16-24,GOLFFULL_U08,9,0.0039684810201459,8,3,33.0,24,0.375,False,False,False
107,16-24,GOLFSHORT_U09,9,0.0099787914601688,8,3,33.0,24,0.375,False,False,False
107,16-24,GOLF_L08,9,0.0257355815575461,8,1,35.0,27,0.125,False,False,False
107,16-24,GYMNASTICSONLY_U24,9,0.0029030008393986,8,3,33.0,24,0.375,False,False,False
107,16-24,GYMNASTICS_L13,9,0.0040664481893772,8,1,35.0,27,0.125,False,False,False
107,16-24,GYMTRAMPCHEER_C13,9,0.0054834816435348,8,1,35.0,27,0.125,False,False,False
107,16-24,HANDBALL_F16,9,0.0080476562700558,8,1,35.0,27,0.125,False,False,False
107,16-24,HIGHROPES_H14,9,0.0015099036513328,8,1,35.0,27,0.125,False,False,False
107,16-24,HOCKEY_F09,9,0.0020359946563345,8,1,35.0,27,0.125,False,False,False
