LA_2023,age_group,activity_suffix,year,days10p60gr_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,16-24,ABSEILING_H03,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,ACTTRAV_C03,9,0.4309656346056487,8,1,35.0,27,0.125,False,False,False
107,16-24,AIKIDO_S04,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,AIRGUN_S08,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,ARCHERY_J01,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BADMINTON_G02,9,0.024897104317457,8,1,35.0,27,0.125,False,False,False
107,16-24,BASESOFTBALL_F13,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BASKETBALL_F07,9,0.1114821359284999,8,1,35.0,27,0.125,False,False,False
107,16-24,BOCCIA_L11,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BOULES_L12,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BOWLSBOULES_C12,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BOWLSCARPET_U18,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSCROWNGREEN_U19,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSFLATGREEN_U20,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLSSHORTMAT_U23,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,BOWLS_L10,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,BOXINGTRAD_S01,9,0.0062553772993356,8,1,35.0,27,0.125,False,False,False
107,16-24,CAVING_H02,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,CHEERLEADING_L15,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,CLIMBWALL_R02,9,0.0044141701352334,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETLONG_Q06,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETOTH_Q12,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,CRICKETSHORT_Q07,9,0.0072723106019166,8,3,33.0,24,0.375,False,False,False
107,16-24,CROQUET_I05,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,CYCBMX_N03,9,0.0268424713493553,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCCROSS_N06,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCLEISURE_N01,9,0.0583682962877656,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCMOUNTAIN_N02,9,0.0057238103250135,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCROAD_N04,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCTRACK_N05,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,CYCTRAV_B04,9,0.0122111210028647,8,1,35.0,27,0.125,False,False,False
107,16-24,CYC_OLD_M02,9,0.067166709886105,8,1,35.0,27,0.125,False,False,False
107,16-24,DANCEART_B05,9,0.0305495809159197,8,1,35.0,27,0.125,False,False,False
107,16-24,DANCEOTHER_O01,9,0.0476497277614958,8,1,35.0,27,0.125,False,False,False
107,16-24,DARTS_I08,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,DIVING_U05,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,DODGEBALL_F12,9,0.0156851667666231,8,1,35.0,27,0.125,False,False,False
107,16-24,DRIVINGRANGE_U10,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTDRESSAGE_U15,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTEVENTING_U16,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTHACKING_U12,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTOTHER_U17,9,0.0,8,2,33.5,27,0.25,False,False,False
107,16-24,EQUESTSCHOOLING_U13,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUESTSHOWJUMP_U14,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,EQUEST_L09,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,FELLRUNNING_L04,9,0.0271621882103014,8,1,35.0,27,0.125,False,False,False
107,16-24,FENCING_J03,9,0.0264262195826697,8,1,35.0,27,0.125,False,False,False
107,16-24,FOOTBALL11_Q01,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLOTHER_Q05,9,0.0072723106019166,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLSMALL_Q02,9,0.0072723106019166,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALLWALK_Q04,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,FOOTBALL_F01,9,0.0175652459472195,8,1,35.0,27,0.125,False,False,False
107,16-24,FRISBEE_I03,9,0.0,8,1,35.0,27,0.125,False,False,False
107,16-24,FUTSAL_Q03,9,0.0,8,3,33.0,24,0.375,False,False,False
107,16-24,GARDENTRAMP_L14,9,0.0,8,1,35.0,27,0.125,False,False,False
