LA_2023,age_group,year,overall_inactive_rate,overall_fairly_active_rate,overall_active_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,16-24,9,0.3616233786911649,0.1226446623415327,0.5157319589673024,8,1,35.0,27,0.125,False,False,False
107,25-34,9,0.174880207320494,0.1434780801995478,0.681641712479958,8,0,118.5,99,0.0,False,False,False
107,35-44,9,0.2611868422291759,0.0999118017672053,0.6389013560036187,8,0,119.0,98,0.0,False,False,False
107,45-54,9,0.2669357737194711,0.0715947421077784,0.6614694841727505,8,0,99.5,81,0.0,False,False,False
107,55-64,9,0.3030016507724454,0.1265446509382989,0.5704536982892555,8,0,77.0,59,0.0,False,False,False
107,65-74,9,0.2075999762116985,0.0939900296373407,0.6984099941509606,8,0,58.5,42,0.0,False,False,False
107,75-84,9,0.4171750373378793,0.2315059161499471,0.3513190465121736,8,5,23.5,16,0.625,True,False,True
107,85+,9,0.4765518041190659,0.1428066856301016,0.3806415102508322,8,8,7.5,2,1.0,True,False,True
109,16-24,9,0.2202741567150708,0.1121696349850129,0.6675562082999164,8,0,44.5,31,0.0,False,False,False
109,25-34,9,0.1173265416527746,0.0610053190022916,0.8216681393449338,8,0,143.5,103,0.0,False,False,False
109,35-44,9,0.2687760614141559,0.0801548684666084,0.6510690701192358,8,0,106.0,86,0.0,False,False,False
109,45-54,9,0.2129375502890151,0.045051424139213,0.7420110255717718,8,0,83.5,70,0.0,False,False,False
109,55-64,9,0.4383556191020523,0.0470541454367442,0.5145902354612034,8,0,59.0,51,0.0,False,False,False
109,65-74,9,0.3417403061719365,0.1122056810588776,0.5460540127691859,8,0,42.5,33,0.0,False,False,False
109,75-84,9,0.6819858558013303,0.0928585235234331,0.2251556206752366,8,8,17.5,11,1.0,True,False,True
109,85+,9,0.5067637662677792,0.0,0.4932362337322208,8,8,3.0,1,1.0,True,False,True
112,16-24,9,0.1208457642145372,0.0547491899763292,0.8244050458091337,8,0,47.0,31,0.0,False,False,False
112,25-34,9,0.1011366175535636,0.094040133171476,0.8048232492749602,8,0,105.0,98,0.0,False,False,False
112,35-44,9,0.24841207517684,0.100937376545863,0.6506505482772967,8,0,96.0,72,0.0,False,False,False
112,45-54,9,0.0943410893962373,0.0510547496824783,0.8546041609212844,8,0,88.5,75,0.0,False,False,False
112,55-64,9,0.2412103957380816,0.0953135210581392,0.6634760832037789,8,0,72.0,63,0.0,False,False,False
112,65-74,9,0.2392822154683886,0.0513204388958767,0.7093973456357344,8,0,56.5,49,0.0,False,False,False
112,75-84,9,0.2683025345563933,0.340862262336649,0.3908352031069576,8,4,29.5,24,0.5,True,False,True
112,85+,9,0.2608493614673476,0.0962713888897908,0.6428792496428616,8,8,6.5,3,1.0,True,False,True
114,16-24,9,0.2750610864184981,0.1561024476402847,0.5688364659412172,8,0,46.0,34,0.0,False,False,False
114,25-34,9,0.1495633760356219,0.1092062375155933,0.7412303864487847,8,0,91.5,80,0.0,False,False,False
114,35-44,9,0.1914371710651676,0.0641492688529562,0.7444135600818761,8,0,108.0,90,0.0,False,False,False
114,45-54,9,0.2244695546060753,0.0614907129469757,0.7140397324469488,8,0,92.5,82,0.0,False,False,False
114,55-64,9,0.2784250783928171,0.0899160066271533,0.6316589149800295,8,0,79.0,70,0.0,False,False,False
114,65-74,9,0.1981766441317491,0.1176028189283602,0.6842205369398906,8,0,61.0,51,0.0,False,False,False
114,75-84,9,0.3177106039914677,0.1055702723618151,0.5767191236467171,8,5,25.5,15,0.625,True,False,True
114,85+,9,0.6843142579862406,0.0,0.3156857420137594,8,8,4.5,3,1.0,True,False,True
117,16-24,9,0.1845040308501779,0.0223168049546248,0.7931791641951972,8,0,46.5,30,0.0,False,False,False
117,25-34,9,0.3128108513357588,0.1306317192434969,0.5565574294207443,8,0,64.5,46,0.0,False,False,False
117,35-44,9,0.2543778946912067,0.1415853654432802,0.6040367398655129,8,0,99.0,88,0.0,False,False,False
117,45-54,9,0.2210240060643296,0.1511150632975192,0.6278609306381512,8,0,84.5,74,0.0,False,False,False
117,55-64,9,0.2339573575437586,0.1201377480960186,0.6459048943602227,8,0,81.0,69,0.0,False,False,False
117,65-74,9,0.163638365503966,0.2268850635698549,0.609476570926179,8,0,71.0,55,0.0,False,False,False
117,75-84,9,0.5006203853077277,0.0753885058550672,0.4239911088372051,8,2,36.0,29,0.25,False,False,False
117,85+,9,0.6462444127401402,0.1530087822692912,0.2007468049905685,8,8,11.5,9,1.0,True,False,True
122,16-24,9,0.2032404116128999,0.1267049265176756,0.6700546618694245,8,7,26.0,19,0.875,True,False,True
122,25-34,9,0.1633995783900179,0.0949119253721363,0.7416884962378456,8,0,61.5,58,0.0,False,False,False
122,35-44,9,0.2455288659432457,0.1097705279737041,0.6447006060830499,8,0,89.5,68,0.0,False,False,False
122,45-54,9,0.1796520762902617,0.1918331638093392,0.6285147599003992,8,0,85.5,68,0.0,False,False,False
122,55-64,9,0.2186344899565684,0.0793793405943116,0.70198616944912,8,0,84.5,78,0.0,False,False,False
122,65-74,9,0.3233948549368741,0.035889940089866,0.6407152049732596,8,0,98.5,73,0.0,False,False,False
122,75-84,9,0.3424753116493863,0.1350855426090188,0.5224391457415949,8,0,37.5,30,0.0,False,False,False
122,85+,9,0.8867602508603133,0.0,0.1132397491396867,8,8,13.0,3,1.0,True,False,True
126,16-24,9,0.3178830470048971,0.092098239808737,0.5900187131863658,8,0,40.0,31,0.0,False,False,False
126,25-34,9,0.2359171974048699,0.0748607222709427,0.689222080324187,8,0,61.5,54,0.0,False,False,False
126,35-44,9,0.2826250589419726,0.0937713919124338,0.6236035491455935,8,0,104.5,80,0.0,False,False,False
126,45-54,9,0.3138633444344815,0.1628093922915149,0.5233272632740035,8,0,89.0,72,0.0,False,False,False
126,55-64,9,0.2651147155312625,0.1224361997684972,0.6124490847002401,8,0,81.5,71,0.0,False,False,False
126,65-74,9,0.3661872360922763,0.1404771276742941,0.4933356362334296,8,0,66.0,60,0.0,False,False,False
126,75-84,9,0.2309634778856591,0.1129499187664293,0.6560866033479116,8,1,34.0,24,0.125,False,False,False
126,85+,9,0.5304276448431043,0.3101337780427176,0.1594385771141781,8,8,8.5,6,1.0,True,False,True
129,16-24,9,0.2173436106618147,0.0926696997852656,0.6899866895529199,8,0,40.5,36,0.0,False,False,False
129,25-34,9,0.4019146055290306,0.1309638397612577,0.4671215547097117,8,0,73.5,70,0.0,False,False,False
129,35-44,9,0.2797095462416069,0.1023692565691562,0.6179211971892371,8,0,125.0,89,0.0,False,False,False
129,45-54,9,0.1922117075772056,0.1772190584305477,0.6305692339922468,8,0,86.0,75,0.0,False,False,False
129,55-64,9,0.3421377836444388,0.1454654383164966,0.5123967780390641,8,0,76.0,60,0.0,False,False,False
129,65-74,9,0.2401987807469298,0.0712060347076492,0.6885951845454208,8,0,68.0,53,0.0,False,False,False
129,75-84,9,0.3313465295042072,0.1479276423588947,0.5207258281368983,8,6,27.0,23,0.75,True,False,True
129,85+,9,0.2350594162496756,0.3593819831995207,0.4055586005508036,8,8,6.5,4,1.0,True,False,True
135,16-24,9,0.0920542291630795,0.1207008461125842,0.7872449247243363,8,0,47.0,32,0.0,False,False,False
135,25-34,9,0.0923597045349114,0.047670765785858,0.8599695296792305,8,0,129.5,119,0.0,False,False,False
135,35-44,9,0.1522956190378679,0.1219928574828208,0.7257115234793112,8,0,95.0,90,0.0,False,False,False
135,45-54,9,0.2114440114289263,0.0899672491708962,0.6985887394001776,8,0,82.5,66,0.0,False,False,False
135,55-64,9,0.2168712663565891,0.0911634868268694,0.6919652468165416,8,0,69.0,56,0.0,False,False,False
135,65-74,9,0.1938204587335878,0.0102272594315974,0.7959522818348147,8,0,49.5,40,0.0,False,False,False
135,75-84,9,0.4657750330837045,0.1341963508690344,0.4000286160472609,8,8,19.0,9,1.0,True,False,True
135,85+,9,0.7783090135791949,0.0,0.2216909864208053,8,8,4.5,1,1.0,True,False,True
136,16-24,9,0.1202730760094996,0.0282033353152801,0.8515235886752204,8,1,37.5,27,0.125,False,False,False
136,25-34,9,0.2108122993010642,0.0509304793534764,0.7382572213454593,8,0,62.0,55,0.0,False,False,False
136,35-44,9,0.178056819883392,0.1308369649054895,0.6911062152111184,8,0,76.5,52,0.0,False,False,False
136,45-54,9,0.2771846106738765,0.0971472106372235,0.6256681786888998,8,0,90.5,75,0.0,False,False,False
136,55-64,9,0.1452675635694685,0.1211781953747748,0.7335542410557565,8,0,91.0,65,0.0,False,False,False
136,65-74,9,0.2657544883191596,0.0863876959019012,0.6478578157789394,8,0,78.5,64,0.0,False,False,False
136,75-84,9,0.265373926687959,0.0826471471322214,0.6519789261798193,8,0,46.5,44,0.0,False,False,False
136,85+,9,0.336694907579799,0.1891267043135144,0.4741783881066866,8,8,13.0,6,1.0,True,False,True
139,16-24,9,0.1909333158094472,0.121002609974419,0.6880640742161336,8,5,29.0,20,0.625,True,False,True
