year,LA_2023,age_group,activity_suffix,months12_rate,second_activity_suffix,second_months12_rate,ranking_margin,top_two_tied,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
9,107,16-24,ACTTRAV_C03,0.796338126753577,WALKTRAV_B02,0.796338126753577,0.0,True,8,1,35.0,27,0.125,False,False,False
9,107,25-34,ACTTRAV_C03,0.8679028574087847,WALKTRAV_B02,0.8488980797825668,0.019004777626217884,False,8,0,118.5,99,0.0,False,False,False
9,107,35-44,ACTTRAV_C03,0.6800292652923425,WALKTRAV_B02,0.6725401420674705,0.007489123224872052,False,8,0,119.0,98,0.0,False,False,False
9,107,45-54,ACTTRAV_C03,0.6496570611010969,WALKTRAV_B02,0.629228113589862,0.02042894751123492,False,8,0,99.5,81,0.0,False,False,False
9,107,55-64,ACTTRAV_C03,0.6454812752578136,WALKTRAV_B02,0.6236426552355147,0.02183862002229897,False,8,0,77.0,59,0.0,False,False,False
9,107,65-74,ACTTRAV_C03,0.6694084325572761,WALKTRAV_B02,0.6535499816611918,0.015858450896084286,False,8,0,58.5,42,0.0,False,False,False
9,107,75-84,GARD_B08,0.6432481217969278,ACTTRAV_C03,0.4838807891317661,0.15936733266516173,False,8,5,23.5,16,0.625,True,False,True
9,107,85+,ACTTRAV_C03,0.3806415102508322,WALKTRAV_B02,0.3806415102508322,0.0,True,8,8,7.5,2,1.0,True,False,True
9,109,16-24,ACTTRAV_C03,0.7864092243608591,WALKTRAV_B02,0.7864092243608591,0.0,True,8,0,44.5,31,0.0,False,False,False
9,109,25-34,ACTTRAV_C03,0.8526128828319055,WALKTRAV_B02,0.8304969582094399,0.022115924622465588,False,8,0,143.5,103,0.0,False,False,False
9,109,35-44,ACTTRAV_C03,0.7453333546589634,WALKTRAV_B02,0.7244797503004919,0.0208536043584715,False,8,0,106.0,86,0.0,False,False,False
9,109,45-54,ACTTRAV_C03,0.8039713678135005,WALKTRAV_B02,0.7742424930077471,0.02972887480575348,False,8,0,83.5,70,0.0,False,False,False
9,109,55-64,ACTTRAV_C03,0.747989169893206,WALKTRAV_B02,0.7267249432086168,0.02126422668458916,False,8,0,59.0,51,0.0,False,False,False
9,109,65-74,ACTTRAV_C03,0.7335381096160475,WALKTRAV_B02,0.6815224262078072,0.052015683408240254,False,8,0,42.5,33,0.0,False,False,False
9,109,75-84,ACTTRAV_C03,0.345442876900532,WALKTRAV_B02,0.345442876900532,0.0,True,8,8,17.5,11,1.0,True,False,True
9,109,85+,ACTTRAV_C03,0.4932362337322208,WALKTRAV_B02,0.4932362337322208,0.0,True,8,8,3.0,1,1.0,True,False,True
9,112,16-24,ACTTRAV_C03,0.8385354880647292,WALKTRAV_B02,0.8385354880647292,0.0,True,8,0,47.0,31,0.0,False,False,False
9,112,25-34,ACTTRAV_C03,0.8960304662497486,WALKTRAV_B02,0.8777914958136175,0.018238970436131097,False,8,0,105.0,98,0.0,False,False,False
9,112,35-44,ACTTRAV_C03,0.83972085317215,WALKTRAV_B02,0.7548091492167686,0.08491170395538139,False,8,0,96.0,72,0.0,False,False,False
9,112,45-54,ACTTRAV_C03,0.8198918156356089,WALKTRAV_B02,0.7909762146594855,0.028915600976123335,False,8,0,88.5,75,0.0,False,False,False
9,112,55-64,ACTTRAV_C03,0.8019222574552001,WALKTRAV_B02,0.7669514362988415,0.03497082115635852,False,8,0,72.0,63,0.0,False,False,False
9,112,65-74,ACTTRAV_C03,0.7939253896614188,WALKTRAV_B02,0.7229513128024164,0.07097407685900237,False,8,0,56.5,49,0.0,False,False,False
9,112,75-84,GARD_B08,0.6780678998611306,ACTTRAV_C03,0.4947305602646427,0.1833373395964879,False,8,4,29.5,24,0.5,True,False,True
9,112,85+,ACTTRAV_C03,0.5724357036891624,WALKTRAV_B02,0.5724357036891624,0.0,True,8,8,6.5,3,1.0,True,False,True
9,114,16-24,ACTTRAV_C03,0.8519201445702512,WALKTRAV_B02,0.8406490410084403,0.011271103561810936,False,8,0,46.0,34,0.0,False,False,False
9,114,25-34,ACTTRAV_C03,0.8181705272232399,WALKTRAV_B02,0.8114901807148499,0.0066803465083900004,False,8,0,91.5,80,0.0,False,False,False
9,114,35-44,ACTTRAV_C03,0.8626101919747675,WALKTRAV_B02,0.8171989118761395,0.04541128009862805,False,8,0,108.0,90,0.0,False,False,False
9,114,45-54,ACTTRAV_C03,0.7976550899616953,WALKTRAV_B02,0.7706586049026463,0.026996485059049058,False,8,0,92.5,82,0.0,False,False,False
9,114,55-64,ACTTRAV_C03,0.7926262531829115,WALKTRAV_B02,0.7858438875213262,0.006782365661585299,False,8,0,79.0,70,0.0,False,False,False
9,114,65-74,ACTTRAV_C03,0.7946036217605187,WALKTRAV_B02,0.7864156321333851,0.00818798962713363,False,8,0,61.0,51,0.0,False,False,False
9,114,75-84,GARD_B08,0.7242406341929885,ACTTRAV_C03,0.5371295780025345,0.18711105619045398,False,8,5,25.5,15,0.625,True,False,True
9,114,85+,GARD_B08,0.4508178609937046,ACTTRAV_C03,0.4017706925710554,0.04904716842264917,False,8,8,4.5,3,1.0,True,False,True
9,117,16-24,ACTTRAV_C03,0.7966538083969273,WALKTRAV_B02,0.7692098131715627,0.02744399522536467,False,8,0,46.5,30,0.0,False,False,False
9,117,25-34,ACTTRAV_C03,0.658869903449065,WALKTRAV_B02,0.658869903449065,0.0,True,8,0,64.5,46,0.0,False,False,False
9,117,35-44,ACTTRAV_C03,0.6572111873987241,WALKTRAV_B02,0.6360800023278068,0.02113118507091727,False,8,0,99.0,88,0.0,False,False,False
9,117,45-54,ACTTRAV_C03,0.6992491280002772,WALKTRAV_B02,0.6992491280002772,0.0,True,8,0,84.5,74,0.0,False,False,False
9,117,55-64,GARD_B08,0.7206009035966819,ACTTRAV_C03,0.6417075226118939,0.07889338098478804,False,8,0,81.0,69,0.0,False,False,False
9,117,65-74,GARD_B08,0.7037018006301448,ACTTRAV_C03,0.6376181541546746,0.06608364647547016,False,8,0,71.0,55,0.0,False,False,False
9,117,75-84,GARD_B08,0.6717646137728717,ACTTRAV_C03,0.4819743628454137,0.189790250927458,False,8,2,36.0,29,0.25,False,False,False
9,117,85+,ACTTRAV_C03,0.699467894793092,WALKTRAV_B02,0.699467894793092,0.0,True,8,8,11.5,9,1.0,True,False,True
9,122,16-24,ACTTRAV_C03,0.8091739069942055,WALKTRAV_B02,0.7847472253687925,0.02442668162541306,False,8,7,26.0,19,0.875,True,False,True
9,122,25-34,ACTTRAV_C03,0.7804595367783711,WALKTRAV_B02,0.7804595367783711,0.0,True,8,0,61.5,58,0.0,False,False,False
9,122,35-44,ACTTRAV_C03,0.6794393671491814,WALKTRAV_B02,0.6794393671491814,0.0,True,8,0,89.5,68,0.0,False,False,False
9,122,45-54,GARD_B08,0.7163851758073049,ACTTRAV_C03,0.6517488801658611,0.0646362956414438,False,8,0,85.5,68,0.0,False,False,False
9,122,55-64,GARD_B08,0.6436015125356152,ACTTRAV_C03,0.5613525891868462,0.08224892334876899,False,8,0,84.5,78,0.0,False,False,False
9,122,65-74,GARD_B08,0.7359809194449797,ACTTRAV_C03,0.5248347994035322,0.2111461200414475,False,8,0,98.5,73,0.0,False,False,False
9,122,75-84,GARD_B08,0.7028191191557265,ACTTRAV_C03,0.345406453757865,0.3574126653978615,False,8,0,37.5,30,0.0,False,False,False
9,122,85+,GARD_B08,0.2671224159491056,ACTTRAV_C03,0.1132397491396867,0.15388266680941887,False,8,8,13.0,3,1.0,True,False,True
9,126,16-24,ACTTRAV_C03,0.6710001640558704,WALKTRAV_B02,0.6710001640558704,0.0,True,8,0,40.0,31,0.0,False,False,False
9,126,25-34,ACTTRAV_C03,0.8122813940217404,WALKTRAV_B02,0.7998879367566707,0.012393457265069685,False,8,0,61.5,54,0.0,False,False,False
9,126,35-44,ACTTRAV_C03,0.6525339904744893,WALKTRAV_B02,0.6266257874304255,0.025908203044063827,False,8,0,104.5,80,0.0,False,False,False
9,126,45-54,ACTTRAV_C03,0.5589922570048856,WALKTRAV_B02,0.5589922570048856,0.0,True,8,0,89.0,72,0.0,False,False,False
9,126,55-64,GARD_B08,0.6280913733800728,ACTTRAV_C03,0.3854029478788637,0.24268842550120912,False,8,0,81.5,71,0.0,False,False,False
9,126,65-74,GARD_B08,0.6911043198666968,ACTTRAV_C03,0.5203433763489217,0.17076094351777515,False,8,0,66.0,60,0.0,False,False,False
9,126,75-84,GARD_B08,0.723349560714894,ACTTRAV_C03,0.4444527968620719,0.2788967638528221,False,8,1,34.0,24,0.125,False,False,False
9,126,85+,GARD_B08,0.8032160470669387,ACTTRAV_C03,0.3985757787017362,0.4046402683652025,False,8,8,8.5,6,1.0,True,False,True
9,129,16-24,ACTTRAV_C03,0.7438488657807303,WALKTRAV_B02,0.7438488657807303,0.0,True,8,0,40.5,36,0.0,False,False,False
