LA_2023,disability_group,activity,year,participation_DAYS10P60GR
107,disty1,ABSEILING_H03,9,0.0
107,disty1,ACTTRAV_C03,9,0.3876215011733709
107,disty1,AIKIDO_S04,9,0.0
107,disty1,AIRGUN_S08,9,0.0
107,disty1,ARCHERY_J01,9,0.0
107,disty1,BADMINTON_G02,9,0.0098623018960995
107,disty1,BASESOFTBALL_F13,9,0.0
107,disty1,BASKETBALL_F07,9,0.0
107,disty1,BOCCIA_L11,9,0.0
107,disty1,BOULES_L12,9,0.0
107,disty1,BOWLSBOULES_C12,9,0.0
107,disty1,BOWLSCARPET_U18,9,0.0
107,disty1,BOWLSCROWNGREEN_U19,9,0.0
107,disty1,BOWLSFLATGREEN_U20,9,0.0
107,disty1,BOWLSSHORTMAT_U23,9,0.0
107,disty1,BOWLS_L10,9,0.0
107,disty1,BOXINGTRAD_S01,9,0.0
107,disty1,CAVING_H02,9,0.0
107,disty1,CHEERLEADING_L15,9,0.0
107,disty1,CLIMBWALL_R02,9,0.0219912249676221
107,disty1,CRICKETLONG_Q06,9,0.0
107,disty1,CRICKETOTH_Q12,9,0.0
107,disty1,CRICKETSHORT_Q07,9,0.0
107,disty1,CROQUET_I05,9,0.0
107,disty1,CYCBMX_N03,9,0.0
107,disty1,CYCCROSS_N06,9,0.0
107,disty1,CYCLEISURE_N01,9,0.0
107,disty1,CYCMOUNTAIN_N02,9,0.0
107,disty1,CYCROAD_N04,9,0.0
107,disty1,CYCTRACK_N05,9,0.0
107,disty1,CYCTRAV_B04,9,0.0508216273465485
107,disty1,CYC_OLD_M02,9,0.0382943345873184
107,disty1,DANCEART_B05,9,0.0283804508074533
107,disty1,DANCEOTHER_O01,9,0.0528418235179732
107,disty1,DARTS_I08,9,0.0
107,disty1,DIVING_U05,9,0.0
107,disty1,DODGEBALL_F12,9,0.0
107,disty1,DRIVINGRANGE_U10,9,0.0
107,disty1,EQUESTDRESSAGE_U15,9,0.0
107,disty1,EQUESTEVENTING_U16,9,0.0
107,disty1,EQUESTHACKING_U12,9,0.0
107,disty1,EQUESTOTHER_U17,9,0.0
107,disty1,EQUESTSCHOOLING_U13,9,0.0
107,disty1,EQUESTSHOWJUMP_U14,9,0.0
107,disty1,EQUEST_L09,9,0.0
107,disty1,FELLRUNNING_L04,9,0.0
107,disty1,FENCING_J03,9,0.0
107,disty1,FOOTBALL11_Q01,9,0.0
107,disty1,FOOTBALLOTHER_Q05,9,0.0
107,disty1,FOOTBALLSMALL_Q02,9,0.0
107,disty1,FOOTBALLWALK_Q04,9,0.0
107,disty1,FOOTBALL_F01,9,0.0
107,disty1,FRISBEE_I03,9,0.0
107,disty1,FUTSAL_Q03,9,0.0
107,disty1,GARDENTRAMP_L14,9,0.0
107,disty1,GARD_B08,9,0.197577393184036
107,disty1,GLIDING_H08,9,0.0
107,disty1,GOALBALL_F15,9,0.0
107,disty1,GOLFADV_U11,9,0.0
107,disty1,GOLFFULL_U08,9,0.0
107,disty1,GOLFSHORT_U09,9,0.0
107,disty1,GOLF_L08,9,0.0
107,disty1,GYMNASTICSONLY_U24,9,0.0
107,disty1,GYMNASTICS_L13,9,0.0
107,disty1,GYMTRAMPCHEER_C13,9,0.0
107,disty1,HANDBALL_F16,9,0.0
107,disty1,HIGHROPES_H14,9,0.0
107,disty1,HOCKEY_F09,9,0.0
107,disty1,HULAHOOP_P27,9,0.0
107,disty1,ICEHOCKEY_K03,9,0.0
107,disty1,ICESKATING_I02,9,0.0
107,disty1,JUJITSU_S03,9,0.0
107,disty1,KARATE_S02,9,0.0
107,disty1,KARTING_U26,9,0.0
107,disty1,LACROSSE_F14,9,0.0
107,disty1,LIFESAVING_H13,9,0.0
107,disty1,MARTIALCHINESE_S05,9,0.0
107,disty1,MARTIALOTHER_S06,9,0.0
107,disty1,MARTIAL_J07,9,0.0234224110927887
107,disty1,MODPENT_L06,9,0.0
107,disty1,MOTORCARRACE_U28,9,0.0
107,disty1,MOTORCYCRACE_U27,9,0.0
107,disty1,MOTORSPORTS_L18,9,0.0
107,disty1,NETBALL_F06,9,0.0
107,disty1,ORIENTEERING_H04,9,0.0
107,disty1,PARKOUR_H05,9,0.0
107,disty1,POOL_I07,9,0.0
107,disty1,RIFLE_S09,9,0.0
107,disty1,ROCKCLIMB_R01,9,0.0
107,disty1,ROLLERSKATING_L16,9,0.0
107,disty1,ROUNDERS_F11,9,0.0
107,disty1,ROWINGWATER_R04,9,0.0
107,disty1,RUGBYLEAG13_Q17,9,0.0
107,disty1,RUGBYLEAGTAG_Q19,9,0.0
107,disty1,RUGBYLEAGTOUCH_Q18,9,0.0
107,disty1,RUGBYLEAGUE_F04,9,0.0
107,disty1,RUGBYUN15_Q13,9,0.0
107,disty1,RUGBYUN7_Q15,9,0.0
107,disty1,RUGBYUNION_F03,9,0.0
107,disty1,RUGBYUNTAG_Q16,9,0.0
107,disty1,RUGBYUNTOUCH_Q14,9,0.0
107,disty1,RUNJOG_U07,9,0.0540505659119962
107,disty1,SHOOTING_J08,9,0.0
107,disty1,SKATEBOARDING_L17,9,0.0
107,disty1,SKIING_T01,9,0.0
107,disty1,SKITTLES_I09,9,0.0
107,disty1,SLEDDING_K02,9,0.0
107,disty1,SNOOKER_I06,9,0.0
107,disty1,SNOWBOARDING_T02,9,0.0
107,disty1,SNOWSPORT_K01,9,0.0
107,disty1,TABLETENNIS_G03,9,0.0
107,disty1,TAEKWONDO_J05,9,0.0
107,disty1,TENNIS_G01,9,0.0
107,disty1,TENPIN_I04,9,0.0
107,disty1,TRACKANDFIELD_L02,9,0.0
107,disty1,TRAMPOLINING_U25,9,0.0
107,disty1,TRIATHLON_L05,9,0.0
107,disty1,VOLLEYBALL_F10,9,0.0
107,disty1,WALKTRAV_B02,9,0.3602222849196113
107,disty1,WATERPOLO_U06,9,0.0
107,disty1,WATERSKIING_H10,9,0.0
107,disty1,WHEELCHBASKETBALL_F08,9,0.0
107,disty1,WHEELCHRUGBY_F05,9,0.0
107,disty1,WINTER_C10,9,0.0
107,disty1,WRESTLING_J09,9,0.0
107,disty10,ABSEILING_H03,9,0.0
107,disty10,ACTTRAV_C03,9,0.3910560783792226
107,disty10,AIKIDO_S04,9,0.0
107,disty10,AIRGUN_S08,9,0.0
107,disty10,ARCHERY_J01,9,0.0
107,disty10,BADMINTON_G02,9,0.0
107,disty10,BASESOFTBALL_F13,9,0.0
107,disty10,BASKETBALL_F07,9,0.0
107,disty10,BOCCIA_L11,9,0.0
107,disty10,BOULES_L12,9,0.0
107,disty10,BOWLSBOULES_C12,9,0.0
107,disty10,BOWLSCARPET_U18,9,0.0
107,disty10,BOWLSCROWNGREEN_U19,9,0.0
107,disty10,BOWLSFLATGREEN_U20,9,0.0
107,disty10,BOWLSSHORTMAT_U23,9,0.0
107,disty10,BOWLS_L10,9,0.0
107,disty10,BOXINGTRAD_S01,9,0.0
107,disty10,CAVING_H02,9,0.0
107,disty10,CHEERLEADING_L15,9,0.0
107,disty10,CLIMBWALL_R02,9,0.0
107,disty10,CRICKETLONG_Q06,9,0.0
107,disty10,CRICKETOTH_Q12,9,0.0
107,disty10,CRICKETSHORT_Q07,9,0.0
107,disty10,CROQUET_I05,9,0.0
107,disty10,CYCBMX_N03,9,0.0
107,disty10,CYCCROSS_N06,9,0.0
107,disty10,CYCLEISURE_N01,9,0.0
107,disty10,CYCMOUNTAIN_N02,9,0.0
107,disty10,CYCROAD_N04,9,0.0
107,disty10,CYCTRACK_N05,9,0.0
107,disty10,CYCTRAV_B04,9,0.0
107,disty10,CYC_OLD_M02,9,0.0
107,disty10,DANCEART_B05,9,0.0
107,disty10,DANCEOTHER_O01,9,0.0
107,disty10,DARTS_I08,9,0.0
107,disty10,DIVING_U05,9,0.0
107,disty10,DODGEBALL_F12,9,0.0
107,disty10,DRIVINGRANGE_U10,9,0.0
107,disty10,EQUESTDRESSAGE_U15,9,0.0
107,disty10,EQUESTEVENTING_U16,9,0.0
107,disty10,EQUESTHACKING_U12,9,0.0
107,disty10,EQUESTOTHER_U17,9,0.0
107,disty10,EQUESTSCHOOLING_U13,9,0.0
107,disty10,EQUESTSHOWJUMP_U14,9,0.0
107,disty10,EQUEST_L09,9,0.0
107,disty10,FELLRUNNING_L04,9,0.0
107,disty10,FENCING_J03,9,0.0
107,disty10,FOOTBALL11_Q01,9,0.0
107,disty10,FOOTBALLOTHER_Q05,9,0.0
107,disty10,FOOTBALLSMALL_Q02,9,0.0
107,disty10,FOOTBALLWALK_Q04,9,0.0
107,disty10,FOOTBALL_F01,9,0.0
107,disty10,FRISBEE_I03,9,0.0
107,disty10,FUTSAL_Q03,9,0.0
107,disty10,GARDENTRAMP_L14,9,0.0
107,disty10,GARD_B08,9,0.0
107,disty10,GLIDING_H08,9,0.0
107,disty10,GOALBALL_F15,9,0.0
107,disty10,GOLFADV_U11,9,0.0
107,disty10,GOLFFULL_U08,9,0.0
107,disty10,GOLFSHORT_U09,9,0.0
107,disty10,GOLF_L08,9,0.0
107,disty10,GYMNASTICSONLY_U24,9,0.0
