LA_2023,disability_group,year,inactive_rate,fairly_active_rate,active_rate,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,disty1,9,0.4031744071555462,0.10672714792573658,0.49009844491871707,8,1,44.5,28,0.125,False,False,False
107,disty10,9,0.3951773911904677,0.0957782733104099,0.5090443354991224,8,8,5.5,1,1.0,True,False,True
107,disty11,9,0.41503853353183745,0.06367479327518308,0.5212866731929795,7,7,5.0,1,1.0,True,True,True
107,disty12,9,0.37712059483684746,0.09960935886735087,0.5232700462958016,8,8,9.5,3,1.0,True,False,True
107,disty13,9,0.3241836636977853,0.0588721570640729,0.6169441792381418,8,8,7.0,4,1.0,True,False,True
107,disty2,9,0.36844726048569604,0.09786099648393165,0.5336917430303724,8,4,33.0,18,0.5,True,False,True
107,disty3,9,0.46124528096949824,0.10517825210730825,0.4335764669231936,8,2,44.0,25,0.25,False,False,False
107,disty4,9,0.3982208955300853,0.10161531471210605,0.5001637897578087,8,8,13.0,8,1.0,True,False,True
107,disty5,9,0.36703290241050407,0.09768230028682041,0.5352847973026755,8,3,35.0,20,0.375,False,False,False
107,disty6,9,0.40002039310586107,0.09268765383484125,0.5072919530592976,8,8,7.0,2,1.0,True,False,True
107,disty7,9,0.38942054350010136,0.09525487352474045,0.5153245829751582,8,4,25.5,16,0.5,True,False,True
107,disty8,9,0.40162305809171894,0.10363565207711961,0.4947412898311615,8,8,16.0,7,1.0,True,False,True
107,disty9,9,0.4433102674476466,0.09641565273840982,0.4602740798139435,8,8,14.5,4,1.0,True,False,True
107,limiting_disability,9,0.39129126752457694,0.1069729992053573,0.5017357332700657,8,0,87.5,57,0.0,False,False,False
107,no_disability,9,0.23202857810814992,0.10163450190667767,0.6663369199851724,8,0,325.5,300,0.0,False,False,False
107,non_limiting_disability,9,0.15813065051324263,0.1054625479533741,0.7364068015333833,8,0,88.0,60,0.0,False,False,False
109,disty1,9,0.41738854334199155,0.10478854893659681,0.4778229077214116,8,2,38.0,23,0.25,False,False,False
109,disty10,9,0.3979053323143342,0.07554206828890941,0.5265525993967564,8,8,5.5,1,1.0,True,False,True
109,disty11,9,0.415330574343293,0.057961633116512444,0.5267077925401945,8,8,4.0,2,1.0,True,False,True
109,disty12,9,0.38717491179334707,0.10047217491383306,0.5123529132928198,8,8,11.5,2,1.0,True,False,True
109,disty13,9,0.3106259446307121,0.0516388309086565,0.6377352244606315,8,8,7.0,2,1.0,True,False,True
109,disty2,9,0.394540931165447,0.1099172990245954,0.49554176980995757,8,4,29.5,16,0.5,True,False,True
109,disty3,9,0.45734933083000356,0.10857099249169692,0.4340796766782995,8,2,35.5,24,0.25,False,False,False
109,disty4,9,0.39740613842196,0.10436599977123129,0.4982278618068089,8,8,12.0,5,1.0,True,False,True
109,disty5,9,0.36910226435010074,0.09259495827211865,0.5383027773777807,8,3,31.5,16,0.375,False,False,False
109,disty6,9,0.3905537710815823,0.07655211142459951,0.5328941174938182,8,8,7.0,3,1.0,True,False,True
109,disty7,9,0.4006325233668683,0.09129924126176991,0.5080682353713618,8,8,17.0,14,1.0,True,False,True
109,disty8,9,0.3993079927622148,0.10403660887913,0.4966553983586553,8,8,14.0,10,1.0,True,False,True
109,disty9,9,0.43274593637406994,0.09300084248833516,0.4742532211375949,8,8,8.5,1,1.0,True,False,True
109,limiting_disability,9,0.38581210319582065,0.10363840344879557,0.5105494933553838,8,0,65.5,49,0.0,False,False,False
109,no_disability,9,0.1906867811327574,0.08874306850256261,0.72057015036468,8,0,328.0,302,0.0,False,False,False
109,non_limiting_disability,9,0.17683715737167033,0.08773001504241314,0.7354328275859165,8,0,73.0,59,0.0,False,False,False
112,disty1,9,0.4227155767858515,0.0933631722337347,0.4839212509804137,8,2,35.0,26,0.25,False,False,False
112,disty10,9,0.3258022722594607,0.03939624751505208,0.6348014802254872,6,6,3.5,1,1.0,True,True,True
112,disty11,9,0.33462875862580793,0.09927866518044941,0.5660925761937426,6,6,2.5,1,1.0,True,True,True
112,disty12,9,0.34122992094644783,0.07993624971483926,0.5788338293387129,7,7,10.0,3,1.0,True,True,True
112,disty13,9,0.3732120546963937,0.045825773816206325,0.5809621714874001,7,7,5.0,3,1.0,True,True,True
112,disty2,9,0.3663309235572944,0.10304282382382199,0.5306262526188836,8,7,24.5,22,0.875,True,False,True
112,disty3,9,0.4666317961877314,0.09047834793473969,0.44288985587752894,8,0,32.5,31,0.0,False,False,False
112,disty4,9,0.3942620836364019,0.08400646889877565,0.5217314474648225,8,8,9.0,7,1.0,True,False,True
112,disty5,9,0.368127256853966,0.09151852207522009,0.5403542210708139,8,7,21.0,8,0.875,True,False,True
112,disty6,9,0.40463633774829655,0.08221792870213211,0.5131457335495713,8,8,6.0,3,1.0,True,False,True
112,disty7,9,0.40611374190239763,0.07314431214642816,0.5207419459511742,8,8,18.0,12,1.0,True,False,True
112,disty8,9,0.324687387895379,0.060768724177742775,0.6145438879268782,8,8,6.0,4,1.0,True,False,True
112,disty9,9,0.41507961854944014,0.0961956466269825,0.4887247348235774,8,8,6.0,3,1.0,True,False,True
112,limiting_disability,9,0.4012316073226281,0.08428659505202256,0.5144817976253494,8,0,62.5,60,0.0,False,False,False
112,no_disability,9,0.15257100412393876,0.08331787492236366,0.7641111209536976,8,0,337.0,320,0.0,False,False,False
112,non_limiting_disability,9,0.15309423640377137,0.09347087949051484,0.7534348841057138,8,0,66.0,55,0.0,False,False,False
114,disty1,9,0.4041865305307074,0.1044846882905633,0.49132878117872925,8,2,37.0,20,0.25,False,False,False
114,disty10,9,0.39104691140371345,0.07538610197094027,0.5335669866253464,7,7,4.0,2,1.0,True,True,True
114,disty11,9,0.41811910874259767,0.05768518970987505,0.5241957015475273,6,6,3.0,1,1.0,True,True,True
114,disty12,9,0.3701239447449234,0.09375565379570949,0.5361204014593671,8,8,8.0,2,1.0,True,False,True
114,disty13,9,0.31836301364883285,0.06133034787449958,0.6203066384766674,8,8,6.0,3,1.0,True,False,True
114,disty2,9,0.36844726048569604,0.09786099648393165,0.5336917430303724,8,3,30.5,20,0.375,False,False,False
114,disty3,9,0.46155569839273913,0.10037227477441187,0.4380720268328491,8,2,38.0,19,0.25,False,False,False
114,disty4,9,0.39466205014019806,0.10484126102967925,0.5004966888301228,8,8,10.5,5,1.0,True,False,True
114,disty5,9,0.3539413528558163,0.08078211251277712,0.5652765346314066,8,3,30.5,14,0.375,False,False,False
114,disty6,9,0.36349300904454984,0.09706563732626385,0.5394413536291863,8,8,7.0,5,1.0,True,False,True
114,disty7,9,0.39667549405341596,0.10510173402069824,0.49822277192588577,8,7,21.0,7,0.875,True,False,True
114,disty8,9,0.3920564674989081,0.09910271651615857,0.5088408159849334,8,8,12.5,5,1.0,True,False,True
114,disty9,9,0.4441833277612328,0.08413128842832884,0.4716853838104382,8,8,10.5,6,1.0,True,False,True
114,limiting_disability,9,0.3671083782629076,0.10113923465755649,0.5317523870795359,8,0,76.5,47,0.0,False,False,False
114,no_disability,9,0.15618567079518358,0.09212837234088785,0.7516859568639285,8,0,324.5,273,0.0,False,False,False
114,non_limiting_disability,9,0.15805428634719826,0.1099953544479989,0.7319503592048029,8,0,81.5,66,0.0,False,False,False
117,disty1,9,0.38335071991883135,0.09624060746202212,0.5204086726191465,8,3,32.0,23,0.375,False,False,False
