year,LA_2023,disability_group,activity,participation_MONTHS_12,second_activity,second_participation_MONTHS_12,ranking_margin,top_two_tied,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
9,107,disty1,ACTTRAV_C03,0.5309488997850168,WALKTRAV_B02,0.5149516359186366,0.01599726386638023,False,8,1,44.5,28,0.125,False,False,False
9,107,disty10,ACTTRAV_C03,0.3812291191980822,WALKTRAV_B02,0.36927035437115835,0.011958764826923873,False,8,8,5.5,1,1.0,True,False,True
9,107,disty11,ACTTRAV_C03,0.3533099191491947,WALKTRAV_B02,0.3413511543222708,0.011958764826923873,False,7,7,5.0,1,1.0,True,True,True
9,107,disty12,ACTTRAV_C03,0.5420173985794733,WALKTRAV_B02,0.5300586337525494,0.011958764826923929,False,8,8,9.5,3,1.0,True,False,True
9,107,disty13,ACTTRAV_C03,0.599739703644333,WALKTRAV_B02,0.5877809388174091,0.011958764826923929,False,8,8,7.0,4,1.0,True,False,True
9,107,disty2,ACTTRAV_C03,0.5309488997850168,WALKTRAV_B02,0.5189901349580929,0.011958764826923929,False,8,4,33.0,18,0.5,True,False,True
9,107,disty3,ACTTRAV_C03,0.4123684124356864,GARD_B08,0.40515111235683693,0.0072173000788494646,False,8,2,44.0,25,0.25,False,False,False
9,107,disty4,ACTTRAV_C03,0.44370722174340427,WALKTRAV_B02,0.4317484569164804,0.011958764826923873,False,8,8,13.0,8,1.0,True,False,True
9,107,disty5,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,3,35.0,20,0.375,False,False,False
9,107,disty6,GARD_B08,0.33160820114772593,ACTTRAV_C03,0.30375871655598874,0.027849484591737195,False,8,8,7.0,2,1.0,True,False,True
9,107,disty7,ACTTRAV_C03,0.467974975880366,WALKTRAV_B02,0.45601621105344214,0.011958764826923873,False,8,4,25.5,16,0.5,True,False,True
9,107,disty8,ACTTRAV_C03,0.4268528303583057,WALKTRAV_B02,0.4148940655313818,0.011958764826923873,False,8,8,16.0,7,1.0,True,False,True
9,107,disty9,ACTTRAV_C03,0.30375871655598874,WALKTRAV_B02,0.29179995172906487,0.011958764826923873,False,8,8,14.5,4,1.0,True,False,True
9,107,limiting_disability,ACTTRAV_C03,0.5309488997850168,WALKTRAV_B02,0.5189901349580929,0.011958764826923929,False,8,0,87.5,57,0.0,False,False,False
9,107,no_disability,ACTTRAV_C03,0.7556773981843128,WALKTRAV_B02,0.6888732960079254,0.06680410217638744,False,8,0,325.5,300,0.0,False,False,False
9,107,non_limiting_disability,ACTTRAV_C03,0.7522598846293693,WALKTRAV_B02,0.7254161041765916,0.026843780452777688,False,8,0,88.0,60,0.0,False,False,False
9,109,disty1,ACTTRAV_C03,0.5309488997850168,WALKTRAV_B02,0.4794169013034876,0.05153199848152923,False,8,2,38.0,23,0.25,False,False,False
9,109,disty10,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5814257050264424,0.026694733975928586,False,8,8,5.5,1,1.0,True,False,True
9,109,disty11,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,8,4.0,2,1.0,True,False,True
9,109,disty12,ACTTRAV_C03,0.6380313240218897,WALKTRAV_B02,0.5961616741754471,0.04186964984644259,False,8,8,11.5,2,1.0,True,False,True
9,109,disty13,ACTTRAV_C03,0.7373748690035156,GARD_B08,0.5535416193644251,0.18383324963909042,False,8,8,7.0,2,1.0,True,False,True
9,109,disty2,ACTTRAV_C03,0.5269104007455605,WALKTRAV_B02,0.43482885045108166,0.09208155029447884,False,8,4,29.5,16,0.5,True,False,True
9,109,disty3,ACTTRAV_C03,0.44678761527800553,WALKTRAV_B02,0.4148940655313818,0.03189354974662373,False,8,2,35.5,24,0.25,False,False,False
9,109,disty4,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5189901349580929,0.08913030404427813,False,8,8,12.0,5,1.0,True,False,True
9,109,disty5,ACTTRAV_C03,0.7150268455864187,WALKTRAV_B02,0.6066029212328237,0.10842392435359505,False,8,3,31.5,16,0.375,False,False,False
9,109,disty6,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,8,7.0,3,1.0,True,False,True
9,109,disty7,ACTTRAV_C03,0.4123684124356864,WALKTRAV_B02,0.4004096476087625,0.011958764826923873,False,8,8,17.0,14,1.0,True,False,True
9,109,disty8,ACTTRAV_C03,0.49137566613041145,WALKTRAV_B02,0.4794169013034876,0.011958764826923873,False,8,8,14.0,10,1.0,True,False,True
9,109,disty9,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,8,8.5,1,1.0,True,False,True
9,109,limiting_disability,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5907114711851665,0.017408967817204468,False,8,0,65.5,49,0.0,False,False,False
9,109,no_disability,ACTTRAV_C03,0.8469251349624934,WALKTRAV_B02,0.8212931959175104,0.025631939044983065,False,8,0,328.0,302,0.0,False,False,False
9,109,non_limiting_disability,ACTTRAV_C03,0.814026295509312,WALKTRAV_B02,0.7583278320832002,0.055698463426111844,False,8,0,73.0,59,0.0,False,False,False
9,112,disty1,ACTTRAV_C03,0.5309488997850168,WALKTRAV_B02,0.45601621105344214,0.07493268873157466,False,8,2,35.0,26,0.25,False,False,False
9,112,disty10,ACTTRAV_C03,0.5815985711568606,CYCLEISURE_N01,0.4760291819199094,0.10556938923695125,False,6,6,3.5,1,1.0,True,True,True
9,112,disty11,GARD_B08,0.5864187210009022,CYCLEISURE_N01,0.4760291819199094,0.1103895390809928,False,6,6,2.5,1,1.0,True,True,True
9,112,disty12,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5814257050264424,0.026694733975928586,False,7,7,10.0,3,1.0,True,True,True
9,112,disty13,ACTTRAV_C03,0.6249169198507143,WALKTRAV_B02,0.6129581550237904,0.011958764826923929,False,7,7,5.0,3,1.0,True,True,True
9,112,disty2,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,7,24.5,22,0.875,True,False,True
9,112,disty3,ACTTRAV_C03,0.4123684124356864,WALKTRAV_B02,0.36927035437115835,0.043098058064528044,False,8,0,32.5,31,0.0,False,False,False
9,112,disty4,ACTTRAV_C03,0.7482104182404766,WALKTRAV_B02,0.7362516534135527,0.011958764826923929,False,8,8,9.0,7,1.0,True,False,True
9,112,disty5,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5907114711851665,0.017408967817204468,False,8,7,21.0,8,0.875,True,False,True
9,112,disty6,ACTTRAV_C03,0.599739703644333,WALKTRAV_B02,0.5877809388174091,0.011958764826923929,False,8,8,6.0,3,1.0,True,False,True
9,112,disty7,ACTTRAV_C03,0.467974975880366,WALKTRAV_B02,0.29179995172906487,0.17617502415130115,False,8,8,18.0,12,1.0,True,False,True
9,112,disty8,GARD_B08,0.35952740119661347,ACTTRAV_C03,0.3470712829514664,0.012456118245147085,False,8,8,6.0,4,1.0,True,False,True
9,112,disty9,ACTTRAV_C03,0.5373041335759836,WALKTRAV_B02,0.43482885045108166,0.10247528312490195,False,8,8,6.0,3,1.0,True,False,True
9,112,limiting_disability,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5814257050264424,0.026694733975928586,False,8,0,62.5,60,0.0,False,False,False
9,112,no_disability,ACTTRAV_C03,0.8469251349624934,WALKTRAV_B02,0.8166959852141134,0.03022914974838009,False,8,0,337.0,320,0.0,False,False,False
9,112,non_limiting_disability,ACTTRAV_C03,0.8008369442689027,WALKTRAV_B02,0.7805689204964121,0.020268023772490595,False,8,0,66.0,55,0.0,False,False,False
9,114,disty1,ACTTRAV_C03,0.575243337365894,WALKTRAV_B02,0.56328457253897,0.011958764826923929,False,8,2,37.0,20,0.25,False,False,False
9,114,disty10,ACTTRAV_C03,0.7373748690035156,WALKTRAV_B02,0.7254161041765916,0.011958764826923929,False,7,7,4.0,2,1.0,True,True,True
9,114,disty11,ACTTRAV_C03,0.3533099191491947,WALKTRAV_B02,0.3413511543222708,0.011958764826923873,False,6,6,3.0,1,1.0,True,True,True
9,114,disty12,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,8,8.0,2,1.0,True,False,True
9,114,disty13,ACTTRAV_C03,0.814026295509312,WALKTRAV_B02,0.8020675306823881,0.011958764826923929,False,8,8,6.0,3,1.0,True,False,True
9,114,disty2,ACTTRAV_C03,0.5933844698533663,WALKTRAV_B02,0.5814257050264424,0.011958764826923929,False,8,3,30.5,20,0.375,False,False,False
9,114,disty3,ACTTRAV_C03,0.49137566613041145,WALKTRAV_B02,0.4794169013034876,0.011958764826923873,False,8,2,38.0,19,0.25,False,False,False
9,114,disty4,GARD_B08,0.5809685180106217,ACTTRAV_C03,0.2502077352921545,0.33076078271846715,False,8,8,10.5,5,1.0,True,False,True
9,114,disty5,ACTTRAV_C03,0.6185616860597476,WALKTRAV_B02,0.5961616741754471,0.02240001188430052,False,8,3,30.5,14,0.375,False,False,False
9,114,disty6,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,8,7.0,5,1.0,True,False,True
9,114,disty7,ACTTRAV_C03,0.5933844698533663,WALKTRAV_B02,0.5814257050264424,0.011958764826923929,False,8,7,21.0,7,0.875,True,False,True
9,114,disty8,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,8,12.5,5,1.0,True,False,True
9,114,disty9,ACTTRAV_C03,0.49137566613041145,WALKTRAV_B02,0.4794169013034876,0.011958764826923873,False,8,8,10.5,6,1.0,True,False,True
9,114,limiting_disability,ACTTRAV_C03,0.608120439002371,WALKTRAV_B02,0.5961616741754471,0.011958764826923929,False,8,0,76.5,47,0.0,False,False,False
9,114,no_disability,ACTTRAV_C03,0.8284249286755279,WALKTRAV_B02,0.7872076190256903,0.04121730964983761,False,8,0,324.5,273,0.0,False,False,False
9,114,non_limiting_disability,ACTTRAV_C03,0.814026295509312,WALKTRAV_B02,0.7918086411311355,0.022217654378176577,False,8,0,81.5,66,0.0,False,False,False
9,117,disty1,ACTTRAV_C03,0.5309488997850168,WALKTRAV_B02,0.5189901349580929,0.011958764826923929,False,8,3,32.0,23,0.375,False,False,False
9,117,disty10,ACTTRAV_C03,0.3533099191491947,WALKTRAV_B02,0.3413511543222708,0.011958764826923873,False,8,8,3.0,1,1.0,True,False,True
9,117,disty11,ACTTRAV_C03,0.4332080641492724,WALKTRAV_B02,0.4212492993223485,0.011958764826923873,False,6,6,2.5,2,1.0,True,True,True
9,117,disty12,ACTTRAV_C03,0.6443865578128564,WALKTRAV_B02,0.6324277929859324,0.011958764826923929,False,7,7,7.0,1,1.0,True,True,True
