LA_2023,disability_group,activity,historical_years_available,historical_small_cell_years,historical_median_n,historical_min_n,historical_small_cell_rate,historical_small_cell_majority,historical_incomplete_outcome_history,historical_reliability_warning
107,disty1,ABSEILING_H03,8,1,44.5,28,0.125,False,False,False
107,disty1,ACTTRAV_C03,8,1,44.5,28,0.125,False,False,False
107,disty1,AIKIDO_S04,8,4,27.0,13,0.5,True,False,True
107,disty1,AIRGUN_S08,8,4,27.0,13,0.5,True,False,True
107,disty1,ARCHERY_J01,8,1,44.5,28,0.125,False,False,False
107,disty1,BADMINTON_G02,8,1,44.5,28,0.125,False,False,False
107,disty1,BASESOFTBALL_F13,8,1,44.5,28,0.125,False,False,False
107,disty1,BASKETBALL_F07,8,1,44.5,28,0.125,False,False,False
107,disty1,BOCCIA_L11,8,1,44.5,28,0.125,False,False,False
107,disty1,BOULES_L12,8,1,44.5,28,0.125,False,False,False
107,disty1,BOWLSBOULES_C12,8,1,44.5,28,0.125,False,False,False
107,disty1,BOWLSCARPET_U18,8,4,27.0,13,0.5,True,False,True
107,disty1,BOWLSCROWNGREEN_U19,8,4,27.0,13,0.5,True,False,True
107,disty1,BOWLSFLATGREEN_U20,8,4,27.0,13,0.5,True,False,True
107,disty1,BOWLSSHORTMAT_U23,8,4,27.0,13,0.5,True,False,True
107,disty1,BOWLS_L10,8,1,44.5,28,0.125,False,False,False
107,disty1,BOXINGTRAD_S01,8,1,44.5,28,0.125,False,False,False
107,disty1,CAVING_H02,8,1,44.5,28,0.125,False,False,False
107,disty1,CHEERLEADING_L15,8,1,44.5,28,0.125,False,False,False
107,disty1,CLIMBWALL_R02,8,4,27.0,13,0.5,True,False,True
107,disty1,CRICKETLONG_Q06,8,4,27.0,13,0.5,True,False,True
107,disty1,CRICKETOTH_Q12,8,4,27.0,13,0.5,True,False,True
107,disty1,CRICKETSHORT_Q07,8,4,27.0,13,0.5,True,False,True
107,disty1,CROQUET_I05,8,1,44.5,28,0.125,False,False,False
107,disty1,CYCBMX_N03,8,4,27.0,13,0.5,True,False,True
107,disty1,CYCCROSS_N06,8,4,27.0,13,0.5,True,False,True
107,disty1,CYCLEISURE_N01,8,4,27.0,13,0.5,True,False,True
107,disty1,CYCMOUNTAIN_N02,8,4,27.0,13,0.5,True,False,True
107,disty1,CYCROAD_N04,8,4,27.0,13,0.5,True,False,True
107,disty1,CYCTRACK_N05,8,4,27.0,13,0.5,True,False,True
107,disty1,CYCTRAV_B04,8,1,44.5,28,0.125,False,False,False
107,disty1,CYC_OLD_M02,8,1,44.5,28,0.125,False,False,False
107,disty1,DANCEART_B05,8,1,44.5,28,0.125,False,False,False
107,disty1,DANCEOTHER_O01,8,1,44.5,28,0.125,False,False,False
107,disty1,DARTS_I08,8,1,44.5,28,0.125,False,False,False
107,disty1,DIVING_U05,8,4,27.0,13,0.5,True,False,True
107,disty1,DODGEBALL_F12,8,1,44.5,28,0.125,False,False,False
107,disty1,DRIVINGRANGE_U10,8,4,27.0,13,0.5,True,False,True
107,disty1,EQUESTDRESSAGE_U15,8,4,27.0,13,0.5,True,False,True
107,disty1,EQUESTEVENTING_U16,8,4,27.0,13,0.5,True,False,True
107,disty1,EQUESTHACKING_U12,8,4,27.0,13,0.5,True,False,True
107,disty1,EQUESTOTHER_U17,8,4,29.0,19,0.5,True,False,True
107,disty1,EQUESTSCHOOLING_U13,8,4,27.0,13,0.5,True,False,True
107,disty1,EQUESTSHOWJUMP_U14,8,4,27.0,13,0.5,True,False,True
107,disty1,EQUEST_L09,8,1,44.5,28,0.125,False,False,False
107,disty1,FELLRUNNING_L04,8,1,44.5,28,0.125,False,False,False
107,disty1,FENCING_J03,8,1,44.5,28,0.125,False,False,False
107,disty1,FOOTBALL11_Q01,8,4,27.0,13,0.5,True,False,True
107,disty1,FOOTBALLOTHER_Q05,8,4,27.0,13,0.5,True,False,True
107,disty1,FOOTBALLSMALL_Q02,8,4,27.0,13,0.5,True,False,True
107,disty1,FOOTBALLWALK_Q04,8,4,27.0,13,0.5,True,False,True
107,disty1,FOOTBALL_F01,8,1,44.5,28,0.125,False,False,False
107,disty1,FRISBEE_I03,8,1,44.5,28,0.125,False,False,False
107,disty1,FUTSAL_Q03,8,4,27.0,13,0.5,True,False,True
107,disty1,GARDENTRAMP_L14,8,1,44.5,28,0.125,False,False,False
