activity,weighted_active_rate
ACTTRAV_C03,0.27092411859363796
WALKTRAV_B02,0.23099158511327017
GARD_B08,0.08200177463960152
RUNJOG_U07,0.060542517405732396
CYC_OLD_M02,0.05680218662926825
CYCTRAV_B04,0.055964159646885316
CYCLEISURE_N01,0.038265006671839054
FOOTBALL_F01,0.026993633928645865
DANCEOTHER_O01,0.02579372893818342
DANCEART_B05,0.013434573512706407
CYCROAD_N04,0.013367201314506394
TENNIS_G01,0.01153457147177756
FOOTBALLSMALL_Q02,0.011180659159444179
FOOTBALL11_Q01,0.008362369586248579
GOLF_L08,0.007108418792699209
BADMINTON_G02,0.006690163018108033
BASKETBALL_F07,0.005683509226284349
WINTER_C10,0.005301131643667471
SNOWSPORT_K01,0.004770091261969214
GOLFFULL_U08,0.004197169122160425
GYMTRAMPCHEER_C13,0.004072069337335371
BOXINGTRAD_S01,0.0040629081557706104
TRACKANDFIELD_L02,0.0035329052246667763
MARTIAL_J07,0.0033887044888383684
CYCMOUNTAIN_N02,0.0033147054490597137
CLIMBWALL_R02,0.003186442735629373
TABLETENNIS_G03,0.0031198729709818363
GYMNASTICS_L13,0.0029924339113239318
SKIING_T01,0.00280846431410278
INOUT_HOME_GARDENTRAMP_L14,0.002489789116871163
RUGBYUNION_F03,0.002253005546442242
NETBALL_F06,0.0020404480626307173
GYMNASTICSONLY_U24,0.0019072075075905217
EQUEST_L09,0.0018140563981431912
ROCKCLIMB_R01,0.0017472729148584661
CRICKETLONG_Q06,0.0017469222560829237
FELLRUNNING_L04,0.0017393110718091132
HOCKEY_F09,0.0017222291830124535
CRICKETSHORT_Q07,0.0016212422117323478
ROWINGWATER_R04,0.0016131345632230012
PARKOUR_H05,0.001420759030084319
GARDENTRAMP_L14,0.001218833150597098
SKATEBOARDING_L17,0.0011620210424703752
FOOTBALLOTHER_Q05,0.0011595150318828749
INOUT_HOME_DANCEART_B05,0.001104953338875393
ROLLERSKATING_L16,0.0011014806771981384
RUGBYUN15_Q13,0.0010754499695419459
KARATE_S02,0.0010703762036490458
VOLLEYBALL_F10,0.0009375870672767954
BOWLS_L10,0.0008673010723969065
BOWLSBOULES_C12,0.0008673010723969065
TRAMPOLINING_U25,0.0008201792774452414
FUTSAL_Q03,0.0008138712382216032
CYCTRACK_N05,0.0007042471413818837
CYCBMX_N03,0.000677626669905001
SHOOTING_J08,0.000663753933756277
MARTIALCHINESE_S05,0.000656294819384771
SNOWBOARDING_T02,0.0006258403639913081
DRIVINGRANGE_U10,0.0005839177672016999
RUGBYUNTOUCH_Q14,0.0005362816519813231
TAEKWONDO_J05,0.0005240963116311206
FRISBEE_I03,0.0005158595843661772
HANDBALL_F16,0.0005109759010003727
JUJITSU_S03,0.0005062340700966377
MARTIALOTHER_S06,0.00047454279149396233
CRICKETOTH_Q12,0.00046948838648693713
ICESKATING_I02,0.0004646501360445099
FOOTBALLWALK_Q04,0.0004568299284267395
RUGBYLEAGUE_F04,0.0004393041411044013
ROUNDERS_F11,0.0004240092636974445
BASESOFTBALL_F13,0.0004103347061002878
FENCING_J03,0.0004082553597496741
EQUESTHACKING_U12,0.0003994745007553218
DODGEBALL_F12,0.00038825762461664327
EQUESTSCHOOLING_U13,0.00038551365429932705
GOLFSHORT_U09,0.00038445887534358035
ORIENTEERING_H04,0.0003478333108496676
MOTORSPORTS_L18,0.00030934171362477785
CYCCROSS_N06,0.00030390288447666486
LACROSSE_F14,0.00028003683606435224
TRIATHLON_L05,0.0002574214607166346
AIKIDO_S04,0.0002510140576807782
RUGBYUN7_Q15,0.00024975072067439367
BOWLSFLATGREEN_U20,0.00022885238527531828
LIFESAVING_H13,0.00022469347111182418
EQUESTOTHER_U17,0.00021979826514581147
INOUT_HOME_TABLETENNIS_G03,0.00021086277498481788
DIVING_U05,0.00020466674560096055
ARCHERY_J01,0.00020142905326701877
CHEERLEADING_L15,0.00019756608902944586
WRESTLING_J09,0.00019461658528867443
WATERPOLO_U06,0.00017998486690762612
EQUESTDRESSAGE_U15,0.00017062241812729277
BOWLSCROWNGREEN_U19,0.00013361501144388505
RUGBYUNTAG_Q16,0.00011184937866265686
RUGBYLEAG13_Q17,0.00010897575484780833
ICEHOCKEY_K03,0.00010477893175163705
WATERSKIING_H10,0.00010048295276680185
EQUESTSHOWJUMP_U14,9.689296584571518e-05
HULAHOOP_P27,7.509297434819823e-05
GOLFADV_U11,6.942742319350152e-05
CAVING_H02,6.705637571554004e-05
RUGBYLEAGTOUCH_Q18,6.629901472290663e-05
SLEDDING_K02,6.0811627181593726e-05
ABSEILING_H03,5.655398870850074e-05
KARTING_U26,5.125453208145353e-05
RUGBYLEAGTAG_Q19,3.2929640714896146e-05
BOWLSCARPET_U18,2.9695025490345948e-05
AIRGUN_S08,2.9548514676647213e-05
MOTORCYCRACE_U27,2.9315979647398355e-05
GLIDING_H08,1.9900090567539222e-05
EQUESTEVENTING_U16,1.8352897507726385e-05
BOWLSSHORTMAT_U23,1.7240660673396763e-05
DARTS_I08,1.2758636190285715e-05
MOTORCARRACE_U28,1.1295066722289968e-05
CROQUET_I05,7.768331201172725e-06
RIFLE_S09,6.351591886302485e-06
HIGHROPES_H14,5.590623481687685e-06
WHEELCHRUGBY_F05,5.147023171760535e-06
GOALBALL_F15,0.0
BOCCIA_L11,0.0
BOULES_L12,0.0
POOL_I07,0.0
MODPENT_L06,0.0
INOUT_HOME_BOXINGTRAD_S01,0.0
INOUT_HOME_GYMNASTICSONLY_U24,0.0
SNOOKER_I06,0.0
SKITTLES_I09,0.0
TENPIN_I04,0.0
WHEELCHBASKETBALL_F08,0.0
