task,origin,horizon,forecast_year,selected_model,observations,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
age_days10p60gr,4,1,5,Naive baseline,31744,0.009082886648202943,0.03736015281453786,0.578966300816863,4748,0.04798364344327331,26996,0.0022411029297633913,6944,0.21875,0.00915135364398035,24800,0.009063715889385269
age_days10p60gr,4,2,6,Naive baseline,31744,0.008988380498099276,0.036040983954086614,0.6148940011354411,4583,0.04867024175433659,27161,0.002292678199312941,7739,0.24379410282258066,0.008632837217084044,24005,0.009103004511920431
age_days10p60gr,4,3,7,Naive baseline,31744,0.008793949874382156,0.03359501524124241,0.7309926950698544,5503,0.04104582755580463,26135,0.0020029767394723467,8605,0.27107484879032256,0.008573143358727001,23139,0.008875052539862649
age_days10p60gr,4,4,8,Naive baseline,31744,0.009326104218096896,0.03510904398153906,0.728863753984891,5717,0.04373229686141032,25974,0.0017531388164713163,7861,0.2476373487903226,0.010214432174038876,23883,0.009035685732982171
age_days10p60gr,5,1,6,Gradient Boosting,31744,0.0074685122437184795,0.025211871499907994,0.8115495515004909,4583,0.03674865010435844,27161,0.0025279404011753844,7739,0.24379410282258066,0.007927904487055782,24005,0.007320408241586114
age_days10p60gr,5,2,7,Gradient Boosting,31744,0.009079226936884809,0.028321198831402883,0.8088221141581536,5503,0.03931568950437973,26135,0.0027126207188276235,8605,0.27107484879032256,0.008879128852489053,23139,0.009152723355022133
age_days10p60gr,5,3,8,Gradient Boosting,31744,0.010153552090466643,0.031523386437779716,0.78141754316897,5717,0.04136423014196155,25974,0.003283934533663824,7861,0.2476373487903226,0.010734893435365192,23883,0.009963495848747934
age_days10p60gr,6,1,7,Naive baseline,31744,0.008640930250883375,0.032016786056926615,0.7556739034981168,5503,0.0421219522397128,26135,0.001591147813365549,8605,0.27107484879032256,0.007948309320359654,23139,0.00889533127463207
age_days10p60gr,6,2,8,Naive baseline,31744,0.009359161850641744,0.034946576920359816,0.7313673132836997,5717,0.04497608087315875,25974,0.0015197098581981577,7861,0.2476373487903226,0.009609868694373127,23883,0.009277198988528329
age_days10p60gr,7,1,8,Ridge Regression,31638,0.008791932762065649,0.029775789636044846,0.8054374624230181,5716,0.0369781092043179,25869,0.0025639307309119944,7755,0.2451166318983501,0.01032531493939637,23883,0.008297434184424598
