task,origin,model,parameters,validation_score,selected
age_days10p60gr,4,Naive baseline,{},0.008809466514717073,True
age_days10p60gr,4,Ridge Regression,"{""alpha"": 100.0}",0.008942503127117807,False
age_days10p60gr,4,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.010144747775741175,False
age_days10p60gr,4,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.008897509310092045,False
age_days10p60gr,5,Naive baseline,{},0.009082886648202943,False
age_days10p60gr,5,Ridge Regression,"{""alpha"": 100.0}",0.009452060279188173,False
age_days10p60gr,5,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.01031079849404785,False
age_days10p60gr,5,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.008896532333212658,True
age_days10p60gr,6,Naive baseline,{},0.007466111788564615,True
age_days10p60gr,6,Ridge Regression,"{""alpha"": 100.0}",0.00835785858089816,False
age_days10p60gr,6,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.008710399208280109,False
age_days10p60gr,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0074685122437184795,False
age_days10p60gr,7,Naive baseline,{},0.008640930250883375,False
age_days10p60gr,7,Ridge Regression,"{""alpha"": 100.0}",0.008045326506832954,True
age_days10p60gr,7,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.009435307908976833,False
age_days10p60gr,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.008748314151840565,False
