task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
age_overall_level,4,1,5,Gradient Boosting,256,0.12302629603685375,0.08201753069123584,0.12074621400787254,0.0939314749087219,0.13512128902742318,0.5003046823759951,0.057025960621395075,0.09560823927966146,-0.006086216394361799,0.09509515654359049,0.12782897333983181,0.5560199692609229,249,0.08817832430988103,7,0.34113676028554185,56,0.21875,0.2380516944242846,200,0.09081918448837314
age_overall_level,4,2,6,Gradient Boosting,256,0.11273356969645701,0.07515571313097134,0.10453814824834079,0.0871138117106413,0.11837917678861963,0.5595010063864476,0.04830870187531522,0.06628250575845639,-0.04759329782638355,0.09004462580695752,0.11990693579107575,0.5445806952561192,249,0.08493029923727957,7,0.2719685280712154,56,0.21875,0.19978598176436982,200,0.08835889431744144
age_overall_level,4,3,7,Gradient Boosting,256,0.10882320315599567,0.07254880210399711,0.10512937121754595,0.07952134602665986,0.11981224577769856,0.5253404020049324,0.0512123304705663,0.07230901712056056,-0.041462161280751975,0.08691272981476515,0.11650315825140782,0.5736347726584012,251,0.08280949435452438,5,0.2928951499188523,57,0.22265625,0.19779970065706104,199,0.08333747271599203
age_overall_level,4,4,8,Gradient Boosting,256,0.11146665692625501,0.07431110461750334,0.11147184836040597,0.08866312048324877,0.12943468919118664,0.3982117819495967,0.04352551460139516,0.05924584459474289,-0.019036733786288895,0.0907446787678661,0.13043967978683677,0.4527817820907233,252,0.08777106354166976,4,0.27808243801823573,51,0.19921875,0.21925329236199873,205,0.08465144518370417
age_overall_level,5,1,6,Gradient Boosting,256,0.10904460460674428,0.07269640307116286,0.10213925458442455,0.0827508106994137,0.11625934913318504,0.575135872432808,0.04763931482646604,0.06607074770170464,-0.040910328940297,0.08769908368760884,0.11582617156088493,0.5750515692410711,249,0.0822636737300185,7,0.2810443807504652,56,0.21875,0.2051415643015537,200,0.08213745589219766
age_overall_level,5,2,7,Gradient Boosting,256,0.10564354902701922,0.0704290326846795,0.10253417910487109,0.0772520280783992,0.1170830054299407,0.5467189392948355,0.05258669475936826,0.0721393508038817,-0.03658050890359843,0.08144837521627102,0.11237107082882282,0.6033427289674829,251,0.07741048575056765,5,0.28415042639457955,57,0.22265625,0.19963864833312392,199,0.07872032962778323
age_overall_level,5,3,8,Gradient Boosting,256,0.11099671021320517,0.07399780680880345,0.11192488821584544,0.08884149613320076,0.13079957344080706,0.3854531941069671,0.043341580859488846,0.05918813530770882,-0.01705248518866398,0.08981034343372074,0.130268100595993,0.45422044718611465,252,0.08687978607781237,4,0.27443545685594817,51,0.19921875,0.221208700952546,205,0.08357811739512526
age_overall_level,6,1,7,Gradient Boosting,256,0.10528960570674271,0.07019307047116181,0.10291593942418338,0.07637865877105424,0.11712432822561393,0.5463989245159475,0.05157340831319583,0.07095532267386487,-0.002832817633737994,0.08262714432923537,0.1141153174846958,0.5909331688853023,251,0.0781283732001018,5,0.3084654550117397,57,0.22265625,0.2048616093657987,199,0.07676898154309353
age_overall_level,6,2,8,Gradient Boosting,256,0.10711209639956248,0.07140806426637498,0.1079087140502289,0.08480921250120199,0.12529715503171943,0.4360706079658855,0.04337597534803745,0.058965728313868725,-0.009423435964954097,0.08603900494988553,0.1255250474180133,0.49324051322490103,252,0.08314122743323937,4,0.2685989884985933,51,0.19921875,0.21714549314805648,205,0.07973793428164448
age_overall_level,7,1,8,Gradient Boosting,256,0.10829036946343557,0.07219357964229038,0.10939999986481376,0.08530162881837144,0.12608573328807718,0.4289499058142978,0.04242389150435822,0.058936532042863206,-0.008424072273241379,0.08885521860414146,0.12858441959752426,0.468237390198611,252,0.08573694876914316,4,0.28530621820903473,51,0.19921875,0.2245963660493108,205,0.07935570689816905
