task,horizon,origins,observations,total_variation,overall_mae,overall_rmse,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2
age_activity_level,1,4,126870,0.007517068582914,0.005011379055276,0.0225392656688706,0.0070189283758184,0.0282489208819899,0.7212214992261126,0.0034358315775226,0.0155539639713653,0.5125220175551748,0.0045793772124869,0.0220029126357474,0.6315871752749406,13895,0.0404842756642736,112816,0.000157144869667,31043,0.2446835343264759,0.0055162031981864,95827,0.0081619257373895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,2,3,95232,0.0082201506716651,0.0054801004477767,0.0244050253447854,0.0077869511254604,0.0308660274571058,0.6832375307662822,0.0036788722980502,0.0165081629319313,0.4777433739648435,0.0049744779198196,0.0236977782053267,0.5955408074144171,10620,0.0437282922682736,84453,0.0001011695899725,24205,0.2541687668010752,0.0058940071244641,71027,0.0090076603192076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,3,2,63488,0.0088453771128677,0.0058969180752451,0.0257219282182615,0.0084951119127586,0.0329755880068532,0.6685345501832485,0.004008719704077,0.0177301100744963,0.4235660831959483,0.0051869226088998,0.0241475995938463,0.6273828883854636,7532,0.0433256364559484,55797,3.860293766359759e-05,16466,0.2593560987903225,0.0064888755800234,47022,0.0096626003380834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,4,1,31744,0.0092601940184951,0.0061734626789967,0.0272102259342967,0.0090465455435602,0.0355615825719375,0.6305856213099673,0.0042999477257047,0.0188418395427606,0.3634252143225739,0.0051738947677252,0.0245264778109404,0.6387316289954795,3829,0.0428046110016346,27862,2.406272296364157e-06,7861,0.2476373487903226,0.0072381044198759,23883,0.0099212699128977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,1,4,126870,,,,,,,,,,,,,20550,0.0408466849609054,106161,0.0022374024409292,31043,0.2446835343264759,0.008822613359835,95827,0.0083947808600181,0.0084990589331478,0.0314013324493955,0.7445973941417949,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,2,3,95232,,,,,,,,,,,,,15803,0.0444641442705974,79270,0.0021745813090986,24205,0.2541687668010752,0.0090559899726102,71027,0.0092540244892662,0.0092039373142795,0.0335651084380508,0.7210821170262012,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,3,2,63488,,,,,,,,,,,,,11220,0.0420098635558813,52109,0.002637397682983,16466,0.2593560987903225,0.0096572734580092,47022,0.0095976705941855,0.0096130181269173,0.033265721191174,0.7468393556846644,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,4,1,31744,,,,,,,,,,,,,5717,0.0437322968614103,25974,0.0017531388164713,7861,0.2476373487903226,0.0102144321740388,23883,0.0090356857329821,0.0093261042180968,0.035109043981539,0.728863753984891,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,1,4,126870,,,,,,,,,,,,,40917,0.0421701033743315,85794,0.0040901045263837,31043,0.2446835343264759,0.0142778364288975,95827,0.0170664201867325,,,,0.0163867426466848,0.0441721898011415,0.8160720909267479,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,2,3,95232,,,,,,,,,,,,,30277,0.0454747219077561,64796,0.0042887188429103,24205,0.2541687668010752,0.0145106167302227,71027,0.0183846662741128,,,,0.0174048360874943,0.0463827419930793,0.7919112758130407,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,3,2,63488,,,,,,,,,,,,,21256,0.0442916603671488,42073,0.004275565615128,16466,0.2593560987903225,0.0157762511395425,47022,0.0183762085312593,,,,0.0177067284323042,0.0475449256861041,0.7925211932021182,,,,,,,,,,,,,,,,,,,,,,,,
age_months12,4,1,31744,,,,,,,,,,,,,10945,0.0452944782472565,20746,0.0044254993197889,7861,0.2476373487903226,0.0173225186937647,23883,0.0189383765583741,,,,0.0185402629549261,0.0479082956670387,0.7982349672081812,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,1,4,1024,0.111412718953444,0.0742751459689627,0.1090551764959833,,,,,,,,,,1001,0.0835724178571274,23,0.3060356580498646,220,0.21484375,0.2179561313227832,804,0.0822590489021323,,,,,,,0.0845906432993903,0.1238847442286556,0.5158426689243065,0.0496656438163537,0.074186339283272,-0.0101024726621787,0.088569150791144,0.1217704881030622,0.5501861869266371,,,,,,,,,,,,,,,
age_overall_level,2,3,768,0.1084964050410129,0.0723309366940086,0.1050170984362005,,,,,,,,,,752,0.0818208321099088,16,0.2749329864041112,164,0.2135416666666666,0.2051331590508759,604,0.0822572864025732,,,,,,,0.0830583507634141,0.1203071578872201,0.5185315899101688,0.0480904573275736,0.066016194022402,-0.0323434894364751,0.085844001991038,0.119389374651901,0.5490437775187587,,,,,,,,,,,,,,,
age_overall_level,3,2,512,0.1099099566846004,0.0732733044564002,0.1085803050620278,,,,,,,,,,503,0.0848486862317978,9,0.2846908418908949,108,0.2109375,0.2088539507965956,404,0.0834595820209977,,,,,,,0.0841814210799303,0.1254262784479248,0.4583072320472153,0.0472769556650275,0.066075068362224,-0.0308505629075031,0.0883615366242429,0.1235774330439023,0.5147354813487413,,,,,,,,,,,,,,,
