task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_activity_level,4,1,5,Random Forest,31744,0.0071683919898375,0.004778927993225,0.0221018495953242,0.0067862615530977,0.0280984172236669,0.6738461582744355,0.0031123702204452,0.0142823481391606,0.5118091062037684,0.004438152206132,0.0217248417200116,0.5671977885281765,3276,0.0420700154775539,28468,0.0001076061868409,6944,0.21875,0.0041416051171256,24800,0.0080158923141968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,4,2,6,Random Forest,31744,0.007549695730352,0.0050331304869013,0.0230201819791808,0.007201966567492,0.0296550388229808,0.6425185479660412,0.0034616952527333,0.0161568092774782,0.449954955276919,0.0044357296404787,0.0211972290982215,0.5658535883252431,3088,0.0452753433449633,28656,3.481091073808105e-05,7739,0.2437941028225806,0.0047239555976914,24005,0.0084606893936164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,4,3,7,Random Forest,31744,0.0085508021635513,0.0057005347757008,0.0246079576581773,0.0082793132045301,0.0321644038201632,0.6702457783752394,0.0039999038954206,0.0179191448026225,0.3975127079901229,0.0048223872271518,0.0214711461444436,0.6851973716297561,3703,0.0410103821755348,27935,2.5389006501647277e-05,8605,0.2710748487903225,0.0062111627065335,23139,0.0094101563165049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,4,4,8,Random Forest,31744,0.0092863016784993,0.0061908677856662,0.0272996859387359,0.0090724065107941,0.035706741589296,0.6275636370212698,0.004310016537013,0.0188896260206322,0.3601921709817721,0.0051901803091914,0.0245770053288991,0.6372415824453619,3829,0.0429383994008416,27862,2.543710888111096e-06,7861,0.2476373487903226,0.0072488301339302,23883,0.0099524063479293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,5,1,6,Gradient Boosting,31744,0.0065629924505676,0.0043753283003784,0.0200431375608118,0.0060629657231921,0.02535606870827,0.7386512908979352,0.0032113308962587,0.014988357690802,0.5266360749816452,0.0038516882816843,0.0183739218252104,0.6738016521774874,3088,0.0379182558286389,28656,0.0001806399642291,7739,0.2437941028225806,0.0049917215656288,24005,0.0070695563072033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,5,2,7,Gradient Boosting,31744,0.0083129194738779,0.0055419463159186,0.0238595068577131,0.007816225526961,0.0299429461528105,0.7142222511413003,0.0037382475027948,0.0164695552623975,0.4910477054784791,0.0050713659179999,0.0232379415531692,0.6312574931356529,3703,0.0421344374091652,27935,0.0001583695431374,8605,0.2710748487903225,0.0058755179359544,23139,0.0092081818305403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,5,3,8,Gradient Boosting,31744,0.0091610247239309,0.0061073498159539,0.0268877118076129,0.0087345972593872,0.0339137521252542,0.6640278187385085,0.0040222779936391,0.0175470826259237,0.44790645093488,0.0055651741948354,0.0266609160917919,0.5731161668999436,3829,0.0456687830923706,27862,5.384268709507653e-05,7861,0.2476373487903226,0.0068310918283567,23883,0.0099227429355728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,6,1,7,Gradient Boosting,31744,0.0079988481075811,0.005332565405054,0.0232204138327195,0.0074489885471875,0.0289475024307569,0.7329075877848139,0.0036293636259274,0.0161002423793185,0.5136172529358847,0.0049193440420472,0.0228119958363307,0.644651520852476,3703,0.0407885205061845,27935,0.0001646076738102,8605,0.2710748487903225,0.0057732946033462,23139,0.0088162982667277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,6,2,8,Gradient Boosting,31744,0.00879831368144,0.0058655424542933,0.0262242857128112,0.0083420616207672,0.0328975723474471,0.6838600813801043,0.0038390338971261,0.0169117470469853,0.4871624948183999,0.0054155318449866,0.0263606151086185,0.5826786039897924,3829,0.0440058693864126,27862,0.0001121651647009,7861,0.2476373487903226,0.0070574489923336,23883,0.0093674495308954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,7,1,8,Gradient Boosting,31638,0.0083426494803172,0.0055617663202114,0.0245585681788267,0.0077805071137319,0.030363510084685,0.7312423942787871,0.0037906662311606,0.0167294017492017,0.4997450135034504,0.0051141256157418,0.024648614270041,0.6354431977752948,3828,0.0409207833917408,27757,0.0001759879940059,7755,0.2451166318983501,0.0069961443641654,23883,0.0087768822988325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
