task,origin,model,parameters,validation_score,selected
age_activity_level,4,Naive baseline,{},0.0056811416160491,False
age_activity_level,4,Ridge Regression,"{""alpha"": 0.1}",0.0055301252480634,False
age_activity_level,4,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0048969402971894,True
age_activity_level,4,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0056066254924371,False
age_activity_level,5,Naive baseline,{},0.005992671435817,False
age_activity_level,5,Ridge Regression,"{""alpha"": 0.1}",0.0058567311800014,False
age_activity_level,5,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.004778927993225,False
age_activity_level,5,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.004582890429868,True
age_activity_level,6,Naive baseline,{},0.0051497521929468,False
age_activity_level,6,Ridge Regression,"{""alpha"": 0.1}",0.0051212745417482,False
age_activity_level,6,Random Forest,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 220}",0.0043877497377425,False
age_activity_level,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.0043753283003784,True
age_activity_level,7,Naive baseline,{},0.0059898704773031,False
age_activity_level,7,Ridge Regression,"{""alpha"": 0.1}",0.006009313331028,False
age_activity_level,7,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0054336272962858,False
age_activity_level,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.005332565405054,True
age_days10p60gr,4,Naive baseline,{},0.008809466514717,True
age_days10p60gr,4,Ridge Regression,"{""alpha"": 100.0}",0.0089202667800826,False
age_days10p60gr,4,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0101453550311111,False
