task,horizon,origins,model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_overall_level,1,4,Naive baseline,1024,0.14821670608587922,0.09881113739058617,0.1481698920433271,0.10992240505502118,0.16658379030510082,0.12458026258715293,0.07115491179713702,0.109004637690364,-1.1807581435518846,0.11535609531960027,0.1619591939161599,0.2042806718896505,1001,0.1129742606347762,23,0.21901768312433512,220,0.21484375,0.29555651219353435,804,0.10789984371811291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,2,3,Naive baseline,768,0.1432545847881597,0.0955030565254398,0.13867573373547945,0.10500721513134059,0.1515030705017595,0.23646713957980658,0.0684649382306531,0.1011033113024387,-1.4213301911928622,0.11303701621432571,0.15658166384810787,0.22431599486564902,752,0.1115458902046967,16,0.1831199386668908,164,0.21354166666666666,0.27103493916741633,604,0.10855925677789799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,3,2,Naive baseline,512,0.1476414963210191,0.09842766421401274,0.15153549850813866,0.11452317055648693,0.17600590733586155,-0.06667091529332514,0.06818883391571087,0.10543882319597803,-1.6249532335463215,0.1125709881698404,0.16368749821002732,0.14860475487868574,503,0.11009326300382721,9,0.25104829467035533,108,0.2109375,0.29201510805925585,404,0.1090465704107974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,4,1,Naive baseline,256,0.1468446189385062,0.0978964126256708,0.14774049954796856,0.10786124388181054,0.15984251408402675,0.08224467323979212,0.06765091056798345,0.09970013607568717,-1.8857954979735734,0.11817708342721836,0.17318204057533523,0.03540100623933384,252,0.11621928789630331,4,0.2415182018748666,51,0.19921875,0.2992505266993545,205,0.1089290028614171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,1,4,Naive baseline,2000,0.2627106098190593,0.17514040654603952,0.25931727569511487,,,,,,,,,,1906,0.19727456710016528,83,0.4286240863638025,1302,0.651,0.3375328549812447,698,0.12432161482710896,0.2027011867155291,0.28589290278708285,-0.7445655211785223,0.11579136320860729,0.18588942990080495,-1.0809753497491195,0.20692866971398222,0.2923127031261864,-0.6640123263935573,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,2,3,Naive baseline,1496,0.26704014327888487,0.17802676218592325,0.26166645480494427,,,,,,,,,,1433,0.20119768168949223,57,0.4594387970718584,953,0.6370320855614974,0.34668352315499934,543,0.12814091539181227,0.2081024399743149,0.2914088686538691,-0.8562351934108023,0.11490114235920099,0.1843465264628799,-1.385459878025436,0.2110767042242539,0.29411771480396526,-0.7345352557437068,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,3,2,Naive baseline,997,0.24984445904414682,0.16656297269609788,0.24871204958722698,,,,,,,,,,962,0.19036119137217128,34,0.3958107806959902,620,0.6218655967903711,0.3244485417118708,377,0.12735128352340103,0.18611269295518015,0.2660027265671568,-0.6115053393818766,0.11620169436635397,0.18733330797337155,-1.7765694945156358,0.1973745307667595,0.2823505480997515,-0.6552671044527598,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,4,1,Naive baseline,495,0.24680394073276976,0.16453596048851318,0.24361502612962835,,,,,,,,,,477,0.18374958648028916,18,0.5188228131723446,306,0.6181818181818182,0.32998681182644085,189,0.11212691134301649,0.19143366953127158,0.26731701967932536,-0.7122346140487581,0.1062401444833586,0.17057773295719156,-1.6058497840422739,0.19593406745090933,0.2783697017948733,-0.7465322874489817,,,,,,,,,,,,,,,,,,,,,
age_activity_level,1,4,Naive baseline,126870,0.008796678281582789,0.00586445218772186,0.024358133423763056,,,,,,,,,,13895,0.03926911384194176,112816,0.0012059977229471096,31043,0.2446835343264759,0.007150952110106852,95827,0.009327077929697234,,,,,,,,,,0.007721639109065558,0.02923419421187073,0.7014357465558239,0.0044917569459690596,0.018844208602969377,0.28446870340051555,0.00537996050813096,0.023879147442484785,0.5660776444765225,,,,,,,,,,,,
age_activity_level,2,3,Naive baseline,95232,0.009158026150748016,0.0061053507671653415,0.025479738683068076,,,,,,,,,,10620,0.041248778629649,84453,0.0011288697047394164,24205,0.25416876680107525,0.007386442176743846,71027,0.009757791144889739,,,,,,,,,,0.00815543759086767,0.03100757409140378,0.6803256258694872,0.00455020521244033,0.01898925504233629,0.3089613783445815,0.0056104094981880275,0.025011793057986002,0.5494436621657666,,,,,,,,,,,,
