task,origin,horizon,forecast_year,model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_overall_level,4,1,5,Naive baseline,256,0.15785657839193967,0.10523771892795979,0.15572543691691335,0.11637666205836641,0.17201276819548045,0.19019754210025697,0.07693224671087945,0.12232870103926846,-0.6470291545419207,0.12240424801463345,0.1679241840494211,0.23381908719021216,249,0.11894955882574781,7,0.24529247773356586,56,0.21875,0.3030197212568511,200,0.11721089838976446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,4,2,6,Naive baseline,256,0.14971424445473705,0.09980949630315804,0.14369078960974555,0.11072537098716262,0.1601216358692346,0.19407555986362623,0.06784079498643962,0.09167008298774743,-1.0037803982790496,0.12086232293587187,0.1670292988298646,0.11629331076619187,249,0.11630673218178696,7,0.282911194045464,56,0.21875,0.2843306945758683,200,0.11202163842082033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,4,3,7,Naive baseline,256,0.14605694762242055,0.09737129841494703,0.14364820966919295,0.10955351003792016,0.1655227666703855,0.09406857799311097,0.071971084750378,0.102950557797874,-1.1111349085784101,0.11058930045654294,0.1546215404993139,0.24898887149578985,251,0.10571476617419093,5,0.3552909214306134,57,0.22265625,0.2736553108941171,199,0.10950867271545218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,4,4,8,Naive baseline,256,0.1468446189385062,0.0978964126256708,0.14774049954796856,0.10786124388181056,0.15984251408402675,0.08224467323979223,0.06765091056798345,0.09970013607568717,-1.8857954979735743,0.11817708342721836,0.17318204057533523,0.03540100623933384,252,0.11621928789630331,4,0.24151820187486664,51,0.19921875,0.2992505266993545,205,0.1089290028614171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,5,1,6,Naive baseline,256,0.14974220265706695,0.09982813510471132,0.14927029244385753,0.11129279270641038,0.16778409173022135,0.11509662400067411,0.07479209037137792,0.1226892911078378,-2.5892870258869034,0.11339952223634564,0.15375531544810128,0.2511702264622112,249,0.11233312138759488,7,0.15133292385619357,56,0.21875,0.2944050424556201,200,0.10923660751347208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,5,2,7,Naive baseline,256,0.14246110656252214,0.09497407104168143,0.14237775301002034,0.10190667741687265,0.15349274283570716,0.22096755907511056,0.07257786813019379,0.11769647643824482,-1.7592147408859353,0.11043766757797786,0.1529764393210282,0.2648846745399067,251,0.11004839448174598,5,0.12997917700881773,57,0.22265625,0.26966994867678545,199,0.10602440304235626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,5,3,8,Naive baseline,256,0.14922604501961767,0.09948403001307844,0.15903209259472056,0.11949283107505371,0.18589882341752695,-0.2413538414550409,0.06440658308104377,0.10786970623401194,-2.3781041990436864,0.11455267588313786,0.172277025032749,0.04545627611492442,252,0.1144543848460443,4,0.12074501122003267,51,0.19921875,0.3125348813614698,205,0.10859799305164472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,6,1,7,Naive baseline,256,0.14755122136014015,0.09836748090676012,0.14418520893736347,0.10859977271604836,0.16435856562071363,0.10676746257667968,0.07126822645458045,0.10138517667340417,-1.047422650876583,0.11523444354965152,0.15835223802314147,0.21231097903911078,251,0.11193166090942942,5,0.2810341320887997,57,0.22265625,0.2970747077706625,199,0.10472288605662372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,6,2,8,Naive baseline,256,0.13758840334721992,0.09172560223147995,0.12951606004803526,0.10238959698998645,0.1402161928513075,0.293782211818963,0.06497615157532591,0.09170481987330145,-1.441509248589636,0.10781105812912747,0.14917397462489598,0.2843062542130409,252,0.10833327819741553,4,0.0749111938269791,51,0.19921875,0.25796125593393887,205,0.1076419863622313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,7,1,8,Naive baseline,256,0.13771682193437018,0.09181121462291343,0.14316375675070614,0.10342039273925958,0.16200927386032365,0.05719459992838405,0.06162708365171028,0.08504185353362333,-1.099614116539367,0.11038616747777048,0.1673572886722968,0.09919588371192256,252,0.1087420660080232,4,0.21396456007184855,51,0.19921875,0.286929168073557,205,0.10059570167535294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
