task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
age_overall_level,4,1,5,Gradient Boosting,256,0.1230271591428346,0.08201810609522307,0.12074649021092451,0.09393250977521143,0.13512169108220773,0.5003017086744621,0.057025788860886405,0.09560823819925468,-0.006086193656104744,0.09509601964957135,0.12782933185419407,0.5560174788483565,249,0.08817921167988543,7,0.34113676028554185,56,0.21875,0.2380516944242846,200,0.09082028926402862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,4,2,6,Gradient Boosting,256,0.11273270462364227,0.0751551364157615,0.10453778451929026,0.08711277628584815,0.11837905579471375,0.5595019068432336,0.04830887222729362,0.0662828304984828,-0.04760356286705103,0.09004376073414276,0.11990592440270051,0.5445883779451162,249,0.08492940984514875,7,0.2719685280712154,56,0.21875,0.19978598176436982,200,0.08835778702423855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,4,3,7,Gradient Boosting,256,0.10882471615815877,0.07254981077210583,0.10512884242755943,0.07952337622977818,0.11981085452982772,0.5253514253409315,0.051211642917632694,0.07230852967380937,-0.04144811999914877,0.08691441316890663,0.11650346005042146,0.5736325636749942,251,0.0828112112416169,5,0.2928951499188523,57,0.22265625,0.19779970065706104,199,0.08333941909063398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,4,4,8,Gradient Boosting,256,0.11146373527592451,0.07430915685061634,0.11147004511955569,0.08866002848093987,0.129432163590108,0.39823526656803676,0.043525346597511456,0.05924585707272381,-0.019037163032334936,0.0907420954733977,0.13043755718721986,0.45279959132992187,252,0.08776843924252725,4,0.27808243801823573,51,0.19921875,0.21925329236199873,205,0.08464779668377923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,5,1,6,Gradient Boosting,256,0.10998018675095947,0.07332012450063964,0.10285414062879975,0.08384764148523804,0.11725740799289146,0.5678098457762203,0.047692047225851505,0.06607677710504299,-0.04110031784756463,0.08842068479082939,0.11671110714780236,0.5685333783889716,249,0.08293379474787198,7,0.28359720203317096,56,0.21875,0.20570166656485675,200,0.08317817240306821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,5,2,7,Gradient Boosting,256,0.10558086725873725,0.07038724483915816,0.10250297526144028,0.07720809764757788,0.11711638137743598,0.5464604758033018,0.05250974159481488,0.07210225629660048,-0.03551475056726949,0.08144389527508175,0.11227465280434677,0.6040231265555465,251,0.07740195362075045,5,0.28434936632251295,57,0.22265625,0.19897741757673532,199,0.07882909153951168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,5,3,8,Gradient Boosting,256,0.11069838386256634,0.07379892257504422,0.11177254754097632,0.08853963791852765,0.1305899382617729,0.387421509240356,0.04318165686319515,0.05904065309379927,-0.0119903127288703,0.08967547294340986,0.13015289646582373,0.4551853534949776,252,0.08674277478606798,4,0.27443545685594817,51,0.19921875,0.2208668089066341,205,0.083290629339408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,4,1,5,Gradient Boosting,495,0.2165278571565686,0.14435190477104573,0.2000319624263326,,,,,,,,,,467,0.14865722224608588,25,0.516277611562369,340,0.6868686868686869,0.2675933948199831,155,0.10550149462385439,0.16172122975424305,0.214660216631828,0.06312322569779305,0.10399736448169634,0.160310998871508,-0.03957251538172968,0.16733712007719778,0.21968098008882161,0.08872048603554439,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,4,2,6,Gradient Boosting,495,0.2041874142386619,0.13612494282577464,0.18850220330768439,,,,,,,,,,468,0.14799947182749934,22,0.5085794285548204,329,0.6646464646464646,0.2564234603628903,166,0.10223272180342105,0.1586707000642954,0.20968503717998555,0.09649942763680797,0.0855153524059351,0.12530678015605068,0.01211045939506794,0.16418877600709336,0.2166324952201446,0.10978065081316712,,,,,,,,,,,,,,,,,,,,,
disability_overall_level,4,3,7,Gradient Boosting,495,0.18932238559343248,0.126214923728955,0.1814302897304191,,,,,,,,,,479,0.14885370603940087,15,0.4951465014785227,307,0.6202020202020202,0.2466094069081166,188,0.09607861685782956,0.14606228211199668,0.1973986823583431,0.13531099960392656,0.07321381961120255,0.11956046592824067,-0.018421569828818374,0.1593686694636657,0.2132836263879706,0.11379850364377442,,,,,,,,,,,,,,,,,,,,,
