task,origin,horizon,forecast_year,selected_model,primary_metric,original_known_covid_value,no_future_covid_value,absolute_change,percentage_change
age_overall_level,4,1,5,Gradient Boosting,total_variation,0.1230271591428346,0.1230271591428346,0.0,0.0
age_overall_level,4,2,6,Gradient Boosting,total_variation,0.1127327046236422,0.11273270462364227,6.938893903907228e-17,6.155173804330079e-14
age_overall_level,4,3,7,Gradient Boosting,total_variation,0.1088247161581587,0.10882471615815877,6.938893903907228e-17,6.376211350574712e-14
age_overall_level,4,4,8,Gradient Boosting,total_variation,0.1114637352759245,0.11146373527592451,1.3877787807814457e-17,1.2450495915519507e-14
age_overall_level,5,1,6,Gradient Boosting,total_variation,0.1090446046067443,0.10998018675095947,0.0009355821442151718,0.8579811422942305
age_overall_level,5,2,7,Gradient Boosting,total_variation,0.1057996989110383,0.10558086725873725,-0.00021883165230104917,-0.20683579873422306
age_overall_level,5,3,8,Gradient Boosting,total_variation,0.1109240975507951,0.11069838386256634,-0.00022571368822876803,-0.2034848091735952
disability_overall_level,4,1,5,Gradient Boosting,total_variation,0.216523005526712,0.2165278571565686,4.851629856611472e-06,0.0022406994789350163
disability_overall_level,4,2,6,Gradient Boosting,total_variation,0.2041874142386619,0.2041874142386619,0.0,0.0
disability_overall_level,4,3,7,Gradient Boosting,total_variation,0.1893223855934324,0.18932238559343248,8.326672684688674e-17,4.3981448145123766e-14
disability_overall_level,4,4,8,Gradient Boosting,total_variation,0.1810287477220227,0.1810287477220227,0.0,0.0
disability_overall_level,5,1,6,Gradient Boosting,total_variation,0.205900753755443,0.20565672957412484,-0.00024402418131816428,-0.11851543856318374
disability_overall_level,5,2,7,Gradient Boosting,total_variation,0.1875987793137183,0.18762206353614833,2.3284222430031143e-05,0.012411713186626512
disability_overall_level,5,3,8,Gradient Boosting,total_variation,0.1811747271842941,0.18122788004745086,5.315286315676904e-05,0.029337901584198894
age_activity_level,4,1,5,Random Forest,total_variation,0.0071683919898375,0.007168391989837506,6.071532165918825e-18,8.469866288738572e-14
age_activity_level,4,2,6,Random Forest,total_variation,0.007549695730352,0.007549695730352053,5.2909066017292616e-17,7.00810574452459e-13
age_activity_level,4,3,7,Random Forest,total_variation,0.0085508021635513,0.008550802163551316,1.5612511283791264e-17,1.8258534094428293e-13
age_activity_level,4,4,8,Random Forest,total_variation,0.0092863016784993,0.009286301678499358,5.724587470723463e-17,6.164550397902405e-13
age_activity_level,5,1,6,Gradient Boosting,total_variation,0.0065629924505676,0.006562992450567635,3.5561831257524545e-17,5.418539107789006e-13
age_activity_level,5,2,7,Gradient Boosting,total_variation,0.0083129194738779,0.008312919473877942,4.163336342344337e-17,5.008272190566738e-13
age_activity_level,5,3,8,Gradient Boosting,total_variation,0.0091610247239309,0.009161024723930943,4.336808689942018e-17,4.733977716066177e-13
disability_activity_level,4,1,5,Gradient Boosting,total_variation,0.0079230882857481,0.007923088285748161,6.071532165918825e-17,7.663087860374067e-13
disability_activity_level,4,2,6,Gradient Boosting,total_variation,0.0080235831106037,0.008023583110603751,5.0306980803327406e-17,6.269889662742244e-13
disability_activity_level,4,3,7,Gradient Boosting,total_variation,0.0089324392185206,0.008932439218520641,4.163336342344337e-17,4.660917628985415e-13
