task,origin,model,parameters,validation_score,selected
disability_activity_level,4,Naive baseline,{},0.006566973088219835,False
disability_activity_level,4,Ridge Regression,"{""alpha"": 0.1}",0.005852438720118514,False
disability_activity_level,4,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0054648730935036305,False
disability_activity_level,4,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.005328071687191513,True
disability_activity_level,5,Naive baseline,{},0.007384896702665569,False
disability_activity_level,5,Ridge Regression,"{""alpha"": 0.1}",0.005957529480209904,False
disability_activity_level,5,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",0.0053311471227523695,False
disability_activity_level,5,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.005282058857165441,True
disability_activity_level,6,Naive baseline,{},0.007126509843003377,False
disability_activity_level,6,Ridge Regression,"{""alpha"": 0.1}",0.006049724387583374,False
disability_activity_level,6,Random Forest,"{""max_depth"": 8, ""max_features"": 0.8, ""min_samples_leaf"": 12, ""n_estimators"": 220}",0.005260148776248334,False
disability_activity_level,6,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.005233261432468714,True
disability_activity_level,7,Naive baseline,{},0.00756630470020163,False
disability_activity_level,7,Ridge Regression,"{""alpha"": 1.0}",0.0065377451502915025,False
disability_activity_level,7,Random Forest,"{""max_depth"": 6, ""max_features"": 0.5, ""min_samples_leaf"": 5, ""n_estimators"": 160}",0.006021634855461014,False
disability_activity_level,7,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",0.005752379422666116,True
