task,origin,horizon,forecast_year,selected_model,observations,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
disability_days10p60gr,4,1,5,Gradient Boosting,62992,0.009354689542888886,0.04459328121704266,0.4732793936166485,5492,0.0746066700118172,56756,0.003040575145550201,43772,0.6948818897637795,0.01033451488067507,19220,0.007161145077006258
disability_days10p60gr,4,2,6,Gradient Boosting,62992,0.009807843757925743,0.04655797890607954,0.4295028455020603,5316,0.07889399663122434,56879,0.0033509442225180294,44475,0.7060420370840742,0.010553595698442997,18517,0.008048760037133357
disability_days10p60gr,4,3,7,Gradient Boosting,62992,0.00939404389370051,0.0425116112020884,0.5671448058030997,6275,0.07101353770664176,56063,0.0024971185833138677,43814,0.6955486410972822,0.00983529900165775,19178,0.008401001320990396
disability_days10p60gr,4,4,8,Gradient Boosting,62992,0.009006912710346957,0.04048185188931164,0.5770380806752706,6312,0.0667516562909018,56415,0.0025461341677525747,43160,0.6851663703327406,0.009517538401746998,19832,0.007902470947912271
disability_days10p60gr,5,1,6,Gradient Boosting,62620,0.008964943691503162,0.04470651761805141,0.4768274955502878,5304,0.07388209718928977,56519,0.002872822773718694,44103,0.7042957521558607,0.009902439441150789,18517,0.006772407593094114
disability_days10p60gr,5,2,7,Gradient Boosting,62620,0.009361119339925124,0.042570650518739955,0.5557214941398907,6249,0.06851610700711677,55699,0.0027243840676171725,43442,0.6937400191632066,0.00996387260583324,19178,0.008016883382948894
disability_days10p60gr,5,3,8,Gradient Boosting,62620,0.008897594603939768,0.040017339918086745,0.5834007562207788,6302,0.06531420141808904,56053,0.002554714541449468,42788,0.6832960715426382,0.00949048045603435,19832,0.007626351910887229
disability_days10p60gr,6,1,7,Gradient Boosting,62691,0.0092425796861677,0.043459463536077915,0.5391606797745712,6250,0.06808009104800437,55716,0.00264242091648791,43513,0.6940868705236797,0.009929139198332718,19178,0.007710798040192272
disability_days10p60gr,6,2,8,Gradient Boosting,62691,0.009663451032814609,0.042315984065297976,0.5377679038372332,6309,0.06716192270526042,56011,0.003186904322678018,42859,0.6836547510806974,0.010464713538905648,19832,0.00794682934267765
disability_days10p60gr,7,1,8,Gradient Boosting,62710,0.009181620042661643,0.04190243604166706,0.5475361683179891,6309,0.06370811109965158,56083,0.003047717931887441,42878,0.6837505979907511,0.010237849225661675,19832,0.00691492409527956
