task,origin,horizon,forecast_year,selected_model,observations,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
disability_months12,4,1,5,Ridge Regression,62992,0.021024480761324665,0.06538911578282586,0.6230205299158029,11928,0.07040490118754436,50320,0.009319201452025215,43772,0.6948818897637795,0.0237985441116477,19220,0.014814158293182134
disability_months12,4,2,6,Ridge Regression,62992,0.021514957893000022,0.06692711348204225,0.5194031530231189,10116,0.07752025923165085,52079,0.010636299924494646,44475,0.7060420370840742,0.02334731514310626,18517,0.01719278367632668
disability_months12,4,3,7,Ridge Regression,62992,0.022356672015493646,0.06704796552810888,0.5478309310072005,11837,0.07638837729967662,50501,0.009692105067336693,43814,0.6955486410972822,0.024193298494997878,19178,0.018223352646664623
disability_months12,4,4,8,Ridge Regression,62992,0.022622932086715064,0.06633815857250026,0.5583165339361496,12179,0.07641460790547257,50548,0.009662403088601437,43160,0.6851663703327406,0.024541481835607688,19832,0.018473265311868912
disability_months12,5,1,6,Ridge Regression,62620,0.02142461113079428,0.06472029544783592,0.5504424379497483,10099,0.07434068648409259,51724,0.011092860976263321,44103,0.7042957521558607,0.02354128974190044,18517,0.01647430147304393
disability_months12,5,2,7,Ridge Regression,62620,0.02177067601215646,0.06438648962735687,0.5763385676287176,11787,0.07239930688981756,50161,0.009873790540276083,43442,0.6937400191632066,0.023866145154870542,19178,0.01709744547540178
disability_months12,5,3,8,Ridge Regression,62620,0.022546674559943723,0.06507032927107678,0.5696671971658225,12157,0.07425502822726664,50198,0.010023895653739396,42788,0.6832960715426382,0.024757395955670267,19832,0.017806532067483068
disability_months12,6,1,7,Gradient Boosting,62691,0.019775491248293826,0.0645712743985272,0.579241796692821,11812,0.07186325660592216,50154,0.007508061244619031,43513,0.6940868705236797,0.021730126943732105,19178,0.015414507196963509
disability_months12,6,2,8,Gradient Boosting,62691,0.020384524523160134,0.06600162912175588,0.5631870739080747,12165,0.0770095138232809,50155,0.0066502409056550214,42859,0.6836547510806974,0.02185053275531077,19832,0.01724375416376038
disability_months12,7,1,8,Gradient Boosting,62710,0.021240626138439984,0.06448566847767817,0.581276346725517,12138,0.07169386139733472,50254,0.009054504246203262,42878,0.6837505979907511,0.02355353286902759,19832,0.01627706671660614
