task,origin,horizon,forecast_year,selected_model,observations,total_variation,overall_mae,overall_rmse,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error
disability_overall_level,4,1,5,Gradient Boosting,495,0.2165278571565686,0.14435190477104573,0.2000319624263326,0.16172122975424305,0.214660216631828,0.06312322569779305,0.10399736448169634,0.160310998871508,-0.03957251538172968,0.16733712007719778,0.21968098008882161,0.08872048603554439,467,0.14865722224608588,25,0.516277611562369,340,0.6868686868686869,0.2675933948199831,155,0.10550149462385439
disability_overall_level,4,2,6,Gradient Boosting,495,0.2041874142386619,0.13612494282577464,0.18850220330768439,0.1586707000642954,0.20968503717998555,0.09649942763680797,0.0855153524059351,0.12530678015605068,0.01211045939506794,0.16418877600709336,0.2166324952201446,0.10978065081316712,468,0.14799947182749934,22,0.5085794285548204,329,0.6646464646464646,0.2564234603628903,166,0.10223272180342105
disability_overall_level,4,3,7,Gradient Boosting,495,0.18932238559343248,0.126214923728955,0.1814302897304191,0.14606228211199668,0.1973986823583431,0.13531099960392656,0.07321381961120255,0.11956046592824067,-0.018421569828818374,0.1593686694636657,0.2132836263879706,0.11379850364377442,479,0.14885370603940087,15,0.4951465014785227,307,0.6202020202020202,0.2466094069081166,188,0.09607861685782956
disability_overall_level,4,4,8,Gradient Boosting,495,0.1810287477220227,0.12068583181468182,0.16837865516129996,0.14056225449159018,0.1895848181814569,0.1387739372674267,0.07774547428547106,0.10637072078825116,-0.013325343938726864,0.14374976666698414,0.19441445680780978,0.14809767641485638,477,0.13025720235105667,18,0.501302721039062,306,0.6181818181818182,0.23657940833964844,189,0.09108958291253341
disability_overall_level,5,1,6,Gradient Boosting,502,0.20527651787640858,0.13685101191760574,0.1911021073853371,0.1588718138013875,0.21205955078093305,0.10402471179726358,0.08622387485098175,0.127349677537792,-0.015020322393486829,0.16545734710044796,0.21993829338012064,0.11552712986550728,473,0.148512125325335,23,0.5139395166495098,336,0.6693227091633466,0.25994703123582263,166,0.09659417204142895
disability_overall_level,5,2,7,Gradient Boosting,502,0.18765657334673427,0.1251043822311562,0.18350298001308613,0.1448645911374124,0.19918543256285193,0.14193519289775114,0.07333713218160415,0.12330557009873472,-0.019229781610989427,0.157111423374452,0.21480440139444268,0.11870672796145765,484,0.14427113518333418,17,0.5226819812862772,314,0.6254980079681275,0.2467482485887753,188,0.08927522041716596
disability_overall_level,5,3,8,Gradient Boosting,502,0.18133221430828542,0.12088814287219027,0.16927624086837706,0.14150496077796873,0.19193729920144884,0.12718725094951888,0.07798037650417712,0.10630645740350746,-0.0032357989402860277,0.14317909133442494,0.19447968391879952,0.14985383041681988,483,0.12892265576558062,19,0.5055926902687308,313,0.6235059760956175,0.23688638799876935,189,0.08932979967801304
disability_overall_level,6,1,7,Gradient Boosting,499,0.18327000538973995,0.12218000359315997,0.18100412297577018,0.1433801051565894,0.19890429301965562,0.13678934005910237,0.06818250487499578,0.11566809691298705,-0.02331780128283456,0.15497740074789473,0.21294471389908232,0.13073543600081516,481,0.14235882088637497,16,0.5343234578348324,311,0.6232464929859719,0.24219492011002805,188,0.08642001257820259
disability_overall_level,6,2,8,Gradient Boosting,499,0.1806023308939847,0.12040155392932314,0.17105963126437618,0.14042804474070972,0.19100607690389482,0.1306594440179023,0.07711653781195715,0.11197880853606798,-0.051284154394785286,0.14366007923530252,0.19687970278710576,0.1213538552907093,481,0.12909637322806924,18,0.5328346675397028,310,0.6212424849699398,0.23662543821680496,189,0.08871257814226895
disability_overall_level,7,1,8,Gradient Boosting,504,0.18411335610785493,0.12274223740523663,0.1760301897219443,0.1412541791450084,0.19280811404365697,0.11109314560029959,0.07657243639355718,0.11641129783144871,-0.10657987198871122,0.1504000966771443,0.20550747912608203,0.06110939869556753,485,0.13420397114693547,19,0.5638275115272104,315,0.625,0.24096962271522498,189,0.08935291176223809
