task,horizon,origins_original,observations_original,primary_metric_original,primary_value_original,positive_cell_mae_original,zero_cell_mae_original,small_n_rate_original,small_n_mean_error_original,large_n_mean_error_original,origins_no_covid_lookahead,observations_no_covid_lookahead,primary_metric_no_covid_lookahead,primary_value_no_covid_lookahead,positive_cell_mae_no_covid_lookahead,zero_cell_mae_no_covid_lookahead,small_n_rate_no_covid_lookahead,small_n_mean_error_no_covid_lookahead,large_n_mean_error_no_covid_lookahead,primary_value_change,primary_value_percentage_change
age_activity_level,1,4,126870,total_variation,0.00751678392515,0.0404892115841158,0.0001570962085116,0.2446835343264759,0.0055155347058789,0.0081617647853248,4,126870,total_variation,0.007517531695921422,0.040489211584115774,0.000157096208511653,0.2446835343264759,0.005518942716091209,0.008161764785324876,7.477707714221085e-07,0.00994801472103226
age_activity_level,2,3,95232,total_variation,0.0082198841569884,0.0437224628866252,0.000101201146964,0.2541687668010752,0.0058886834001643,0.00900910590926,3,95232,total_variation,0.008220309628556664,0.04372246288662519,0.00010120114696399505,0.25416876680107525,0.005891184909653223,0.00900910590926,4.254715682636828e-07,0.005176126088126855
age_activity_level,3,2,63488,total_variation,0.0088561687911783,0.0433785469538891,3.959723362307183e-05,0.2593560987903225,0.0065079926926251,0.0096705047964334,2,63488,total_variation,0.00885591344374113,0.04337854695388911,3.959723362307183e-05,0.25935609879032256,0.006507121823905867,0.009670504796433447,-2.5534743716866537e-07,-0.0028832720241626264
age_activity_level,4,1,31744,total_variation,0.0092863016784993,0.0429383994008416,2.543710888111096e-06,0.2476373487903226,0.0072488301339302,0.0099524063479293,1,31744,total_variation,0.009286301678499358,0.04293839940084166,2.5437108881110875e-06,0.2476373487903226,0.007248830133930237,0.009952406347929314,5.724587470723463e-17,6.164550397902405e-13
age_days10p60gr,1,4,126870,days10p60gr_rate_mae,0.0084955730283278,0.0408471716731852,0.002233147541079,0.2446835343264759,0.0088064793778685,0.0083953712929169,4,126870,days10p60gr_rate_mae,0.008518595580740258,0.040960261547196855,0.0022384767993014216,0.2446835343264759,0.008833460906071075,0.008416677406765464,2.3022552412458805e-05,0.27099469730519615
age_days10p60gr,2,3,95232,days10p60gr_rate_mae,0.0091422057847076,0.0440763280171217,0.0021778569309314,0.2541687668010752,0.009037141233718,0.0091777751061361,3,95232,days10p60gr_rate_mae,0.009108869052246034,0.043859264836867036,0.002181153512283996,0.25416876680107525,0.00903730970627795,0.00913329174866453,-3.333673246156549e-05,-0.36464648955210227
age_days10p60gr,3,2,63488,days10p60gr_rate_mae,0.0094743199075412,0.0412080653084836,0.00264147676339,0.2593560987903225,0.0096082169221286,0.0094278850766774,2,63488,days10p60gr_rate_mae,0.009393418201882728,0.040743961347011935,0.0026436950779119713,0.25935609879032256,0.009581063011878391,0.009327991041086928,-8.090170565847217e-05,-0.853905150427499
age_days10p60gr,4,1,31744,days10p60gr_rate_mae,0.0093261042180968,0.0437322968614103,0.0017531388164713,0.2476373487903226,0.0102144321740388,0.0090356857329821,1,31744,days10p60gr_rate_mae,0.009326104218096896,0.04373229686141032,0.0017531388164713163,0.2476373487903226,0.010214432174038876,0.009035685732982171,9.71445146547012e-17,1.0416408865150524e-12
age_months12,1,4,126870,months12_rate_mae,0.0163867426466848,0.0421701033743315,0.0040901045263837,0.2446835343264759,0.0142778364288975,0.0170664201867325,4,126870,months12_rate_mae,0.01638606026313734,0.042170103374331566,0.004090104526383671,0.2446835343264759,0.01427541699226444,0.017066420186732524,-6.823835474595308e-07,-0.004164241558999426
age_months12,2,3,95232,months12_rate_mae,0.0174048360874943,0.0454747219077561,0.0042887188429103,0.2541687668010752,0.0145106167302227,0.0183846662741128,3,95232,months12_rate_mae,0.017403882427365187,0.04547472190775613,0.004288718842910347,0.25416876680107525,0.014508987836263173,0.018384666274112862,-9.53660129112549e-07,-0.005479282449535803
