task,horizon,origins,observations,primary_metric,primary_value,positive_cell_mae,zero_cell_mae,small_n_rate,small_n_mean_error,large_n_mean_error
age_activity_level,1,4,126870,total_variation,0.007517068582914,0.0404842756642736,0.000157144869667,0.2446835343264759,0.0055162031981864,0.0081619257373895
age_activity_level,2,3,95232,total_variation,0.0082201506716651,0.0437282922682736,0.0001011695899725,0.2541687668010752,0.0058940071244641,0.0090076603192076
age_activity_level,3,2,63488,total_variation,0.0088453771128677,0.0433256364559484,3.860293766359759e-05,0.2593560987903225,0.0064888755800234,0.0096626003380834
age_activity_level,4,1,31744,total_variation,0.0092601940184951,0.0428046110016346,2.406272296364157e-06,0.2476373487903226,0.0072381044198759,0.0099212699128977
age_days10p60gr,1,4,126870,days10p60gr_rate_mae,0.0084990589331478,0.0408466849609054,0.0022374024409292,0.2446835343264759,0.008822613359835,0.0083947808600181
age_days10p60gr,2,3,95232,days10p60gr_rate_mae,0.0092039373142795,0.0444641442705974,0.0021745813090986,0.2541687668010752,0.0090559899726102,0.0092540244892662
age_days10p60gr,3,2,63488,days10p60gr_rate_mae,0.0096130181269173,0.0420098635558813,0.002637397682983,0.2593560987903225,0.0096572734580092,0.0095976705941855
age_days10p60gr,4,1,31744,days10p60gr_rate_mae,0.0093261042180968,0.0437322968614103,0.0017531388164713,0.2476373487903226,0.0102144321740388,0.0090356857329821
age_months12,1,4,126870,months12_rate_mae,0.0163867426466848,0.0421701033743315,0.0040901045263837,0.2446835343264759,0.0142778364288975,0.0170664201867325
age_months12,2,3,95232,months12_rate_mae,0.0174048360874943,0.0454747219077561,0.0042887188429103,0.2541687668010752,0.0145106167302227,0.0183846662741128
age_months12,3,2,63488,months12_rate_mae,0.0177067284323042,0.0442916603671488,0.004275565615128,0.2593560987903225,0.0157762511395425,0.0183762085312593
age_months12,4,1,31744,months12_rate_mae,0.0185402629549261,0.0452944782472565,0.0044254993197889,0.2476373487903226,0.0173225186937647,0.0189383765583741
age_overall_level,1,4,1024,total_variation,0.111412718953444,0.0835724178571274,0.3060356580498646,0.21484375,0.2179561313227832,0.0822590489021323
age_overall_level,2,3,768,total_variation,0.1084964050410129,0.0818208321099088,0.2749329864041112,0.2135416666666666,0.2051331590508759,0.0822572864025732
age_overall_level,3,2,512,total_variation,0.1099099566846004,0.0848486862317978,0.2846908418908949,0.2109375,0.2088539507965956,0.0834595820209977
age_overall_level,4,1,256,total_variation,0.111466656926255,0.0877710635416697,0.2780824380182357,0.19921875,0.2192532923619987,0.0846514451837041
disability_activity_level,1,4,251013,total_variation,0.0081146425611422,0.0759219727047147,0.0002148835577352,0.6942508953719528,0.0083419017558753,0.0076062668191567
disability_activity_level,2,3,188303,total_variation,0.0083722450632929,0.0770749351334835,0.0002298559052266,0.6944976978593013,0.008345134927536,0.0084330073568932
disability_activity_level,3,2,125612,total_variation,0.008712876873796,0.0766972541137088,0.0001551894384657,0.689440499315352,0.0084287532969494,0.0093369363568759
disability_activity_level,4,1,62992,total_variation,0.0084156668644427,0.0716584646679397,0.0002223669906282,0.6851663703327406,0.0081384369423775,0.0090152925959366
disability_days10p60gr,1,4,251013,participation_DAYS10P60GR_mae,0.009186269554039,0.0697514672307695,0.0029016689704974,0.6942508953719528,0.0101005313299389,0.0071410783386161
disability_days10p60gr,2,3,188303,participation_DAYS10P60GR_mae,0.0096111707510813,0.0711246620301303,0.003089439540138,0.6944976978593013,0.0103286865817855,0.0080029933535518
disability_days10p60gr,3,2,125612,participation_DAYS10P60GR_mae,0.0091457854071532,0.0681577519635822,0.0025259139937938,0.689440499315352,0.0096641714849328,0.00800718314357
disability_days10p60gr,4,1,62992,participation_DAYS10P60GR_mae,0.0090069127103469,0.0667516562909018,0.0025461341677525,0.6851663703327406,0.0095175384017469,0.0079024709479122
disability_months12,1,4,251013,participation_MONTHS_12_mae,0.0209121981958642,0.0720114966163726,0.0093075094623386,0.6942508953719528,0.0232161512278873,0.0157582864541179
disability_months12,2,3,188303,participation_MONTHS_12_mae,0.0213317422444762,0.0756530435141516,0.0091881805025863,0.6944976978593013,0.0231681336676226,0.0172158146881145
disability_months12,3,2,125612,participation_MONTHS_12_mae,0.022676878084053,0.0752699152369846,0.0101453004770515,0.689440499315352,0.0248111592052693,0.017989064464233
disability_months12,4,1,62992,participation_MONTHS_12_mae,0.0228976312927131,0.0763423482360889,0.010020698324972,0.6851663703327406,0.024955396540377,0.0184468527379256
disability_overall_level,1,4,2000,total_variation,0.1972238496282908,0.1433751066550411,0.5299460955466202,0.651,0.2530888374565748,0.0938976328857194
disability_overall_level,2,3,1496,total_variation,0.1907393135115031,0.1403799101609701,0.5204932912454435,0.6370320855614974,0.2467136029190411,0.0931193281175097
disability_overall_level,3,2,997,total_variation,0.1852844240514621,0.1388145428378412,0.5010500689551448,0.6218655967903711,0.2417122993146684,0.0926349418553752
disability_overall_level,4,1,495,total_variation,0.1810287477220227,0.1302572023510566,0.501302721039062,0.6181818181818182,0.2365794083396484,0.0910895829125334
