task,horizon,origins,observations,primary_metric,primary_value,positive_cell_mae,zero_cell_mae,small_n_rate,small_n_mean_error,large_n_mean_error
age_activity_level,1,4,126870,total_variation,0.007517531695921422,0.040489211584115774,0.000157096208511653,0.2446835343264759,0.005518942716091209,0.008161764785324876
age_activity_level,2,3,95232,total_variation,0.008220309628556664,0.04372246288662519,0.00010120114696399505,0.25416876680107525,0.005891184909653223,0.00900910590926
age_activity_level,3,2,63488,total_variation,0.00885591344374113,0.04337854695388911,3.959723362307183e-05,0.25935609879032256,0.006507121823905867,0.009670504796433447
age_activity_level,4,1,31744,total_variation,0.009286301678499358,0.04293839940084166,2.5437108881110875e-06,0.2476373487903226,0.007248830133930237,0.009952406347929314
age_days10p60gr,1,4,126870,days10p60gr_rate_mae,0.008518595580740258,0.040960261547196855,0.0022384767993014216,0.2446835343264759,0.008833460906071075,0.008416677406765464
age_days10p60gr,2,3,95232,days10p60gr_rate_mae,0.009108869052246034,0.043859264836867036,0.002181153512283996,0.25416876680107525,0.00903730970627795,0.00913329174866453
age_days10p60gr,3,2,63488,days10p60gr_rate_mae,0.009393418201882728,0.040743961347011935,0.0026436950779119713,0.25935609879032256,0.009581063011878391,0.009327991041086928
age_days10p60gr,4,1,31744,days10p60gr_rate_mae,0.009326104218096896,0.04373229686141032,0.0017531388164713163,0.2476373487903226,0.010214432174038876,0.009035685732982171
age_months12,1,4,126870,months12_rate_mae,0.01638606026313734,0.042170103374331566,0.004090104526383671,0.2446835343264759,0.01427541699226444,0.017066420186732524
age_months12,2,3,95232,months12_rate_mae,0.017403882427365187,0.04547472190775613,0.004288718842910347,0.25416876680107525,0.014508987836263173,0.018384666274112862
age_months12,3,2,63488,months12_rate_mae,0.017706744174352397,0.04429166036714882,0.0042755656151280096,0.25935609879032256,0.015773406852943053,0.018376208531259323
age_months12,4,1,31744,months12_rate_mae,0.018540262954926143,0.045294478247256555,0.004425499319788944,0.2476373487903226,0.017322518693764714,0.01893837655837414
age_overall_level,1,4,1024,total_variation,0.1116301084445283,0.08373131503364319,0.3063860249949782,0.21484375,0.21808732079806897,0.08250002546221616
age_overall_level,2,3,768,total_variation,0.10847734635388961,0.08189646363829843,0.27453547614192864,0.21354166666666666,0.20505384216354952,0.08225458921351839
age_overall_level,3,2,512,total_variation,0.10976155001036256,0.08478090112869775,0.2846908418908949,0.2109375,0.208692501774915,0.08331466191488814
age_overall_level,4,1,256,total_variation,0.11146373527592451,0.08776843924252725,0.27808243801823573,0.19921875,0.21925329236199873,0.08464779668377923
disability_activity_level,1,4,251013,total_variation,0.00811464637774335,0.07592197270471472,0.00021488355773516472,0.6942508953719528,0.008342141872617828,0.007606266819156681
disability_activity_level,2,3,188303,total_variation,0.00837211614649538,0.07707493513348353,0.00022985590522662941,0.6944976978593013,0.00834491928547316,0.008433007356893266
disability_activity_level,3,2,125612,total_variation,0.008713556949067128,0.07669725411370887,0.0001551894384657506,0.689440499315352,0.0084296473298027,0.00933693635687598
disability_activity_level,4,1,62992,total_variation,0.00841566686444272,0.07165846466793972,0.00022236699062821652,0.6851663703327406,0.008138436942377517,0.009015292595936612
disability_days10p60gr,1,4,251013,participation_DAYS10P60GR_mae,0.009204900519234149,0.06985448599507305,0.002911552911188575,0.6942508953719528,0.01011632816497337,0.007165359592168905
disability_days10p60gr,2,3,188303,participation_DAYS10P60GR_mae,0.00963218850463504,0.07136316557188681,0.0030873834008059257,0.6944976978593013,0.010344498328691675,0.008035352832614298
disability_days10p60gr,3,2,125612,participation_DAYS10P60GR_mae,0.009161106599942716,0.06830740986300277,0.002525360568658032,0.689440499315352,0.009674924425273521,0.008031797909912637
disability_days10p60gr,4,1,62992,participation_DAYS10P60GR_mae,0.009006912710346957,0.0667516562909018,0.0025461341677525747,0.6851663703327406,0.009517538401746998,0.007902470947912271
disability_months12,1,4,251013,participation_MONTHS_12_mae,0.020761405763299788,0.07197699861474957,0.009131163013099748,0.6942508953719528,0.02304323994681496,0.015656782099057697
disability_months12,2,3,188303,participation_MONTHS_12_mae,0.021213247720667426,0.07557181312660277,0.009059475007121663,0.6944976978593013,0.023016704466491105,0.017172700824246954
disability_months12,3,2,125612,participation_MONTHS_12_mae,0.022436470857903706,0.07531853400967373,0.009836332751886832,0.689440499315352,0.024452462782905058,0.018006722381331542
disability_months12,4,1,62992,participation_MONTHS_12_mae,0.022622932086715064,0.07641460790547257,0.009662403088601437,0.6851663703327406,0.02454148183560769,0.018473265311868912
disability_overall_level,1,4,2000,total_variation,0.19733291585327561,0.14339870137825897,0.5304570024848779,0.651,0.25320973427350274,0.09396248563068577
disability_overall_level,2,3,1496,total_variation,0.1907617707616193,0.14036822373243166,0.5205426554268068,0.6370320855614974,0.24675493283199973,0.09307981809761659
disability_overall_level,3,2,997,total_variation,0.18524671680297836,0.13880952650537046,0.5009309225760765,0.6218655967903711,0.24171622072397517,0.0925310525862586
disability_overall_level,4,1,495,total_variation,0.1810287477220227,0.13025720235105667,0.501302721039062,0.6181818181818182,0.23657940833964844,0.09108958291253341
