task,horizon,origins,observations,primary_metric,selected_primary_value,naive_primary_value,absolute_improvement_over_naive,percentage_improvement_over_naive,selected_model_better_than_naive
age_activity_level,1,4,126870,total_variation,0.007517068582914,0.008796678281582789,0.0012796096986687888,14.546510145174347,True
age_activity_level,2,3,95232,total_variation,0.0082201506716651,0.009158026150748016,0.0009378754790829169,10.241022067908295,True
age_activity_level,3,2,63488,total_variation,0.0088453771128677,0.009309745154754212,0.0004643680418865131,4.987978018381889,True
age_activity_level,4,1,31744,total_variation,0.0092601940184951,0.009444537140757958,0.00018434312226285783,1.951849196159375,True
age_days10p60gr,1,4,126870,days10p60gr_rate_mae,0.0084990589331478,0.008573275373202625,7.421644005482439e-05,0.8656719494488856,True
age_days10p60gr,2,3,95232,days10p60gr_rate_mae,0.0092039373142795,0.009003223323019657,-0.00020071399125984324,-2.229357020908866,False
age_days10p60gr,3,2,63488,days10p60gr_rate_mae,0.0096130181269173,0.009133542018500253,-0.0004794761084170474,-5.24961846615316,False
age_days10p60gr,4,1,31744,days10p60gr_rate_mae,0.0093261042180968,0.009326104218096896,9.71445146547012e-17,1.0416408865150417e-12,True
age_months12,1,4,126870,months12_rate_mae,0.0163867426466848,0.016386742646684896,9.71445146547012e-17,5.928238256329358e-13,True
age_months12,2,3,95232,months12_rate_mae,0.0174048360874943,0.017404836087494366,6.591949208711867e-17,3.7874238950450563e-13,True
age_months12,3,2,63488,months12_rate_mae,0.0177067284323042,0.017706728432304256,5.551115123125783e-17,3.1350314906271993e-13,True
age_months12,4,1,31744,months12_rate_mae,0.0185402629549261,0.018540262954926143,4.5102810375396984e-17,2.432695290517073e-13,True
age_overall_level,1,4,1024,total_variation,0.111412718953444,0.14821670608587922,0.036803987132435226,24.831200277187637,True
age_overall_level,2,3,768,total_variation,0.1084964050410129,0.1432545847881597,0.03475817974714679,24.26322326684767,True
age_overall_level,3,2,512,total_variation,0.1099099566846004,0.1476414963210191,0.03773153963641872,25.556188860602216,True
age_overall_level,4,1,256,total_variation,0.111466656926255,0.1468446189385062,0.0353779620122512,24.09210651911348,True
disability_activity_level,1,4,251013,total_variation,0.0081146425611422,0.011122715025042782,0.0030080724639005817,27.044408286357328,True
disability_activity_level,2,3,188303,total_variation,0.0083722450632929,0.01112439560867625,0.0027521505453833497,24.73977591408979,True
disability_activity_level,3,2,125612,total_variation,0.008712876873796,0.011134070929576833,0.002421194055780833,21.745811312815608,True
disability_activity_level,4,1,62992,total_variation,0.0084156668644427,0.010741049101510258,0.0023253822370675574,21.649488938101907,True
disability_days10p60gr,1,4,251013,participation_DAYS10P60GR_mae,0.009186269554039,0.010616668819325091,0.0014303992652860906,13.473145763786027,True
disability_days10p60gr,2,3,188303,participation_DAYS10P60GR_mae,0.0096111707510813,0.010652290844999935,0.0010411200939186346,9.773673185118906,True
disability_days10p60gr,3,2,125612,participation_DAYS10P60GR_mae,0.0091457854071532,0.010523513150893357,0.0013777277437401567,13.091899292425927,True
disability_days10p60gr,4,1,62992,participation_DAYS10P60GR_mae,0.0090069127103469,0.010134977115917005,0.001128064405570105,11.130409005053176,True
disability_months12,1,4,251013,participation_MONTHS_12_mae,0.0209121981958642,0.02193808726020901,0.0010258890643448093,4.676292204405406,True
disability_months12,2,3,188303,participation_MONTHS_12_mae,0.0213317422444762,0.02202250067606725,0.0006907584315910507,3.136603066797614,True
disability_months12,3,2,125612,participation_MONTHS_12_mae,0.022676878084053,0.022882884211430043,0.0002060061273770411,0.9002629453246137,True
disability_months12,4,1,62992,participation_MONTHS_12_mae,0.0228976312927131,0.022855489327733555,-4.21419649795432e-05,-0.18438443550804595,False
disability_overall_level,1,4,2000,total_variation,0.1972238496282908,0.2627106098190593,0.06548676019076852,24.927337436379982,True
disability_overall_level,2,3,1496,total_variation,0.1907393135115031,0.26704014327888487,0.07630082976738176,28.572793899266507,True
disability_overall_level,3,2,997,total_variation,0.1852844240514621,0.24984445904414682,0.06456003499268473,25.84009076674266,True
disability_overall_level,4,1,495,total_variation,0.1810287477220227,0.24680394073276976,0.06577519301074705,26.650787185754872,True
