task,origin,horizon,forecast_year,selected_model,primary_metric,selected_primary_value,naive_primary_value,absolute_improvement_over_naive,percentage_improvement_over_naive,selected_model_better_than_naive
age_activity_level,4,1,5,Random Forest,total_variation,0.0071695285925593,0.008989007153725576,0.001819478561166276,20.24115155378619,True
age_activity_level,4,2,6,Random Forest,total_variation,0.0075504942099307,0.009127182916798178,0.0015766887068674783,17.27464784304533,True
age_activity_level,4,3,7,Random Forest,total_variation,0.008529200728703,0.00918342119787914,0.0006542204691761411,7.123929688940213,True
age_activity_level,4,4,8,Random Forest,total_variation,0.0092601940184951,0.009444537140757958,0.00018434312226285783,1.951849196159375,True
age_activity_level,5,1,6,Gradient Boosting,total_variation,0.0065629924505676,0.007724628289420349,0.0011616358388527488,15.038080737732395,True
age_activity_level,5,2,7,Gradient Boosting,total_variation,0.0083129194738779,0.008857146987315743,0.0005442275134378421,6.144501318734198,True
age_activity_level,5,3,8,Gradient Boosting,total_variation,0.0091610247239309,0.009435857847557013,0.0002748331236261132,2.912645867140408,True
age_activity_level,6,1,7,Gradient Boosting,total_variation,0.0079988477584164,0.008984805715954716,0.0009859579575383151,10.973614663559236,True
age_activity_level,6,2,8,Gradient Boosting,total_variation,0.008798313410515,0.00948929694028365,0.00069098352976865,7.281714695166821,True
age_activity_level,7,1,8,Gradient Boosting,total_variation,0.0083426494803172,0.009492384834226287,0.0011497353539090868,12.112186494626041,True
age_days10p60gr,4,1,5,Naive baseline,days10p60gr_rate_mae,0.0090828866482029,0.009082886648202943,4.336808689942018e-17,4.774703084949386e-13,True
age_days10p60gr,4,2,6,Naive baseline,days10p60gr_rate_mae,0.0089883804980992,0.008988380498099276,7.632783294297951e-17,8.491833757941172e-13,True
age_days10p60gr,4,3,7,Naive baseline,days10p60gr_rate_mae,0.0087939498743821,0.008793949874382156,5.551115123125783e-17,6.312425249655852e-13,True
age_days10p60gr,4,4,8,Naive baseline,days10p60gr_rate_mae,0.0093261042180968,0.009326104218096896,9.71445146547012e-17,1.0416408865150417e-12,True
age_days10p60gr,5,1,6,Gradient Boosting,days10p60gr_rate_mae,0.0074685122437184,0.007466111788564615,-2.400455153784946e-06,-0.03215134224833836,False
age_days10p60gr,5,2,7,Gradient Boosting,days10p60gr_rate_mae,0.0092647317637066,0.008661581081266103,-0.0006031506824404967,-6.9635171313587865,False
age_days10p60gr,5,3,8,Gradient Boosting,days10p60gr_rate_mae,0.0104307165704411,0.009472566229020854,-0.0009581503414202459,-10.115002822411371,False
age_days10p60gr,6,1,7,Naive baseline,days10p60gr_rate_mae,0.0086409302508833,0.008640930250883375,7.45931094670027e-17,8.632532297014774e-13,True
age_days10p60gr,6,2,8,Naive baseline,days10p60gr_rate_mae,0.0093591618506417,0.009359161850641744,4.336808689942018e-17,4.633757551318176e-13,True
age_days10p60gr,7,1,8,Ridge Regression,days10p60gr_rate_mae,0.0088059173270697,0.009106067378808938,0.00030015005173923866,3.2961545226178406,True
age_months12,4,1,5,Naive baseline,months12_rate_mae,0.0170299718372257,0.017029971837225776,7.632783294297951e-17,4.4819705911747124e-13,True
age_months12,4,2,6,Naive baseline,months12_rate_mae,0.0181237150739461,0.018123715073946133,3.122502256758253e-17,1.7228820051618593e-13,True
age_months12,4,3,7,Naive baseline,months12_rate_mae,0.0177255541397634,0.017725554139763476,7.632783294297951e-17,4.306090085598757e-13,True
age_months12,4,4,8,Naive baseline,months12_rate_mae,0.0185402629549261,0.018540262954926143,4.5102810375396984e-17,2.432695290517073e-13,True
age_months12,5,1,6,Naive baseline,months12_rate_mae,0.0162491970185073,0.01624919701850731,1.0408340855860843e-17,6.405449354824166e-14,True
age_months12,5,2,7,Naive baseline,months12_rate_mae,0.0164130107445364,0.016413010744536438,3.8163916471489756e-17,2.325223389267186e-13,True
age_months12,5,3,8,Naive baseline,months12_rate_mae,0.0176879342089413,0.017687934208941318,1.734723475976807e-17,9.80738313182948e-14,True
age_months12,6,1,7,Naive baseline,months12_rate_mae,0.0152596087832078,0.01525960878320782,2.0816681711721685e-17,1.3641687678539342e-13,True
age_months12,6,2,8,Naive baseline,months12_rate_mae,0.017674921463613,0.01767492146361307,7.28583859910259e-17,4.122133506562826e-13,True
age_months12,7,1,8,Naive baseline,months12_rate_mae,0.0170075386628009,0.017007538662800997,9.71445146547012e-17,5.711850290670004e-13,True
age_overall_level,4,1,5,Gradient Boosting,total_variation,0.1230262960368537,0.15785657839193967,0.03483028235508598,22.06451115936797,True
age_overall_level,4,2,6,Gradient Boosting,total_variation,0.112733569696457,0.14971424445473705,0.036980674758280055,24.70083918398318,True
age_overall_level,4,3,7,Gradient Boosting,total_variation,0.1088232031559956,0.14605694762242055,0.03723374446642495,25.492621249815414,True
age_overall_level,4,4,8,Gradient Boosting,total_variation,0.111466656926255,0.1468446189385062,0.0353779620122512,24.09210651911348,True
age_overall_level,5,1,6,Gradient Boosting,total_variation,0.1090446046067442,0.14974220265706695,0.04069759805032275,27.178442234836503,True
age_overall_level,5,2,7,Gradient Boosting,total_variation,0.1056435490270192,0.14246110656252214,0.03681755753550295,25.843936232058372,True
age_overall_level,5,3,8,Gradient Boosting,total_variation,0.1109967102132051,0.14922604501961767,0.038229334806412565,25.618406492906,True
age_overall_level,6,1,7,Gradient Boosting,total_variation,0.1052896057067427,0.14755122136014015,0.04226161565339745,28.64199649709854,True
age_overall_level,6,2,8,Gradient Boosting,total_variation,0.1071120963995624,0.13758840334721992,0.030476306947657517,22.15034567320845,True
age_overall_level,7,1,8,Gradient Boosting,total_variation,0.1082903694634355,0.13771682193437018,0.029426452470934686,21.36736243082784,True
disability_activity_level,4,1,5,Gradient Boosting,total_variation,0.0079230882857481,0.011077345053998357,0.003154256768250256,28.474844404271135,True
disability_activity_level,4,2,6,Gradient Boosting,total_variation,0.0080235831106037,0.011029254605372697,0.0030056714947689963,27.251809866687083,True
disability_activity_level,4,3,7,Gradient Boosting,total_variation,0.0089324392185206,0.011214339958070052,0.002281900739549453,20.348061036863374,True
disability_activity_level,4,4,8,Gradient Boosting,total_variation,0.0084156668644427,0.010741049101510258,0.0023253822370675574,21.649488938101907,True
disability_activity_level,5,1,6,Gradient Boosting,total_variation,0.007849892148703,0.010689764764505068,0.0028398726158020676,26.56627791503654,True
disability_activity_level,5,2,7,Gradient Boosting,total_variation,0.0087828916444691,0.011195028030510156,0.0024121363860410555,21.546497065189882,True
disability_activity_level,5,3,8,Gradient Boosting,total_variation,0.0084933743889039,0.011053823785030118,0.002560449396126218,23.163472169637465,True
disability_activity_level,6,1,7,Gradient Boosting,total_variation,0.0086285691339991,0.011349457050302447,0.0027208879163033474,23.973727591055464,True
disability_activity_level,6,2,8,Gradient Boosting,total_variation,0.0083120123247948,0.011149134976980132,0.0028371226521853327,25.447020401521762,True
disability_activity_level,7,1,8,Gradient Boosting,total_variation,0.0080576730982191,0.011371788264842062,0.0033141151666229614,29.143307010640946,True
disability_days10p60gr,4,1,5,Gradient Boosting,participation_DAYS10P60GR_mae,0.0093546895428888,0.010613614174803283,0.001258924631914484,11.86141319234282,True
disability_days10p60gr,4,2,6,Gradient Boosting,participation_DAYS10P60GR_mae,0.0098078437579257,0.010604702148498575,0.0007968583905728754,7.514198696148156,True
disability_days10p60gr,4,3,7,Gradient Boosting,participation_DAYS10P60GR_mae,0.0093940438937005,0.010504818656376804,0.0011107747626763042,10.573954667956347,True
disability_days10p60gr,4,4,8,Gradient Boosting,participation_DAYS10P60GR_mae,0.0090069127103469,0.010134977115917005,0.001128064405570105,11.130409005053176,True
disability_days10p60gr,5,1,6,Gradient Boosting,participation_DAYS10P60GR_mae,0.0089649436915031,0.01015624835550401,0.0011913046640009087,11.729770898673435,True
disability_days10p60gr,5,2,7,Gradient Boosting,participation_DAYS10P60GR_mae,0.0093611193399251,0.010657828346790372,0.0012967090068652723,12.166728198956019,True
disability_days10p60gr,5,3,8,Gradient Boosting,participation_DAYS10P60GR_mae,0.0088975946039397,0.010542202548682999,0.0016446079447432985,15.600230949354636,True
disability_days10p60gr,6,1,7,Gradient Boosting,participation_DAYS10P60GR_mae,0.0092425796861677,0.010831342197496343,0.0015887625113286431,14.6681960772681,True
disability_days10p60gr,6,2,8,Gradient Boosting,participation_DAYS10P60GR_mae,0.0096634510328146,0.01069427964182259,0.0010308286090079909,9.639065402560487,True
disability_days10p60gr,7,1,8,Gradient Boosting,participation_DAYS10P60GR_mae,0.0091816200426616,0.01086273032232619,0.0016811102796645896,15.47594600787797,True
disability_months12,4,1,5,Ridge Regression,participation_MONTHS_12_mae,0.0210905200276094,0.023066567623140057,0.0019760475955306576,8.566717111167916,True
disability_months12,4,2,6,Ridge Regression,participation_MONTHS_12_mae,0.0216324535682747,0.022200546506745418,0.000568092938470717,2.558914206450312,True
disability_months12,4,3,7,Ridge Regression,participation_MONTHS_12_mae,0.0225544086989694,0.022942900660748774,0.00038849196177937265,1.6932992367613453,True
disability_months12,4,4,8,Ridge Regression,participation_MONTHS_12_mae,0.0228976312927131,0.022855489327733555,-4.21419649795432e-05,-0.18438443550804595,False
disability_months12,5,1,6,Ridge Regression,participation_MONTHS_12_mae,0.0215199412038752,0.02157404039848848,5.409919461328225e-05,0.250760606794231,True
disability_months12,5,2,7,Ridge Regression,participation_MONTHS_12_mae,0.0219371920169765,0.022439612666239065,0.0005024206492625638,2.2389898468188254,True
disability_months12,5,3,8,Ridge Regression,participation_MONTHS_12_mae,0.022799314080001,0.022822884124546375,2.357004454537487e-05,0.10327373357701497,True
disability_months12,6,1,7,Gradient Boosting,participation_MONTHS_12_mae,0.0197960385347608,0.02066155037225279,0.0008655118374919883,4.188997543254636,True
disability_months12,6,2,8,Gradient Boosting,participation_MONTHS_12_mae,0.0204297983534219,0.021430189796635416,0.0010003914432135178,4.668140845726813,True
disability_months12,7,1,8,Gradient Boosting,participation_MONTHS_12_mae,0.0212406261384399,0.0224407592101307,0.0012001330716907982,5.348005655481602,True
disability_overall_level,4,1,5,Gradient Boosting,total_variation,0.216523005526712,0.28156775070616297,0.06504474517945097,23.10092154244256,True
disability_overall_level,4,2,6,Gradient Boosting,total_variation,0.2041874142386619,0.2682839686863329,0.06409655444767101,23.89130992862648,True
disability_overall_level,4,3,7,Gradient Boosting,total_variation,0.1893223855934324,0.2399022978252197,0.050579912231787316,21.083546381301108,True
disability_overall_level,4,4,8,Gradient Boosting,total_variation,0.1810287477220227,0.24680394073276976,0.06577519301074705,26.650787185754872,True
disability_overall_level,5,1,6,Gradient Boosting,total_variation,0.2052765178764085,0.26321049290576737,0.057933975029358875,22.010511203328036,True
disability_overall_level,5,2,7,Gradient Boosting,total_variation,0.1876684925815039,0.2764420098608131,0.08877351727930918,32.112889543816486,True
disability_overall_level,5,3,8,Gradient Boosting,total_variation,0.1813108124942243,0.25962817944683597,0.07831736695261168,30.165202837178434,True
disability_overall_level,6,1,7,Gradient Boosting,total_variation,0.1833775328902828,0.25708957450534015,0.07371204161505734,28.67173503899756,True
disability_overall_level,6,2,8,Gradient Boosting,total_variation,0.1806168925287815,0.2563792021823006,0.0757623096535191,29.550879715916924,True
