lam,subset,error,observations,task,year,fixed_model,validation_selected_lambda,is_selected_lambda
0,all,0.10829036946343558,256,age_overall_level,8,Gradient Boosting,20,False
0,n_eff<20,0.23976212298589433,46,age_overall_level,8,Gradient Boosting,20,False
0,n_eff<30,0.1873755692515903,74,age_overall_level,8,Gradient Boosting,20,False
0,n_eff<50,0.13627697710895034,150,age_overall_level,8,Gradient Boosting,20,False
20,all,0.10933807152494347,256,age_overall_level,8,Gradient Boosting,20,True
20,n_eff<20,0.23739497891467246,46,age_overall_level,8,Gradient Boosting,20,True
20,n_eff<30,0.18631732227267359,74,age_overall_level,8,Gradient Boosting,20,True
20,n_eff<50,0.13668231199913586,150,age_overall_level,8,Gradient Boosting,20,True
0,all,0.18411335610785493,504,disability_overall_level,8,Gradient Boosting,5,False
0,n_eff<20,0.2408026514445961,315,disability_overall_level,8,Gradient Boosting,5,False
0,n_eff<30,0.2190313968820062,383,disability_overall_level,8,Gradient Boosting,5,False
0,n_eff<50,0.20353108184469934,437,disability_overall_level,8,Gradient Boosting,5,False
5,all,0.18212395858789746,504,disability_overall_level,8,Gradient Boosting,5,True
5,n_eff<20,0.23765936726848413,315,disability_overall_level,8,Gradient Boosting,5,True
5,n_eff<30,0.21653009341855864,383,disability_overall_level,8,Gradient Boosting,5,True
5,n_eff<50,0.20121371669420912,437,disability_overall_level,8,Gradient Boosting,5,True
0,all,0.008036257372554461,31585,age_activity_level,8,Random Forest,50,False
0,n_eff<20,0.007115392721557701,7029,age_activity_level,8,Random Forest,50,False
0,n_eff<30,0.007573778795177768,11084,age_activity_level,8,Random Forest,50,False
0,n_eff<50,0.0077997589173863305,21462,age_activity_level,8,Random Forest,50,False
50,all,0.007898396747574265,31585,age_activity_level,8,Random Forest,50,True
50,n_eff<20,0.007017586483913583,7029,age_activity_level,8,Random Forest,50,True
50,n_eff<30,0.00747341059311978,11084,age_activity_level,8,Random Forest,50,True
50,n_eff<50,0.007617669514464822,21462,age_activity_level,8,Random Forest,50,True
0,all,0.008057673098219186,62392,disability_activity_level,8,Gradient Boosting,20,False
0,n_eff<20,0.008168859080586089,42560,disability_activity_level,8,Gradient Boosting,20,False
0,n_eff<30,0.00800195894328348,49561,disability_activity_level,8,Gradient Boosting,20,False
0,n_eff<50,0.007965716037759247,55727,disability_activity_level,8,Gradient Boosting,20,False
20,all,0.00791064285462182,62392,disability_activity_level,8,Gradient Boosting,20,True
20,n_eff<20,0.007985049362758744,42560,disability_activity_level,8,Gradient Boosting,20,True
20,n_eff<30,0.007824387634391698,49561,disability_activity_level,8,Gradient Boosting,20,True
20,n_eff<50,0.0077994165437441886,55727,disability_activity_level,8,Gradient Boosting,20,True
0,all,0.017007538662800997,31585,age_months12,8,Naive baseline,100,False
0,n_eff<20,0.017397866988477055,7029,age_months12,8,Naive baseline,100,False
0,n_eff<30,0.017931734237882288,11084,age_months12,8,Naive baseline,100,False
0,n_eff<50,0.017261417188232306,21462,age_months12,8,Naive baseline,100,False
100,all,0.01467954613493256,31585,age_months12,8,Naive baseline,100,True
100,n_eff<20,0.015589518425760868,7029,age_months12,8,Naive baseline,100,True
100,n_eff<30,0.015493418097259503,11084,age_months12,8,Naive baseline,100,True
100,n_eff<50,0.014800402470189518,21462,age_months12,8,Naive baseline,100,True
0,all,0.021213311248115877,62392,disability_months12,8,Ridge Regression,2,False
0,n_eff<20,0.02373122879980088,42560,disability_months12,8,Ridge Regression,2,False
0,n_eff<30,0.022768980527842504,49561,disability_months12,8,Ridge Regression,2,False
0,n_eff<50,0.022006661693138693,55727,disability_months12,8,Ridge Regression,2,False
2,all,0.02119458986589714,62392,disability_months12,8,Ridge Regression,2,True
2,n_eff<20,0.023702041093501026,42560,disability_months12,8,Ridge Regression,2,True
2,n_eff<30,0.022742923453535614,49561,disability_months12,8,Ridge Regression,2,True
2,n_eff<50,0.02198387558296656,55727,disability_months12,8,Ridge Regression,2,True
0,all,0.009106067378808938,31585,age_days10p60gr,8,Naive baseline,100,False
0,n_eff<20,0.010256895308366031,7029,age_days10p60gr,8,Naive baseline,100,False
0,n_eff<30,0.010032480965537296,11084,age_days10p60gr,8,Naive baseline,100,False
0,n_eff<50,0.009384104791235663,21462,age_days10p60gr,8,Naive baseline,100,False
100,all,0.007918942936275718,31585,age_days10p60gr,8,Naive baseline,100,True
100,n_eff<20,0.008702714963100591,7029,age_days10p60gr,8,Naive baseline,100,True
100,n_eff<30,0.008666028116592544,11084,age_days10p60gr,8,Naive baseline,100,True
100,n_eff<50,0.008135311764492363,21462,age_days10p60gr,8,Naive baseline,100,True
0,all,0.009181620042661643,62392,disability_days10p60gr,8,Gradient Boosting,20,False
0,n_eff<20,0.010224308031339299,42560,disability_days10p60gr,8,Gradient Boosting,20,False
0,n_eff<30,0.009786236981948106,49561,disability_days10p60gr,8,Gradient Boosting,20,False
0,n_eff<50,0.009497229465059254,55727,disability_days10p60gr,8,Gradient Boosting,20,False
20,all,0.008819364608602847,62392,disability_days10p60gr,8,Gradient Boosting,20,True
20,n_eff<20,0.009779244130500507,42560,disability_days10p60gr,8,Gradient Boosting,20,True
20,n_eff<30,0.009357759375816191,49561,disability_days10p60gr,8,Gradient Boosting,20,True
20,n_eff<50,0.009098848061943395,55727,disability_days10p60gr,8,Gradient Boosting,20,True
