task,fixed_model,selected_lambda,subset,raw_year8_error,shrunken_year8_error,absolute_error_change,relative_error_reduction_pct
age_activity_level,Random Forest,50,all,0.008036257372554461,0.007898396747574265,-0.00013786062498019613,1.7154829492024444
age_activity_level,Random Forest,50,n_eff<20,0.007115392721557701,0.007017586483913583,-9.780623764411769e-05,1.3745725846978403
age_activity_level,Random Forest,50,n_eff<30,0.007573778795177768,0.00747341059311978,-0.00010036820205798838,1.3252064098028966
age_activity_level,Random Forest,50,n_eff<50,0.0077997589173863305,0.007617669514464822,-0.00018208940292150852,2.3345516810220333
age_days10p60gr,Naive baseline,100,all,0.009106067378808938,0.007918942936275718,-0.0011871244425332196,13.03663143648399
age_days10p60gr,Naive baseline,100,n_eff<20,0.010256895308366031,0.008702714963100591,-0.00155418034526544,15.152541763761338
age_days10p60gr,Naive baseline,100,n_eff<30,0.010032480965537296,0.008666028116592544,-0.001366452848944752,13.620288477383328
age_days10p60gr,Naive baseline,100,n_eff<50,0.009384104791235663,0.008135311764492363,-0.0012487930267433,13.307534970300175
age_months12,Naive baseline,100,all,0.017007538662800997,0.01467954613493256,-0.0023279925278684374,13.688003737779166
age_months12,Naive baseline,100,n_eff<20,0.017397866988477055,0.015589518425760868,-0.0018083485627161874,10.394082009673323
age_months12,Naive baseline,100,n_eff<30,0.017931734237882288,0.015493418097259503,-0.0024383161406227854,13.597770903115654
age_months12,Naive baseline,100,n_eff<50,0.017261417188232306,0.014800402470189518,-0.0024610147180427876,14.257315556457003
age_overall_level,Gradient Boosting,20,all,0.10829036946343558,0.10933807152494347,0.0010477020615078936,-0.9674932929854413
age_overall_level,Gradient Boosting,20,n_eff<20,0.23976212298589433,0.23739497891467246,-0.002367144071221877,0.9872885849284629
age_overall_level,Gradient Boosting,20,n_eff<30,0.1873755692515903,0.18631732227267359,-0.0010582469789167104,0.5647731895590913
age_overall_level,Gradient Boosting,20,n_eff<50,0.13627697710895034,0.13668231199913586,0.00040533489018551583,-0.29743460618550394
disability_activity_level,Gradient Boosting,20,all,0.008057673098219186,0.00791064285462182,-0.00014703024359736562,1.82472336374456
disability_activity_level,Gradient Boosting,20,n_eff<20,0.008168859080586089,0.007985049362758744,-0.0001838097178273445,2.2501271721553158
disability_activity_level,Gradient Boosting,20,n_eff<30,0.00800195894328348,0.007824387634391698,-0.0001775713088917833,2.219097975263038
disability_activity_level,Gradient Boosting,20,n_eff<50,0.007965716037759247,0.0077994165437441886,-0.000166299494015058,2.0876904628129074
disability_days10p60gr,Gradient Boosting,20,all,0.009181620042661643,0.008819364608602847,-0.0003622554340587964,3.94544135322096
disability_days10p60gr,Gradient Boosting,20,n_eff<20,0.010224308031339299,0.009779244130500507,-0.00044506390083879147,4.352997772314689
disability_days10p60gr,Gradient Boosting,20,n_eff<30,0.009786236981948106,0.009357759375816191,-0.0004284776061319155,4.378369407181679
disability_days10p60gr,Gradient Boosting,20,n_eff<50,0.009497229465059254,0.009098848061943395,-0.00039838140311585987,4.1947117796987365
disability_months12,Ridge Regression,2,all,0.021213311248115877,0.02119458986589714,-1.872138221873862e-05,0.0882529936027852
disability_months12,Ridge Regression,2,n_eff<20,0.02373122879980088,0.023702041093501026,-2.91877062998519e-05,0.12299281485203499
disability_months12,Ridge Regression,2,n_eff<30,0.022768980527842504,0.022742923453535614,-2.605707430688997e-05,0.11444111112057345
disability_months12,Ridge Regression,2,n_eff<50,0.022006661693138693,0.02198387558296656,-2.2786110172132168e-05,0.10354187513700223
disability_overall_level,Gradient Boosting,5,all,0.18411335610785493,0.18212395858789746,-0.00198939751995747,1.0805286275874884
disability_overall_level,Gradient Boosting,5,n_eff<20,0.2408026514445961,0.23765936726848413,-0.0031432841761119545,1.305336198440972
disability_overall_level,Gradient Boosting,5,n_eff<30,0.2190313968820062,0.21653009341855864,-0.0025013034634475684,1.141983979947422
disability_overall_level,Gradient Boosting,5,n_eff<50,0.20353108184469934,0.20121371669420912,-0.0023173651504902193,1.1385804710940624
