task,model,split,observations,total_variation,n_origins,origin_scores_json,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2
age_activity_level,Gradient Boosting,test,31585,0.008342649480317243,,,0.005561766320211495,0.024558568178826713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00778050711373193,0.030363510084685068,0.7312423942787871,0.003790666231160663,0.01672940174920178,0.49974501350345046,0.00511412561574189,0.02464861427004107,0.6354431977752948
age_activity_level,Naive baseline,test,31585,0.009492384834226287,,,0.006328256556150859,0.025179517575243757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008347999214744288,0.030253228679180913,0.73319112428387,0.004883145658675926,0.020013294530245813,0.2840745871783016,0.005753624795032361,0.024212280200279494,0.648235853930955
age_activity_level,Random Forest,test,31585,0.00803418200210038,,,0.005356121334733586,0.024105300785193073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007687360256693658,0.030726865927584793,0.7247715379266227,0.0038006902318002593,0.01696980198286161,0.48526446110024846,0.004580313515706838,0.022607125176912355,0.6933303008807283
age_activity_level,Ridge Regression,test,31585,0.008937610251409685,,,0.005958406834273123,0.026514341754409324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008651728952870802,0.034333849366072956,0.6563615057851939,0.004214231660543593,0.018378685841516505,0.39624670589494637,0.0050092598894049736,0.02434012429005845,0.6445113229847017
age_activity_level,Gradient Boosting,validation,126870,0.007461528610401638,4.0,"[0.008409938238655728, 0.006874335644802056, 0.006562992450567634, 0.007998848107581138]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,Naive baseline,validation,126870,0.008555038395793607,4.0,"[0.008521712424073789, 0.008989007153725576, 0.007724628289420349, 0.008984805715954716]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,Random Forest,validation,126870,0.007312738086852103,4.0,"[0.00734413789260012, 0.007164901416829165, 0.006589900983018863, 0.00815201205496026]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_activity_level,Ridge Regression,validation,126870,0.00844402442581823,4.0,"[0.00829512504925316, 0.008785165463870492, 0.0076818670531582055, 0.009013940136991059]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_days10p60gr,Gradient Boosting,test,31585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008573569029662869,0.028548576538645436,0.8211448028503837,,,,,,,,,
age_days10p60gr,Naive baseline,test,31585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009106067378808938,0.032790354469044665,0.7640473442886959,,,,,,,,,
age_days10p60gr,Random Forest,test,31585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009370072411471439,0.027199059667278376,0.8376544359742963,,,,,,,,,
age_days10p60gr,Ridge Regression,test,31585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008791947295150164,0.029775789825984125,0.8054374599407954,,,,,,,,,
age_days10p60gr,Gradient Boosting,validation,126558,,4.0,"[0.008897509310092045, 0.008896532333212658, 0.0074685122437184795, 0.008774053308035105]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008509151798764571,,,,,,,,,,,
age_days10p60gr,Naive baseline,validation,126558,,4.0,"[0.008809466514717073, 0.009082886648202943, 0.007466111788564615, 0.008640930250883375]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008499848800592001,,,,,,,,,,,
age_days10p60gr,Random Forest,validation,126558,,4.0,"[0.010145355031111133, 0.010309444354801368, 0.00871142124848358, 0.009451959802367066]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009654545109190785,,,,,,,,,,,
age_days10p60gr,Ridge Regression,validation,126558,,4.0,"[0.0089151861730835, 0.00942978979053139, 0.008345676196433746, 0.008034267381021493]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008681229885267532,,,,,,,,,,,
age_months12,Gradient Boosting,test,31585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01787814517357329,0.041556821246848244,0.8485982503571501,,,,,,,,,,,,
age_months12,Naive baseline,test,31585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017007538662800997,0.04539391736538161,0.8193484970604535,,,,,,,,,,,,
age_months12,Random Forest,test,31585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019012276641758936,0.0401022116905873,0.8590117551773996,,,,,,,,,,,,
age_months12,Ridge Regression,test,31585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01750911163047038,0.04406108118424735,0.8298011767024328,,,,,,,,,,,,
age_months12,Gradient Boosting,validation,126558,,4.0,"[0.018955492353737505, 0.01783380272214431, 0.01637032533530283, 0.015735721906036622]",,,,,,,,,,,,,,,,,,,,,,,,,,,0.01722383557930532,,,,,,,,,,,,,,
age_months12,Naive baseline,validation,126558,,4.0,"[0.01793928538402434, 0.017029971837225776, 0.01624919701850731, 0.01525960878320782]",,,,,,,,,,,,,,,,,,,,,,,,,,,0.016619515755741315,,,,,,,,,,,,,,
age_months12,Random Forest,validation,126558,,4.0,"[0.021972872875319974, 0.020400064338390967, 0.01882606550572708, 0.017749790466920705]",,,,,,,,,,,,,,,,,,,,,,,,,,,0.01973719829658968,,,,,,,,,,,,,,
age_months12,Ridge Regression,validation,126558,,4.0,"[0.018828490438272956, 0.01880882358316113, 0.018617122143211078, 0.01598360300057602]",,,,,,,,,,,,,,,,,,,,,,,,,,,0.018059509791305297,,,,,,,,,,,,,,
age_overall_level,Gradient Boosting,test,256,0.10829036946343557,,,0.07219357964229038,0.10939999986481376,0.08530162881837144,0.12608573328807718,0.4289499058142978,0.04242389150435822,0.058936532042863206,-0.008424072273241379,0.08885521860414146,0.12858441959752426,0.468237390198611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,Naive baseline,test,256,0.13771682193437018,,,0.09181121462291346,0.14316375675070614,0.10342039273925958,0.16200927386032365,0.05719459992838405,0.06162708365171029,0.08504185353362333,-1.0996141165393665,0.11038616747777047,0.1673572886722968,0.09919588371192256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,Random Forest,test,256,0.1210164950100735,,,0.080677663340049,0.13280776952714,0.09780866189000316,0.16232472000552836,0.05351957740549318,0.04888190680092715,0.07223737420295556,-0.514948787246768,0.09534242132921669,0.14610324426141535,0.31346794660096733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,Ridge Regression,test,256,0.12213364387928691,,,0.08142242925285792,0.13659378864032884,0.09830488084917996,0.1666375315251657,0.0025572968146122532,0.05077788184047372,0.0753660246233402,-0.6490175024202844,0.09518452506892011,0.15008492497592812,0.2755386107348391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,Gradient Boosting,validation,1024,0.11339256134018137,4.0,"[0.11743703958218521, 0.1230271591428346, 0.10787956726461967, 0.10522647937108603]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,Naive baseline,validation,1024,0.14903445373562307,4.0,"[0.14098781253334547, 0.15785657839193967, 0.14974220265706695, 0.14755122136014015]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,Random Forest,validation,1024,0.12400669505308386,4.0,"[0.1289447664591879, 0.13052318084826348, 0.11922563319884888, 0.11733319970603519]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_overall_level,Ridge Regression,validation,1024,0.1288414008030011,4.0,"[0.13461993076904, 0.13544458506536622, 0.12136379826122892, 0.1239372891163692]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,Gradient Boosting,test,62392,0.008057673098219186,,,0.005371782065479457,0.03487662288756436,,,,,,,,,,0.0076597871428577624,0.04350792913608368,0.40886830389203976,0.003647963218556651,0.024828306529415287,0.1829789979290256,0.004807595835023961,0.03376020985265122,0.33213101696857117,,,,,,,,,,,,,,,,,,,,,
disability_activity_level,Naive baseline,test,62392,0.011371788264842062,,,0.007581192176561376,0.044176158964007325,,,,,,,,,,0.010288468808860704,0.052887811504588725,0.12650863881500474,0.005581194116499302,0.03510663885285382,-0.6334939364906016,0.00687391360432412,0.04272004640856703,-0.06941046855899713,,,,,,,,,,,,,,,,,,,,,
