LA_2023,disability_group,activity,predicted_participation
107,disty1,WALKTRAV_B02,0.5223284425116078
107,disty10,ACTTRAV_C03,0.4494609190008426
107,disty11,ACTTRAV_C03,0.3746634647818228
107,disty12,WALKTRAV_B02,0.47273746292845775
107,disty13,ACTTRAV_C03,0.40491637703168104
107,disty2,WALKTRAV_B02,0.5338714497551209
107,disty3,ACTTRAV_C03,0.4476628994781433
107,disty4,WALKTRAV_B02,0.5363086902957978
107,disty5,ACTTRAV_C03,0.6128034560828509
107,disty6,ACTTRAV_C03,0.38562450108327345
107,disty7,GARD_B08,0.4916603959300751
107,disty8,WALKTRAV_B02,0.5298302499593881
107,disty9,WALKTRAV_B02,0.4366498014695853
107,limiting_disability,WALKTRAV_B02,0.5507963162004306
107,no_disability,ACTTRAV_C03,0.6913222915396698
107,non_limiting_disability,ACTTRAV_C03,0.7640990140360038
109,disty1,ACTTRAV_C03,0.6050739493183396
109,disty10,ACTTRAV_C03,0.6574133062533994
109,disty11,ACTTRAV_C03,0.510628281735267
109,disty12,ACTTRAV_C03,0.6173608727094131
109,disty13,ACTTRAV_C03,0.6947408066124486
109,disty2,ACTTRAV_C03,0.6082247597997602
109,disty3,ACTTRAV_C03,0.5460368924028127
109,disty4,WALKTRAV_B02,0.5601691843484236
109,disty5,ACTTRAV_C03,0.6542772677322416
109,disty6,ACTTRAV_C03,0.6037634934684453
109,disty7,ACTTRAV_C03,0.5723157242898445
109,disty8,WALKTRAV_B02,0.5684612065374601
109,disty9,ACTTRAV_C03,0.6203116477180629
109,limiting_disability,ACTTRAV_C03,0.6569241703816275
109,no_disability,ACTTRAV_C03,0.8273972077241917
109,non_limiting_disability,ACTTRAV_C03,0.7878002540888882
112,disty1,ACTTRAV_C03,0.6069666717753275
112,disty10,ACTTRAV_C03,0.4550856101605859
112,disty11,ACTTRAV_C03,0.5008689798836856
112,disty12,ACTTRAV_C03,0.6132405324041771
112,disty13,ACTTRAV_C03,0.5477408686033477
112,disty2,ACTTRAV_C03,0.6039884639230728
112,disty3,ACTTRAV_C03,0.5482065722435946
112,disty4,ACTTRAV_C03,0.5778304702577962
112,disty5,ACTTRAV_C03,0.684872716294213
112,disty6,ACTTRAV_C03,0.34176645187469123
112,disty7,ACTTRAV_C03,0.5516710644723584
112,disty8,WALKTRAV_B02,0.5052638070413676
112,disty9,ACTTRAV_C03,0.502257186205825
112,limiting_disability,ACTTRAV_C03,0.6584776777407526
112,no_disability,ACTTRAV_C03,0.777776132605368
112,non_limiting_disability,ACTTRAV_C03,0.812612977101969
114,disty1,ACTTRAV_C03,0.5970274105317399
114,disty10,ACTTRAV_C03,0.6367526549313344
114,disty11,ACTTRAV_C03,0.5035466906281483
114,disty12,ACTTRAV_C03,0.613525506438153
114,disty13,ACTTRAV_C03,0.733875623917618
114,disty2,WALKTRAV_B02,0.5341327563224918
114,disty3,ACTTRAV_C03,0.48768761074752626
114,disty4,GARD_B08,0.5057841669234249
114,disty5,WALKTRAV_B02,0.5855901599417762
114,disty6,WALKTRAV_B02,0.5734946589669077
114,disty7,WALKTRAV_B02,0.5542833675049187
114,disty8,WALKTRAV_B02,0.563476844341259
114,disty9,ACTTRAV_C03,0.6097829261132746
114,limiting_disability,ACTTRAV_C03,0.6014170130101221
114,no_disability,ACTTRAV_C03,0.7626558474637313
114,non_limiting_disability,ACTTRAV_C03,0.7692298588525486
117,disty1,WALKTRAV_B02,0.4691313349155209
117,disty10,GARD_B08,0.4503276541013744
117,disty11,ACTTRAV_C03,0.5011255625180928
117,disty12,ACTTRAV_C03,0.5777445352059905
117,disty13,WALKTRAV_B02,0.4976048384188455
117,disty2,WALKTRAV_B02,0.5402043701510241
117,disty3,GARD_B08,0.43226955766777664
117,disty4,GARD_B08,0.5005468733199618
117,disty5,ACTTRAV_C03,0.5443514115353432
117,disty6,GARD_B08,0.38818285971214694
117,disty7,GARD_B08,0.46704268236859897
117,disty8,GARD_B08,0.5000407096618276
117,disty9,GARD_B08,0.5210529485494143
117,limiting_disability,WALKTRAV_B02,0.5332569669398796
117,no_disability,ACTTRAV_C03,0.6176239358645889
117,non_limiting_disability,ACTTRAV_C03,0.6425782426639005
122,disty1,GARD_B08,0.5527332530274169
122,disty10,WALKTRAV_B02,0.603911957267762
122,disty11,ACTTRAV_C03,0.47270925627960947
122,disty12,ACTTRAV_C03,0.4030311832612298
122,disty13,WALKTRAV_B02,0.5259554786910551
122,disty2,GARD_B08,0.5351252594350895
122,disty3,GARD_B08,0.5384706268827935
122,disty4,GARD_B08,0.502815170051685
122,disty5,GARD_B08,0.5539647039615881
122,disty6,WALKTRAV_B02,0.5514029467533542
122,disty7,GARD_B08,0.5494636485090006
122,disty8,GARD_B08,0.5416649777525644
122,disty9,GARD_B08,0.45583053990985445
122,limiting_disability,GARD_B08,0.5539090661686374
122,no_disability,ACTTRAV_C03,0.6224494760032042
122,non_limiting_disability,ACTTRAV_C03,0.5933903666290518
126,disty1,ACTTRAV_C03,0.46103118247909236
126,disty10,GARD_B08,0.3376799857705282
126,disty11,WALKTRAV_B02,0.4530678312678084
126,disty12,WALKTRAV_B02,0.48058503770155764
126,disty13,ACTTRAV_C03,0.6358625843810777
126,disty2,WALKTRAV_B02,0.48267986606958085
126,disty3,GARD_B08,0.5133736327345692
126,disty4,ACTTRAV_C03,0.46309917665474504
126,disty5,WALKTRAV_B02,0.5589895602518716
126,disty6,GARD_B08,0.36715538676743714
126,disty7,ACTTRAV_C03,0.5357704926661415
126,disty8,ACTTRAV_C03,0.3914418851663798
126,disty9,GARD_B08,0.5302975653009709
126,limiting_disability,GARD_B08,0.5098825986934671
126,no_disability,WALKTRAV_B02,0.5768727415868306
126,non_limiting_disability,WALKTRAV_B02,0.5905335864697892
129,disty1,ACTTRAV_C03,0.516359289660165
129,disty10,ACTTRAV_C03,0.5159061120853107
129,disty11,ACTTRAV_C03,0.46156516848887463
129,disty12,ACTTRAV_C03,0.620128779303723
129,disty13,ACTTRAV_C03,0.5750529075795401
129,disty2,WALKTRAV_B02,0.5434716296841064
129,disty3,GARD_B08,0.4508706600103262
129,disty4,GARD_B08,0.496617043660852
129,disty5,ACTTRAV_C03,0.6157152182320712
129,disty6,ACTTRAV_C03,0.4573032012931385
129,disty7,ACTTRAV_C03,0.6304610866818471
129,disty8,ACTTRAV_C03,0.5556788104162098
129,disty9,ACTTRAV_C03,0.5982080878667277
129,limiting_disability,WALKTRAV_B02,0.5573823957309293
129,no_disability,ACTTRAV_C03,0.6168396759793109
129,non_limiting_disability,WALKTRAV_B02,0.5945267535986238
135,disty1,ACTTRAV_C03,0.613195150806585
135,disty10,ACTTRAV_C03,0.6426948547018208
135,disty11,ACTTRAV_C03,0.6052226028520032
135,disty12,ACTTRAV_C03,0.5915381932767063
135,disty13,ACTTRAV_C03,0.6543013772444944
135,disty2,ACTTRAV_C03,0.6257802665919143
135,disty3,ACTTRAV_C03,0.4686367407591903
135,disty4,ACTTRAV_C03,0.608855166489172
135,disty5,ACTTRAV_C03,0.7087505172393513
135,disty6,WALKTRAV_B02,0.4784885080545436
135,disty7,WALKTRAV_B02,0.6959289780799016
135,disty8,ACTTRAV_C03,0.5680820965898306
135,disty9,ACTTRAV_C03,0.5807435799445293
135,limiting_disability,ACTTRAV_C03,0.649038894328634
135,no_disability,ACTTRAV_C03,0.7590498220851992
135,non_limiting_disability,ACTTRAV_C03,0.8186304161209627
136,disty1,WALKTRAV_B02,0.5284175326750684
136,disty10,ACTTRAV_C03,0.5433414464475871
136,disty11,GARD_B08,0.4208288040757906
136,disty12,WALKTRAV_B02,0.5769692707124423
136,disty13,ACTTRAV_C03,0.45671261102888244
136,disty2,ACTTRAV_C03,0.5662111257441573
136,disty3,ACTTRAV_C03,0.4586132593880052
136,disty4,ACTTRAV_C03,0.431796731493702
136,disty5,ACTTRAV_C03,0.6170072523039808
136,disty6,ACTTRAV_C03,0.3390942860145907
136,disty7,ACTTRAV_C03,0.4572395421703047
136,disty8,ACTTRAV_C03,0.5379705012955751
136,disty9,ACTTRAV_C03,0.3296510206245627
136,limiting_disability,ACTTRAV_C03,0.6175239708410627
136,no_disability,ACTTRAV_C03,0.6923906345981816
136,non_limiting_disability,ACTTRAV_C03,0.7113138270470574
139,disty1,WALKTRAV_B02,0.5494661371610455
139,disty10,ACTTRAV_C03,0.37644787317178685
139,disty11,WALKTRAV_B02,0.5002163147900525
139,disty12,ACTTRAV_C03,0.6452682328982539
139,disty13,ACTTRAV_C03,0.6572745334225547
139,disty2,ACTTRAV_C03,0.6093529653275083
139,disty3,WALKTRAV_B02,0.48564907635127746
139,disty4,GARD_B08,0.5402771730041118
139,disty5,ACTTRAV_C03,0.6466824372002187
139,disty6,GARD_B08,0.44956808024650596
139,disty7,GARD_B08,0.46456969050643043
139,disty8,GARD_B08,0.5409836905944367
139,disty9,WALKTRAV_B02,0.523977403879645
139,limiting_disability,ACTTRAV_C03,0.5817866082456598
139,no_disability,ACTTRAV_C03,0.6769283892451077
139,non_limiting_disability,ACTTRAV_C03,0.6954375686663237
142,disty1,ACTTRAV_C03,0.5632799346666183
142,disty10,ACTTRAV_C03,0.6629716659559574
142,disty11,ACTTRAV_C03,0.6053415797270809
142,disty12,ACTTRAV_C03,0.6477840638006114
142,disty13,ACTTRAV_C03,0.6338809024942761
142,disty2,ACTTRAV_C03,0.6090715219548722
142,disty3,ACTTRAV_C03,0.5885180595895199
142,disty4,ACTTRAV_C03,0.6341547835596687
142,disty5,ACTTRAV_C03,0.6594098448637167
142,disty6,ACTTRAV_C03,0.48025743358287765
142,disty7,WALKTRAV_B02,0.557952774260108
142,disty8,ACTTRAV_C03,0.5436038878430186
142,disty9,ACTTRAV_C03,0.5408000466725766
142,limiting_disability,ACTTRAV_C03,0.6475848037912127
142,no_disability,ACTTRAV_C03,0.811598454194668
142,non_limiting_disability,ACTTRAV_C03,0.8191324610092992
147,disty1,ACTTRAV_C03,0.6014299760579174
147,disty10,WALKTRAV_B02,0.6782401357389635
147,disty11,WALKTRAV_B02,0.5441713947575626
147,disty12,WALKTRAV_B02,0.6016558735082481
147,disty13,GARD_B08,0.5216763514288633
147,disty2,ACTTRAV_C03,0.6632034023383417
147,disty3,ACTTRAV_C03,0.5535062801819228
147,disty4,ACTTRAV_C03,0.5639448636777892
