observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,task,fixed_model,fixed_parameters,weighting_scheme,training_rows,original_weight_mean,analysis_weight_mean,analysis_weight_min,analysis_weight_max,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
256,0.11009400566832825,0.0733960037788855,0.10942205432324649,0.08467053714795073,0.12494259441450992,0.43925765961491947,0.04393956981122145,0.06192668458563033,-0.11334485990994714,0.09157790437748436,0.12835104890168075,0.47016585395395727,252,0.0890877369023901,4,0.24845845530842348,51,0.19921875,0.22880006021545102,205,0.0805622555127026,age_overall_level,Gradient Boosting,{},weighted_n,1280,108.16077809968692,108.16077809968692,0.6858690103854128,426.7815955793518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.11107742659468225,0.07405161772978817,0.11270434003265518,0.08827908748460944,0.13308502705815212,0.3637896868436217,0.04292379482878974,0.06059635449036589,-0.0660241527635046,0.09095197087596532,0.12931845259667282,0.46214885441686593,252,0.0892839549007452,4,0.19603697731483247,51,0.19921875,0.2356200149769713,205,0.08009366070445426,age_overall_level,Gradient Boosting,{},sqrt_raw_n_rescaled,1280,108.16077809968692,108.16077809968688,14.576495375359743,204.0709352550364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,0.18855859610213235,0.1257057307347549,0.18181814483231112,,,,,,,,,,485,0.14028398880981197,19,0.5791259763755385,315,0.625,0.24445764650072369,189,0.09539351210448013,disability_overall_level,Gradient Boosting,{},weighted_n,2462,73.46302929582635,73.46302929582635,0.2198255976982392,876.8306411090318,0.14503346393972788,0.19732426654370538,0.06896365205662913,0.07525609309808043,0.12046159921338562,-0.1849219732948688,0.15682763516645642,0.21383556841351758,-0.016528638532401052,,,,,,,,,,,,,,,,,,,,,
504,0.18773801213344232,0.12515867475562822,0.18108850747581776,,,,,,,,,,485,0.14077499962517329,19,0.5108502294548453,315,0.625,0.24427116210805713,189,0.0935160955090843,disability_overall_level,Gradient Boosting,{},sqrt_raw_n_rescaled,2462,73.46302929582635,73.46302929582636,14.130576300954056,278.340073291053,0.14291097514406276,0.19304522555574027,0.10890548197668637,0.07783880075406974,0.132290608410019,-0.4290602255798035,0.15472624836875218,0.20883457193697183,0.030462703067866026,,,,,,,,,,,,,,,,,,,,,
31585,0.007863846010036925,0.005242564006691284,0.023947182724701494,,,,,,,,,,3828,0.03726301823178314,27757,0.00015534167018862658,7702,0.24384992876365363,0.006826387347712731,23883,0.00819841480864769,age_activity_level,Gradient Boosting,{},weighted_n,190358,107.11637755424239,107.11637755424239,0.6306479008271091,454.0811518117701,,,,,,,,,,0.007331289167590126,0.029845054950120974,0.7403420773994458,0.0037437306178567933,0.017587266959214354,0.44712453623795134,0.00465267223462693,0.022811475561223822,0.6877611446900891,,,,,,,,,,,,
31585,0.007647151777606702,0.0050981011850711345,0.023042098258938014,,,,,,,,,,3828,0.03629652749469159,27757,0.00013790835227817612,7702,0.24384992876365363,0.006719424870115592,23883,0.007946333314327238,age_activity_level,Gradient Boosting,{},sqrt_raw_n_rescaled,190358,107.11637755424239,107.11637755424239,14.458643077248693,229.52384326707417,,,,,,,,,,0.007102225403228246,0.028759238665560575,0.7588920212246181,0.0036718619296053985,0.016358754805055685,0.5216661769774007,0.004520216222379761,0.022318427568470318,0.7011127592188792,,,,,,,,,,,,
62392,0.007877197151456088,0.005251464767637393,0.03446678475134937,,,,,,,,,,4157,0.0658923605034165,58235,0.00028602388107331,42560,0.6821387357353507,0.0082459162870664,19832,0.007085916069791364,disability_activity_level,Gradient Boosting,{},weighted_n,370425,71.34420398897394,71.34420398897394,0.1557960930859681,884.6943842924185,0.007474314904876677,0.04309949174205882,0.4199148885160725,0.003622893487550077,0.02481865352306601,0.18361417421645587,0.0046571859104854235,0.03302038767437106,0.36108168880559466,,,,,,,,,,,,,,,,,,,,,
62392,0.007716003459937985,0.005144002306625324,0.03407342854327451,,,,,,,,,,4157,0.06416127524907453,58235,0.0002947519665996317,42560,0.6821387357353507,0.008159151616491474,19832,0.006764995717757852,disability_activity_level,Gradient Boosting,{},sqrt_raw_n_rescaled,370425,71.34420398897394,71.34420398897397,13.961226129647066,365.6668741349072,0.007313157054496711,0.04257635829359627,0.43391135255614544,0.0035688546418677163,0.02471755214596042,0.19025189274744425,0.004549995223511545,0.03254676525321598,0.3792786797571631,,,,,,,,,,,,,,,,,,,,,
31585,,,,,,,,,,,,,10944,0.041997145490172354,20641,0.003757877448772987,7702,0.24384992876365363,0.016789959317105706,23883,0.01707770556480431,age_months12,Naive baseline,{},weighted_n,188461,102.4475738501898,102.4475738501898,0.6306479008271091,454.0811518117701,,,,,,,,,,,,,,,,,,,0.017007538662800997,0.04539391736538161,0.8193484970604535,,,,,,,,,
31585,,,,,,,,,,,,,10944,0.041997145490172354,20641,0.003757877448772987,7702,0.24384992876365363,0.016789959317105706,23883,0.01707770556480431,age_months12,Naive baseline,{},sqrt_raw_n_rescaled,188461,102.4475738501898,102.44757385018984,14.207332632209566,225.5344136303952,,,,,,,,,,,,,,,,,,,0.017007538662800997,0.04539391736538161,0.8193484970604535,,,,,,,,,
