observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,task,fixed_model,fixed_parameters,weighting_scheme,training_rows,original_weight_mean,analysis_weight_mean,analysis_weight_min,analysis_weight_max,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
256,0.10829036946343557,0.07219357964229038,0.10939999986481376,0.08530162881837144,0.12608573328807718,0.4289499058142978,0.04242389150435821,0.0589365320428632,-0.008424072273241379,0.08885521860414147,0.12858441959752426,0.468237390198611,252,0.08573694876914316,4,0.2853062182090347,51,0.19921875,0.2245963660493108,205,0.07935570689816905,age_overall_level,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",weighted_n,1792,110.85419767946145,110.85419767946145,0.6858690103854128,481.3942369475567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.10788879225813505,0.07192586150542338,0.11117671309217388,0.08460705527489018,0.12876737637583102,0.4044009387838041,0.04301864839815853,0.05947323097577583,-0.026873899058365014,0.0881518808432214,0.130240862176683,0.45444866296604247,252,0.08564146477529404,4,0.2463080931226451,51,0.19921875,0.22322276386178838,205,0.07919595054210424,age_overall_level,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",sqrt_raw_n_rescaled,1792,110.85419767946145,110.85419767946145,14.564284032260632,231.2008414384239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,0.18411335610785493,0.12274223740523663,0.1760301897219443,,,,,,,,,,485,0.13420397114693547,19,0.5638275115272104,315,0.625,0.24096962271522498,189,0.08935291176223809,disability_overall_level,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",weighted_n,3537,73.13140460697701,73.13140460697701,0.1557960930859681,885.9974770798794,0.1412541791450084,0.19280811404365697,0.11109314560029959,0.07657243639355718,0.11641129783144871,-0.10657987198871122,0.1504000966771443,0.20550747912608203,0.06110939869556753,,,,,,,,,,,,,,,,,,,,,
504,0.18151330394009174,0.12100886929339451,0.1751726037318464,,,,,,,,,,485,0.13336392715463694,19,0.5479245443148603,315,0.625,0.23689230875685569,189,0.0892149625788186,disability_overall_level,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",sqrt_raw_n_rescaled,3537,73.13140460697701,73.13140460697703,14.079235531113552,371.70248395588845,0.13726851407598767,0.18532948170577146,0.178713537521915,0.07676588941534414,0.13039883217404774,-0.3884808943271276,0.14899220438885172,0.20175591954859246,0.09507559823530398,,,,,,,,,,,,,,,,,,,,,
31585,0.008036257372554461,0.005357504915036309,0.02411137475975364,,,,,,,,,,3828,0.03745509321509736,27757,4.889642670668467e-05,7702,0.24384992876365363,0.006843951451012281,23883,0.008420762677906295,age_activity_level,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",weighted_n,222102,108.67572575151661,108.67572575151661,0.6306479008271091,481.3942369475567,,,,,,,,,,0.007688415319558853,0.030734591122574904,0.7246331274021109,0.0038016927469529498,0.016973477745258734,0.48504144724840126,0.004582406678597124,0.022613295650461957,0.6931628708782465,,,,,,,,,,,,
31585,0.008131841865063973,0.005421227910042647,0.024376630108124644,,,,,,,,,,3828,0.03787886416760657,27757,4.651575462857144e-05,7702,0.24384992876365363,0.00690395244613897,23883,0.008527822449771101,age_activity_level,Random Forest,"{""max_depth"": 10, ""max_features"": 0.5, ""min_samples_leaf"": 8, ""n_estimators"": 160}",sqrt_raw_n_rescaled,222102,108.67572575151661,108.67572575151662,14.466154181766369,229.6430783548253,,,,,,,,,,0.007798297829195862,0.031121137785898697,0.7176630328376408,0.003833711693719062,0.017097909473592368,0.47746350040242425,0.004631674207213018,0.022842866738413896,0.6869012012615983,,,,,,,,,,,,
62392,0.008057673098219186,0.005371782065479457,0.03487662288756436,,,,,,,,,,4157,0.06930498915370999,58235,0.00020356623039138993,42560,0.6821387357353507,0.00819680107272004,19832,0.007759100760847445,disability_activity_level,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",weighted_n,438005,71.21644586788516,71.21644586788516,0.1557960930859681,885.9974770798794,0.0076597871428577624,0.04350792913608368,0.40886830389203976,0.003647963218556651,0.024828306529415287,0.1829789979290256,0.004807595835023961,0.03376020985265122,0.33213101696857117,,,,,,,,,,,,,,,,,,,,,
62392,0.00788366048409789,0.0052557736560652595,0.0344235610267786,,,,,,,,,,4157,0.06591974549341005,58235,0.0002593899814390175,42560,0.6821387357353507,0.00819392246906734,19832,0.007217830004050498,disability_activity_level,Gradient Boosting,"{""learning_rate"": 0.05, ""max_depth"": 2, ""min_samples_leaf"": 15, ""n_estimators"": 120}",sqrt_raw_n_rescaled,438005,71.21644586788516,71.21644586788513,13.95636830178096,368.45869602160917,0.007516183614589714,0.04311626193857161,0.41946337349577245,0.003616986219082298,0.024839552660411643,0.18223868113304897,0.004634151134523765,0.03284705833660251,0.3677716546637869,,,,,,,,,,,,,,,,,,,,,
31585,,,,,,,,,,,,,10944,0.041997145490172354,20641,0.003757877448772987,7702,0.24384992876365363,0.016789959317105706,23883,0.017077705564804306,age_months12,Naive baseline,{},weighted_n,220889,101.63693493751856,101.63693493751856,0.3923342687892778,481.3942369475567,,,,,,,,,,,,,,,,,,,0.017007538662800997,0.04539391736538161,0.8193484970604535,,,,,,,,,
31585,,,,,,,,,,,,,10944,0.041997145490172354,20641,0.003757877448772987,7702,0.24384992876365363,0.016789959317105706,23883,0.017077705564804306,age_months12,Naive baseline,{},sqrt_raw_n_rescaled,220889,101.63693493751856,101.63693493751856,14.1236511620344,224.20601147382868,,,,,,,,,,,,,,,,,,,0.017007538662800997,0.04539391736538161,0.8193484970604535,,,,,,,,,
