observations,total_variation,overall_mae,overall_rmse,overall_inactive_rate_mae,overall_inactive_rate_rmse,overall_inactive_rate_r2,overall_fairly_active_rate_mae,overall_fairly_active_rate_rmse,overall_fairly_active_rate_r2,overall_active_rate_mae,overall_active_rate_rmse,overall_active_rate_r2,positive_cell_observations,positive_cell_mae,zero_cell_observations,zero_cell_mae,small_n_observations,small_n_rate,small_n_mean_error,large_n_observations,large_n_mean_error,task,fixed_model,covid_indicator,inactive_rate_mae,inactive_rate_rmse,inactive_rate_r2,fairly_active_rate_mae,fairly_active_rate_rmse,fairly_active_rate_r2,active_rate_mae,active_rate_rmse,active_rate_r2,activity_inactive_rate_mae,activity_inactive_rate_rmse,activity_inactive_rate_r2,activity_fairly_active_rate_mae,activity_fairly_active_rate_rmse,activity_fairly_active_rate_r2,activity_active_rate_mae,activity_active_rate_rmse,activity_active_rate_r2,months12_rate_mae,months12_rate_rmse,months12_rate_r2,participation_MONTHS_12_mae,participation_MONTHS_12_rmse,participation_MONTHS_12_r2,days10p60gr_rate_mae,days10p60gr_rate_rmse,days10p60gr_rate_r2,participation_DAYS10P60GR_mae,participation_DAYS10P60GR_rmse,participation_DAYS10P60GR_r2
256,0.10829036946343557,0.07219357964229038,0.10939999986481376,0.08530162881837144,0.12608573328807718,0.4289499058142978,0.04242389150435821,0.0589365320428632,-0.008424072273241379,0.08885521860414147,0.12858441959752426,0.468237390198611,252,0.08573694876914316,4,0.2853062182090347,51,0.19921875,0.2245963660493108,205,0.07935570689816905,age_overall_level,Gradient Boosting,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,0.10770261212161963,0.07180174141441308,0.10906075279481908,0.08446410755518147,0.12566205391787807,0.4327811981440354,0.04243246332841398,0.059019635284876026,-0.011269926621925608,0.08850865335964381,0.12809556688854787,0.472273018261399,252,0.08545636045925524,4,0.28080310608412284,51,0.19921875,0.2237865367262611,205,0.07882319673217222,age_overall_level,Gradient Boosting,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
504,0.18411335610785493,0.12274223740523663,0.1760301897219443,,,,,,,,,,485,0.13420397114693547,19,0.5638275115272104,315,0.625,0.24096962271522498,189,0.08935291176223809,disability_overall_level,Gradient Boosting,with,0.1412541791450084,0.19280811404365697,0.11109314560029959,0.07657243639355718,0.11641129783144871,-0.10657987198871122,0.1504000966771443,0.20550747912608203,0.06110939869556753,,,,,,,,,,,,,,,,,,,,,
504,0.18426946305441363,0.12284630870294241,0.17586030465809221,,,,,,,,,,485,0.134138611272013,19,0.5623464773030666,315,0.625,0.24086106760928308,189,0.08995012212963134,disability_overall_level,Gradient Boosting,without,0.14163825632890947,0.19272160580657768,0.1118906277417494,0.07661930165355957,0.11645789615858415,-0.10746595593896435,0.15028136812635823,0.20512552581519825,0.06459617318467081,,,,,,,,,,,,,,,,,,,,,
31585,0.008036257372554461,0.005357504915036309,0.024111374759753647,,,,,,,,,,3828,0.03745509321509736,27757,4.889642670668467e-05,7702,0.24384992876365363,0.006843951451012281,23883,0.008420762677906297,age_activity_level,Random Forest,with,,,,,,,,,,0.007688415319558854,0.030734591122574904,0.7246331274021109,0.0038016927469529498,0.016973477745258734,0.48504144724840126,0.004582406678597124,0.022613295650461957,0.6931628708782465,,,,,,,,,,,,
31585,0.008156725251325237,0.005437816834216823,0.024458352313721857,,,,,,,,,,3828,0.038222863012280034,27757,4.8257871631374095e-05,7702,0.24384992876365363,0.006870311549385908,23883,0.00857157926180703,age_activity_level,Random Forest,without,,,,,,,,,,0.007834475420722133,0.03126296123080824,0.7150838700751563,0.0038040783475962146,0.016995092346561425,0.4837290808578574,0.004674896734332122,0.022987541950353463,0.6829226217087001,,,,,,,,,,,,
62392,0.008057673098219186,0.005371782065479457,0.03487662288756436,,,,,,,,,,4157,0.06930498915370999,58235,0.00020356623039138993,42560,0.6821387357353507,0.00819680107272004,19832,0.007759100760847445,disability_activity_level,Gradient Boosting,with,0.0076597871428577624,0.04350792913608368,0.40886830389203976,0.003647963218556651,0.024828306529415287,0.1829789979290256,0.004807595835023961,0.03376020985265122,0.33213101696857117,,,,,,,,,,,,,,,,,,,,,
62392,0.008061816264945223,0.005374544176630147,0.03489022941518976,,,,,,,,,,4157,0.06943479491712741,58235,0.00020243580970178828,42560,0.6821387357353507,0.008198867540462193,19832,0.007767700578882181,disability_activity_level,Gradient Boosting,without,0.00766002854375817,0.04351280551060783,0.408735788226941,0.0036484146694172746,0.02482683135054973,0.1830760819817293,0.004815189316715001,0.03379716744967092,0.3306679725680137,,,,,,,,,,,,,,,,,,,,,
31585,,,,,,,,,,,,,10944,0.041997145490172354,20641,0.003757877448772987,7702,0.24384992876365363,0.016789959317105706,23883,0.017077705564804306,age_months12,Naive baseline,with,,,,,,,,,,,,,,,,,,,0.017007538662800997,0.04539391736538161,0.8193484970604535,,,,,,,,,
31585,,,,,,,,,,,,,10944,0.041997145490172354,20641,0.003757877448772987,7702,0.24384992876365363,0.016789959317105706,23883,0.017077705564804306,age_months12,Naive baseline,without,,,,,,,,,,,,,,,,,,,0.017007538662800997,0.04539391736538161,0.8193484970604535,,,,,,,,,
62392,,,,,,,,,,,,,12138,0.06807520044396327,50254,0.009894617988689847,42560,0.6821387357353507,0.023733193764722653,19832,0.01580557627903639,disability_months12,Ridge Regression,with,,,,,,,,,,,,,,,,,,,,,,0.021213311248115877,0.06094143482614357,0.6260388967396485,,,,,,
62392,,,,,,,,,,,,,12138,0.06853591557461959,50254,0.009185758657208352,42560,0.6821387357353507,0.023116212501086312,19832,0.015615371861529222,disability_months12,Ridge Regression,without,,,,,,,,,,,,,,,,,,,,,,0.020731985812349037,0.06081342069993545,0.6276083387296525,,,,,,
31585,,,,,,,,,,,,,5716,0.04118165547764296,25869,0.0020186630890051105,7702,0.24384992876365363,0.009965013192293303,23883,0.008829066974527375,age_days10p60gr,Naive baseline,with,,,,,,,,,,,,,,,,,,,,,,,,,0.009106067378808938,0.032790354469044665,0.7640473442886959,,,
31585,,,,,,,,,,,,,5716,0.04118165547764296,25869,0.0020186630890051105,7702,0.24384992876365363,0.009965013192293303,23883,0.008829066974527375,age_days10p60gr,Naive baseline,without,,,,,,,,,,,,,,,,,,,,,,,,,0.009106067378808938,0.032790354469044665,0.7640473442886959,,,
62392,,,,,,,,,,,,,6309,0.06370811109965158,56083,0.003047717931887441,42560,0.6821387357353507,0.010237849225661675,19832,0.00691492409527956,disability_days10p60gr,Gradient Boosting,with,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009181620042661643,0.04190243604166706,0.5475361683179891
62392,,,,,,,,,,,,,6309,0.06422135824396338,56083,0.0030196161030672645,42560,0.6821387357353507,0.010192650889612551,19832,0.007095726966900771,disability_days10p60gr,Gradient Boosting,without,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00920825873620795,0.041930726049079194,0.5469250092863743
