year,LA_2023,age_group,top_months12_activity,top_months12_rate,top_days10p60gr_activity,top_days10p60gr_rate
1,8.0,16-24,WALKTRAV_B02,0.8155205023727363,ACTTRAV_C03,0.38952017042008635
1,8.0,25-34,ACTTRAV_C03,0.7385319259555143,ACTTRAV_C03,0.3861873941148233
1,8.0,35-44,ACTTRAV_C03,0.7415718488010856,ACTTRAV_C03,0.4343663417208032
1,8.0,45-54,ACTTRAV_C03,0.6787655065391747,ACTTRAV_C03,0.4103004964325156
1,8.0,55-64,ACTTRAV_C03,0.5978295828893783,ACTTRAV_C03,0.316364259002939
1,8.0,65-74,ACTTRAV_C03,0.6384198894756755,WALKTRAV_B02,0.4403134678667791
1,8.0,75-84,GARD_B08,0.6167731372617712,GARD_B08,0.509701160149714
1,8.0,85+,JUJITSU_S03,0.4537377104163424,FOOTBALLSMALL_Q02,0.4537377104163424
1,9.0,16-24,ACTTRAV_C03,0.8948690382782654,ACTTRAV_C03,0.4499885667544598
1,9.0,25-34,ACTTRAV_C03,0.7226766985163706,ACTTRAV_C03,0.40207505217862793
1,9.0,35-44,ACTTRAV_C03,0.7847119565145392,ACTTRAV_C03,0.4454491326899147
1,9.0,45-54,ACTTRAV_C03,0.7812977174773973,ACTTRAV_C03,0.3595984951785534
1,9.0,55-64,ACTTRAV_C03,0.6853219419716706,ACTTRAV_C03,0.386542153416274
1,9.0,65-74,ACTTRAV_C03,0.6960702062866626,ACTTRAV_C03,0.5252155884166513
1,9.0,75-84,GARD_B08,0.5109967659266822,GARD_B08,0.3765140237136297
1,9.0,85+,GARD_B08,0.40245926744535865,GARD_B08,0.22825222252671182
1,17.0,16-24,WALKTRAV_B02,0.8994107554565665,ACTTRAV_C03,0.3796369851684333
1,17.0,25-34,WALKTRAV_B02,0.8857784709865045,ACTTRAV_C03,0.3974685238903499
1,17.0,35-44,WALKTRAV_B02,0.7889434820291085,ACTTRAV_C03,0.4747895798116998
1,17.0,45-54,ACTTRAV_C03,0.6878236126477909,ACTTRAV_C03,0.30329114857814676
1,17.0,55-64,GARD_B08,0.7041211322021795,GARD_B08,0.32475709557805915
