year,LA_2023,age_group,volunteer_category,volunteer_category_label,volunteer_category_rate,inactive_rate,fairly_active_rate,active_rate,mean_number_activities_150,n_parent_cell,weighted_n_parent_cell,n,weighted_n,small_cell
5,8.0,16-24,0.0,not_volunteered,0.7974381352362929,0.1793882435862104,0.1252881849709696,0.6953235714428201,1.4154179974493757,45,74.23585904605584,37,59.19850500535105,False
5,8.0,16-24,1.0,once_or_one_off,0.03204108582030408,0.3274056432677702,0.0,0.6725943567322298,0.6725943567322298,45,74.23585904605584,2,2.3785975306386717,True
5,8.0,16-24,2.0,a_few_times,0.16248014953132967,0.5644205404017132,0.0,0.43557945959828676,0.7920150167348448,45,74.23585904605584,5,12.061853478389864,True
5,8.0,16-24,4.0,weekly,0.008040629412073086,0.0,0.0,1.0,1.0,45,74.23585904605584,1,0.5969030316762284,True
5,8.0,25-34,0.0,not_volunteered,0.8706682094565315,0.3140921972478119,0.11625008432181289,0.5696577184303754,1.1936666944148557,77,92.4474499651271,69,80.4910557299595,False
5,8.0,25-34,1.0,once_or_one_off,0.008503832730393393,1.0,0.0,0.0,0.0,77,92.4474499651271,1,0.7861576508548533,True
5,8.0,25-34,2.0,a_few_times,0.05615747142890894,0.0,0.21859673780127192,0.7814032621987279,1.0861604098124307,77,92.4474499651271,4,5.191615030092114,True
5,8.0,25-34,3.0,monthly,0.019121757451934028,0.0,0.4530249905926492,0.5469750094073508,2.187900037629403,77,92.4474499651271,2,1.7677577152829675,True
5,8.0,25-34,4.0,weekly,0.04554872893223221,0.0,0.0,1.0,4.0,77,92.4474499651271,1,4.210863838937675,True
5,8.0,35-44,0.0,not_volunteered,0.8790043679760441,0.45303911156479476,0.15146976228533438,0.3954911261498711,0.708169081479567,75,80.99891993815523,67,71.19840442698033,False
5,8.0,35-44,1.0,once_or_one_off,0.034561950259459365,0.551326657975416,0.0,0.4486733420245841,0.8973466840491682,75,80.99891993815523,2,2.799480641972452,True
5,8.0,35-44,2.0,a_few_times,0.03625037093517925,0.0,0.0,1.0,2.0,75,80.99891993815523,1,2.9362408931070134,True
5,8.0,35-44,3.0,monthly,0.03623901148645704,0.0,0.222399555401528,0.777600444598472,0.6500255749284567,75,80.99891993815523,4,2.9353207900294214,True
5,8.0,35-44,4.0,weekly,0.013944299342860032,1.0,0.0,0.0,0.0,75,80.99891993815523,1,1.1294731860659903,True
5,8.0,45-54,0.0,not_volunteered,0.8045562312910397,0.3612020433729249,0.1691453016306537,0.4696526549964213,0.6495729852530244,52,61.347150729699564,43,49.35723239153044,False
5,8.0,45-54,1.0,once_or_one_off,0.004408849794461616,0.0,0.0,1.0,3.0,52,61.347150729699564,1,0.2704703728854417,True
