activity_suffix,years_in_panel,months12_years_available,days10p60gr_years_available,activity_level_years_available,complete_for_participation,complete_for_participation_and_level
ABSEILING_H03,8,8,8,8,True,True
ACTTRAV_C03,8,8,8,8,True,True
AIKIDO_S04,8,8,8,8,True,True
AIRGUN_S08,8,8,8,8,True,True
ARCHERY_J01,8,8,8,8,True,True
BADMINTON_G02,8,8,8,8,True,True
BASESOFTBALL_F13,8,8,8,8,True,True
BASKETBALL_F07,8,8,8,8,True,True
BOCCIA_L11,8,8,8,8,True,True
BOULES_L12,8,8,8,8,True,True
BOWLSBOULES_C12,8,8,8,8,True,True
BOWLSCARPET_U18,8,8,8,8,True,True
BOWLSCROWNGREEN_U19,8,8,8,8,True,True
BOWLSFLATGREEN_U20,8,8,8,8,True,True
BOWLSSHORTMAT_U23,8,8,8,8,True,True
BOWLS_L10,8,8,8,8,True,True
BOXINGTRAD_S01,8,8,8,8,True,True
CAVING_H02,8,8,8,8,True,True
CHEERLEADING_L15,8,8,8,8,True,True
CLIMBWALL_R02,8,8,8,8,True,True
CRICKETLONG_Q06,8,8,8,8,True,True
CRICKETOTH_Q12,8,8,8,8,True,True
CRICKETSHORT_Q07,8,8,8,8,True,True
CROQUET_I05,8,8,8,8,True,True
CYCBMX_N03,8,8,8,8,True,True
CYCCROSS_N06,8,8,8,8,True,True
CYCLEISURE_N01,8,8,8,8,True,True
CYCMOUNTAIN_N02,8,8,8,8,True,True
CYCROAD_N04,8,8,8,8,True,True
CYCTRACK_N05,8,8,8,8,True,True
CYCTRAV_B04,8,8,8,8,True,True
CYC_OLD_M02,8,8,8,8,True,True
DANCEART_B05,8,8,8,8,True,True
DANCEOTHER_O01,8,8,8,8,True,True
DARTS_I08,8,8,8,8,True,True
DIVING_U05,8,8,8,8,True,True
DODGEBALL_F12,8,8,8,8,True,True
DRIVINGRANGE_U10,8,8,8,8,True,True
EQUESTDRESSAGE_U15,8,8,8,8,True,True
EQUESTEVENTING_U16,8,8,8,8,True,True
EQUESTHACKING_U12,8,8,8,8,True,True
EQUESTOTHER_U17,8,8,8,8,True,True
EQUESTSCHOOLING_U13,8,8,8,8,True,True
EQUESTSHOWJUMP_U14,8,8,8,8,True,True
EQUEST_L09,8,8,8,8,True,True
FELLRUNNING_L04,8,8,8,8,True,True
FENCING_J03,8,8,8,8,True,True
FOOTBALL11_Q01,8,8,8,8,True,True
FOOTBALLOTHER_Q05,8,8,8,8,True,True
FOOTBALLSMALL_Q02,8,8,8,8,True,True
FOOTBALLWALK_Q04,8,8,8,8,True,True
FOOTBALL_F01,8,8,8,8,True,True
FRISBEE_I03,8,8,8,8,True,True
FUTSAL_Q03,8,8,8,8,True,True
GARDENTRAMP_L14,8,8,8,8,True,True
GARD_B08,8,8,8,8,True,True
GLIDING_H08,8,8,8,8,True,True
GOALBALL_F15,8,8,8,8,True,True
GOLFADV_U11,8,8,8,8,True,True
GOLFFULL_U08,8,8,8,8,True,True
GOLFSHORT_U09,8,8,8,8,True,True
GOLF_L08,8,8,8,8,True,True
GYMNASTICSONLY_U24,8,8,8,8,True,True
GYMNASTICS_L13,8,8,8,8,True,True
GYMTRAMPCHEER_C13,8,8,8,8,True,True
HANDBALL_F16,8,8,8,8,True,True
HIGHROPES_H14,8,8,8,8,True,True
HOCKEY_F09,8,8,8,8,True,True
HULAHOOP_P27,8,7,7,7,False,False
ICEHOCKEY_K03,8,8,8,8,True,True
ICESKATING_I02,8,8,8,8,True,True
JUJITSU_S03,8,8,8,8,True,True
KARATE_S02,8,8,8,8,True,True
KARTING_U26,8,8,8,8,True,True
