year,LA_2023,age_group,overall_inactive_rate,overall_fairly_active_rate,overall_active_rate,n_overall_activity_level,weighted_n_overall_activity_level,small_cell_overall_activity_level
1,8.0,16-24,0.18385208594502486,0.1068981369629996,0.7092497770919756,104,102.48853511013836,False
1,8.0,25-34,0.3695520755188503,0.10586159941190879,0.5245863250692407,203,159.68369515408892,False
1,8.0,35-44,0.2507623966181311,0.15158975300278157,0.5976478503790875,226,132.44725946580166,False
1,8.0,45-54,0.23200809036421985,0.10445883696920678,0.6635330726665735,152,97.90650473519705,False
1,8.0,55-64,0.37460244820958294,0.13951099407223086,0.4858865577181863,163,94.40292313249967,False
1,8.0,65-74,0.47331823805417544,0.10101454660252392,0.4256672153433009,100,31.917826828374483,False
1,8.0,75-84,0.4226554275281821,0.08420433546719175,0.4931402370046261,43,22.782312080028355,False
1,8.0,85+,0.6865970598774765,0.028192010400293368,0.2852109297222303,20,8.352755891121694,True
1,9.0,16-24,0.16619807462347624,0.14013498502837993,0.6936669403481438,73,147.00844554600334,False
1,9.0,25-34,0.16297655663593,0.17219313396818747,0.6648303093958826,117,244.51857093665637,False
1,9.0,35-44,0.18644871240510982,0.1914739585312603,0.6220773290636298,197,244.96810771463058,False
1,9.0,45-54,0.22258652492591,0.13585687264559432,0.6415566024284958,151,183.64560862097272,False
1,9.0,55-64,0.17716940686195376,0.2357220799915932,0.5871085131464531,171,194.16283448000465,False
1,9.0,65-74,0.2376420942887015,0.17418245138626082,0.5881754543250376,154,147.3494088420013,False
1,9.0,75-84,0.5133566110119901,0.12820937970570007,0.35843400928231,95,126.33744663880546,False
1,9.0,85+,0.6274193446916856,0.225840039959699,0.1467406153486153,29,34.060002791595046,True
1,17.0,16-24,0.1704606822995266,0.07445257271422955,0.7550867449862438,43,113.29741733058978,False
1,17.0,25-34,0.09406469146483683,0.21674898001298654,0.6891863285221768,60,145.993575285047,False
1,17.0,35-44,0.19928270702374337,0.12397202015032636,0.6767452728259306,88,141.853825514077,False
1,17.0,45-54,0.13685814636949264,0.1943363248429405,0.6688055287875667,103,165.38160862749484,False
1,17.0,55-64,0.28637804646902854,0.07823237826705008,0.6353895752639215,75,110.36690458719013,False
1,17.0,65-74,0.3303132314375906,0.07308928567419647,0.5965974828882127,89,89.96825135782248,False
1,17.0,75-84,0.3753651361728447,0.25662059825888733,0.3680142655682679,43,59.431089168465874,False
1,17.0,85+,0.9418062095868512,0.0,0.05819379041314894,9,8.24599952200656,True
1,30.0,16-24,0.225196343587319,0.17173065260929726,0.6030730038033837,55,214.32165102884414,False
1,30.0,25-34,0.18215354282653634,0.22016563695332492,0.5976808202201388,79,245.8692113659564,False
1,30.0,35-44,0.36651737568517634,0.1417524673575216,0.49173015695730204,104,217.62352532415133,False
1,30.0,45-54,0.2539983017132565,0.07327807675667167,0.6727236215300719,92,171.46728930083003,False
1,30.0,55-64,0.2133926926541731,0.15633434138962057,0.6302729659562066,70,106.6688738673194,False
1,30.0,65-74,0.24448348799084776,0.2563533816138415,0.49916313039531063,50,79.49978480503671,False
1,30.0,75-84,0.535286622284903,0.06682765580132623,0.39788572191377075,22,39.2400701073934,True
1,30.0,85+,0.8135328735631389,0.12454119301690156,0.0619259334199595,12,14.5748333403307,True
1,35.0,16-24,0.11035866782982826,0.07697878406460389,0.8126625481055678,40,171.2730616051032,False
1,35.0,25-34,0.040447833823500444,0.18312687509635472,0.7764252910801448,80,252.5313448545409,False
1,35.0,35-44,0.12160481326299397,0.13271277190702782,0.7456824148299782,96,192.8119953500637,False
1,35.0,45-54,0.1660269469723591,0.11193509300356655,0.7220379600240743,78,145.12317973077174,False
1,35.0,55-64,0.29050855624547056,0.09463548622951048,0.614855957525019,93,173.15259200485622,False
1,35.0,65-74,0.18123039812577213,0.15434408740979622,0.6644255144644317,62,93.93053703999003,False
1,35.0,75-84,0.3653514655127097,0.07936276194931016,0.55528577253798,46,88.21376826842905,False
1,35.0,85+,0.6022684252405287,0.18693299760037396,0.21079857715909736,10,20.879793411564542,True
1,44.0,16-24,0.29435928479827067,0.0896715247766285,0.6159691904251009,41,125.69516912616481,False
