panel_level,year,observed_cells,median_raw_n,median_effective_n,small_cell_rate,few_frequent_cases_rate,zero_frequent_cases_rate,effective_n_below_5_rate,effective_n_below_10_rate
borough_age_activity,3,734,8.0,5.602589673710945,83.78746594005449,89.23705722070845,54.35967302452316,44.4141689373297,71.2534059945504
borough_age_activity,4,728,8.0,5.546044071529961,83.65384615384616,90.93406593406593,53.02197802197802,45.05494505494506,73.48901098901099
borough_age_activity,5,695,9.0,6.291137390791064,80.43165467625899,84.60431654676259,38.273381294964025,36.83453237410072,65.46762589928058
borough_age_activity,6,704,10.0,7.0462939610649045,80.68181818181817,89.48863636363636,48.4375,38.92045454545455,63.49431818181818
borough_age_activity,7,713,10.0,6.986698725798719,80.78541374474054,85.69424964936886,44.460028050490884,36.4656381486676,64.65638148667601
borough_age_activity,8,716,10.0,6.970183827075861,79.3296089385475,81.98324022346368,41.899441340782126,37.011173184357546,60.754189944134076
borough_age,3,256,40.5,23.98415678045454,36.71875,62.109375,17.578125,7.421875,17.1875
borough_age,4,254,41.5,24.114212180851247,35.826771653543304,64.1732283464567,13.385826771653544,9.448818897637794,18.89763779527559
borough_age,5,250,46.0,27.973078285564284,31.2,44.4,12.0,12.8,18.4
borough_age,6,254,46.0,29.644052958422613,32.28346456692913,55.51181102362205,16.141732283464567,13.385826771653544,20.078740157480315
borough_age,7,254,46.5,30.604606069884632,33.07086614173229,47.24409448818898,16.141732283464567,13.385826771653544,18.89763779527559
borough_age,8,255,47.0,32.66909430903118,31.372549019607842,39.21568627450981,14.901960784313726,12.156862745098039,16.862745098039216
borough_activity,3,96,72.0,34.79369937491494,3.125,60.416666666666664,2.083333333333333,0.0,0.0
borough_activity,4,96,68.0,36.594908407083466,5.208333333333334,58.333333333333336,6.25,0.0,0.0
borough_activity,5,96,77.0,45.423319743555126,1.0416666666666665,34.375,0.0,0.0,0.0
borough_activity,6,96,85.0,52.87917455089206,3.125,48.95833333333333,5.208333333333334,0.0,0.0
borough_activity,7,96,82.0,51.084947785704614,4.166666666666666,40.625,1.0416666666666665,0.0,0.0
borough_activity,8,96,83.0,54.42998181967401,3.125,31.25,3.125,0.0,0.0
