LA_2023,Age16plus,Age9,VolFrqB_Pop,MEMS7GR_ALL,volunteering_weight,weight_source,year,age_group_code,age_group,vol_binary_A,vol_binary_A_label,activity_level_3cat,activity_level_3cat_label
147,1.0,5.0,,2.0,2.282722498324643,wt_final_AC,3,5,45-54,,,2,active
241,1.0,3.0,,2.0,,wt_final_AC,3,3,25-34,,,2,active
241,1.0,3.0,0.0,2.0,2.7243598244797744,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,2,active
91,1.0,8.0,,1.0,,wt_final_AC,3,8,75-84,,,1,fairly_active
91,1.0,8.0,0.0,2.0,2.5300955839085253,wt_final_AC,3,8,75-84,0,not_twiceplus_volunteer,2,active
136,1.0,6.0,,0.0,,wt_final_AC,3,6,55-64,,,0,inactive
114,1.0,5.0,0.0,1.0,0.5460341672767095,wt_final_AC,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
114,1.0,4.0,,2.0,,wt_final_AC,3,4,35-44,,,2,active
78,1.0,7.0,0.0,2.0,0.6544887283073265,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,2,active
241,1.0,6.0,,2.0,,wt_final_AC,3,6,55-64,,,2,active
241,1.0,5.0,0.0,2.0,3.983452423723506,wt_final_AC,3,5,45-54,0,not_twiceplus_volunteer,2,active
293,1.0,4.0,1.0,2.0,6.475752998710323,wt_final_AC,3,4,35-44,1,twiceplus_volunteer,2,active
126,1.0,3.0,0.0,2.0,0.976322251149039,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,2,active
126,1.0,3.0,,0.0,,wt_final_AC,3,3,25-34,,,0,inactive
196,1.0,4.0,,2.0,,wt_final_AC,3,4,35-44,,,2,active
241,1.0,3.0,0.0,2.0,2.7243598244797744,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,2,active
44,1.0,4.0,0.0,2.0,0.94511135038451,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,2,active
44,1.0,5.0,,2.0,0.6132569342311605,wt_final_AC,3,5,45-54,,,2,active
78,1.0,2.0,1.0,0.0,1.529351243548925,wt_final_AC,3,2,16-24,1,twiceplus_volunteer,0,inactive
91,1.0,6.0,0.0,1.0,4.474846087079843,wt_final_AC,3,6,55-64,0,not_twiceplus_volunteer,1,fairly_active
107,1.0,4.0,0.0,0.0,0.5988835437559874,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
109,1.0,3.0,,2.0,,wt_final_AC,3,3,25-34,,,2,active
109,1.0,2.0,,0.0,,wt_final_AC,3,2,16-24,,,0,inactive
114,1.0,7.0,0.0,2.0,1.0257667407115356,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,2,active
114,1.0,,,1.0,,wt_final_AC,3,,,,,1,fairly_active
117,1.0,4.0,,1.0,,wt_final_AC,3,4,35-44,,,1,fairly_active
117,1.0,4.0,0.0,1.0,1.121212116499191,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,1,fairly_active
117,1.0,4.0,,2.0,,wt_final_AC,3,4,35-44,,,2,active
142,1.0,3.0,,1.0,,wt_final_AC,3,3,25-34,,,1,fairly_active
142,1.0,2.0,0.0,2.0,6.527507286153217,wt_final_AC,3,2,16-24,0,not_twiceplus_volunteer,2,active
142,1.0,3.0,0.0,2.0,3.393915228545259,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,2,active
142,1.0,5.0,0.0,2.0,2.8938416865357386,wt_final_AC,3,5,45-54,0,not_twiceplus_volunteer,2,active
160,1.0,6.0,1.0,2.0,1.6783149101673145,wt_final_AC,3,6,55-64,1,twiceplus_volunteer,2,active
171,1.0,5.0,,1.0,,wt_final_AC,3,5,45-54,,,1,fairly_active
171,1.0,5.0,,1.0,,wt_final_AC,3,5,45-54,,,1,fairly_active
171,1.0,6.0,,2.0,,wt_final_AC,3,6,55-64,,,2,active
196,1.0,3.0,,0.0,,wt_final_AC,3,3,25-34,,,0,inactive
196,1.0,3.0,,2.0,,wt_final_AC,3,3,25-34,,,2,active
241,1.0,4.0,0.0,2.0,2.840920584385126,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,2,active
255,1.0,4.0,,1.0,,wt_final_AC,3,4,35-44,,,1,fairly_active
279,1.0,4.0,0.0,2.0,2.884939272374528,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,2,active
280,1.0,4.0,,1.0,,wt_final_AC,3,4,35-44,,,1,fairly_active
293,1.0,5.0,,1.0,,wt_final_AC,3,5,45-54,,,1,fairly_active
8,1.0,4.0,,0.0,,wt_final_AC,3,4,35-44,,,0,inactive
8,1.0,3.0,,1.0,,wt_final_AC,3,3,25-34,,,1,fairly_active
8,1.0,2.0,,2.0,,wt_final_AC,3,2,16-24,,,2,active
8,1.0,4.0,0.0,0.0,0.4859766962067489,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
8,1.0,5.0,,2.0,,wt_final_AC,3,5,45-54,,,2,active
8,1.0,4.0,0.0,0.0,1.9600510007444516,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,0,inactive
8,1.0,5.0,,2.0,,wt_final_AC,3,5,45-54,,,2,active
8,1.0,4.0,0.0,2.0,1.193915763886743,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,2,active
8,1.0,6.0,,2.0,,wt_final_AC,3,6,55-64,,,2,active
8,1.0,6.0,0.0,0.0,0.4922274473124686,wt_final_AC,3,6,55-64,0,not_twiceplus_volunteer,0,inactive
9,1.0,3.0,0.0,2.0,14.97556691494824,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,2,active
9,1.0,6.0,,0.0,,wt_final_AC,3,6,55-64,,,0,inactive
9,1.0,3.0,,2.0,,wt_final_AC,3,3,25-34,,,2,active
9,1.0,3.0,,0.0,,wt_final_AC,3,3,25-34,,,0,inactive
9,1.0,7.0,1.0,0.0,2.000819094413409,wt_final_AC,3,7,65-74,1,twiceplus_volunteer,0,inactive
9,1.0,8.0,0.0,2.0,4.014374952482086,wt_final_AC,3,8,75-84,0,not_twiceplus_volunteer,2,active
9,1.0,2.0,,2.0,,wt_final_AC,3,2,16-24,,,2,active
9,1.0,7.0,0.0,1.0,4.714180399025232,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,1,fairly_active
17,1.0,8.0,0.0,0.0,0.5887932787638127,wt_final_AC,3,8,75-84,0,not_twiceplus_volunteer,0,inactive
17,1.0,7.0,0.0,1.0,0.526138466837794,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,1,fairly_active
17,1.0,5.0,0.0,1.0,2.3162241342469088,wt_final_AC,3,5,45-54,0,not_twiceplus_volunteer,1,fairly_active
30,1.0,,1.0,2.0,0.5818075578791321,wt_final_AC,3,,,1,twiceplus_volunteer,2,active
30,1.0,6.0,0.0,2.0,1.114865307366937,wt_final_AC,3,6,55-64,0,not_twiceplus_volunteer,2,active
30,1.0,4.0,0.0,2.0,1.2385721433586032,wt_final_AC,3,4,35-44,0,not_twiceplus_volunteer,2,active
30,1.0,7.0,0.0,2.0,1.419796874918592,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,2,active
30,1.0,7.0,,2.0,,wt_final_AC,3,7,65-74,,,2,active
30,1.0,5.0,0.0,2.0,1.0718751795024832,wt_final_AC,3,5,45-54,0,not_twiceplus_volunteer,2,active
35,1.0,3.0,0.0,2.0,4.095008869016928,wt_final_AC,3,3,25-34,0,not_twiceplus_volunteer,2,active
35,1.0,7.0,0.0,0.0,1.177784389534155,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,0,inactive
35,1.0,7.0,0.0,0.0,1.177784389534155,wt_final_AC,3,7,65-74,0,not_twiceplus_volunteer,0,inactive
