series_id,year,LA_2023,activity_level_3cat,activity_level_3cat_label,frequent_volunteer_rate,not_frequent_volunteer_rate,n_parent_cell,weighted_n_parent_cell,sum_weight_squared,effective_n_parent_cell,n_frequent_volunteer,weighted_n_frequent_volunteer,n_not_frequent_volunteer,weighted_n_not_frequent_volunteer,small_cell,few_frequent_cases,zero_frequent_cases,cell_observed,rate_available,observed_years_in_series,series_coverage_rate,series_has_history,series_complete_history
borough_8__activity_0,3,8,0,inactive,0.023116400567267114,0.976883599432733,102,166.44085757110227,656.5893682941376,42.19160468738175,4,3.8475135343730535,98,162.59334403672923,False,True,False,True,True,6,1.0,True,True
borough_8__activity_0,4,8,0,inactive,0.04999481065069516,0.9500051893493048,112,142.9069060862413,352.5727622729095,57.923884067181035,6,7.144603710458309,106,135.76230237578298,False,False,False,True,True,6,1.0,True,True
borough_8__activity_0,5,8,0,inactive,0.08875664787799563,0.9112433521220044,104,126.57694428978112,247.489696305132,64.7369287082766,7,11.234545273800773,97,115.34239901598035,False,False,False,True,True,6,1.0,True,True
borough_8__activity_0,6,8,0,inactive,0.029136516478219472,0.9708634835217805,139,149.58265100941182,250.56140771970556,89.29934456639707,8,4.35831737599148,131,145.22433363342034,False,False,False,True,True,6,1.0,True,True
borough_8__activity_0,7,8,0,inactive,0.046671728831407286,0.9533282711685926,127,138.86634479236994,243.7954419315439,79.09853261903127,8,6.481132387958198,119,132.38521240441173,False,False,False,True,True,6,1.0,True,True
borough_8__activity_0,8,8,0,inactive,0.017519403282131186,0.9824805967178688,134,172.38104375635004,339.1594842567498,87.61431015750014,5,3.0200130237621985,129,169.36103073258784,False,False,False,True,True,6,1.0,True,True
borough_8__activity_1,3,8,1,fairly_active,0.023984931543089078,0.9760150684569109,26,35.24870526956321,78.32672146263285,15.862673682483647,1,0.8454377828729969,25,34.40326748669021,True,True,False,True,True,6,1.0,True,True
borough_8__activity_1,4,8,1,fairly_active,0.022581272190042596,0.9774187278099573,47,51.057596406023194,106.29968442635943,24.52385597218121,2,1.1529454818137503,45,49.90465092420944,False,True,False,True,True,6,1.0,True,True
borough_8__activity_1,5,8,1,fairly_active,0.17844484006806705,0.8215551599319328,45,49.617158255617525,106.14221511733382,23.193998642684758,6,8.853925869555642,39,40.76323238606188,False,False,False,True,True,6,1.0,True,True
borough_8__activity_1,6,8,1,fairly_active,0.022943144426980866,0.9770568555730192,49,56.175304580858146,97.52941850283392,32.356030551545715,1,1.2888381262282682,48,54.88646645462988,False,True,False,True,True,6,1.0,True,True
borough_8__activity_1,7,8,1,fairly_active,0.03063282014872376,0.9693671798512762,38,36.4683260956956,56.74954805913734,23.43523171032297,2,1.1171276744144527,36,35.35119842128115,False,True,False,True,True,6,1.0,True,True
borough_8__activity_1,8,8,1,fairly_active,0.01683019709500989,0.9831698029049902,44,37.84758007413427,45.060251215449085,31.789421470799258,2,0.6369822322168488,42,37.210597841917426,False,True,False,True,True,6,1.0,True,True
borough_8__activity_2,3,8,2,active,0.10217659930079954,0.8978234006992004,161,218.4532686494056,583.7597821745135,81.74908933576219,16,22.32081209674023,145,196.13245655266536,False,False,False,True,True,6,1.0,True,True
borough_8__activity_2,4,8,2,active,0.10914949263559653,0.8908505073644034,156,215.7732798087432,541.2352405482374,86.02194534166279,18,23.55154401544293,138,192.22173579330027,False,False,False,True,True,6,1.0,True,True
borough_8__activity_2,5,8,2,active,0.13486796920068472,0.8651320307993153,187,231.7544475722246,443.07458128215546,121.22140659498523,21,31.25625169729249,166,200.49819587493212,False,False,False,True,True,6,1.0,True,True
borough_8__activity_2,6,8,2,active,0.12700789604336657,0.8729921039566334,199,214.01265337927737,395.9092742451584,115.68664536531462,23,27.181296832360303,176,186.83135654691705,False,False,False,True,True,6,1.0,True,True
borough_8__activity_2,7,8,2,active,0.1914149135761284,0.8085850864238716,201,250.5142127393805,485.407663064897,129.2879687728399,38,47.95215638110036,163,202.56205635828013,False,False,False,True,True,6,1.0,True,True
borough_8__activity_2,8,8,2,active,0.11859851697278923,0.8814014830272108,204,218.58985320203104,371.3575146989382,128.66717928576793,21,25.924432415060583,183,192.66542078697046,False,False,False,True,True,6,1.0,True,True
borough_9__activity_0,3,9,0,inactive,0.05056707526875162,0.9494329247312483,59,173.25727033591463,1275.9704060681524,23.52568804221065,4,8.761113429934642,55,164.49615690597997,False,True,False,True,True,6,1.0,True,True
borough_9__activity_0,4,9,0,inactive,0.031993873117940726,0.9680061268820593,73,201.4251175757457,936.8138020095535,43.30858266965331,3,6.4443696544847,70,194.980747921261,False,True,False,True,True,6,1.0,True,True
borough_9__activity_0,5,9,0,inactive,0.11431953319806622,0.8856804668019339,79,178.86984350953927,618.2172510658619,51.75271453840187,6,20.448317013221683,73,158.4215264963176,False,False,False,True,True,6,1.0,True,True
borough_9__activity_0,6,9,0,inactive,0.00546888138723569,0.9945311186127643,83,195.38443764541057,851.3314737591269,44.841615341023406,1,1.068534314394498,82,194.31590333101607,False,True,False,True,True,6,1.0,True,True
borough_9__activity_0,7,9,0,inactive,0.04679292020772604,0.9532070797922739,81,187.01293858709278,670.1453225569679,52.18844036027225,3,8.750881513118202,78,178.26205707397457,False,True,False,True,True,6,1.0,True,True
borough_9__activity_0,8,9,0,inactive,0.04833070678319035,0.9516692932168096,54,129.35591336263806,539.7973684186763,30.998580765410384,4,6.2518627194014345,50,123.10405064323662,False,True,False,True,True,6,1.0,True,True
borough_9__activity_1,3,9,1,fairly_active,0.027299221437975033,0.9727007785620251,41,98.55216010274923,517.5730102751472,18.765523062639286,1,2.6903972418357194,40,95.86176286091352,False,True,False,True,True,6,1.0,True,True
