series_id,year,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,frequent_volunteer_rate,not_frequent_volunteer_rate,n_parent_cell,weighted_n_parent_cell,sum_weight_squared,effective_n_parent_cell,n_frequent_volunteer,weighted_n_frequent_volunteer,n_not_frequent_volunteer,weighted_n_not_frequent_volunteer,small_cell,few_frequent_cases,zero_frequent_cases,cell_observed,rate_available,observed_years_in_series,series_coverage_rate,series_has_history,series_complete_history
borough_8__age_2__activity_0,3,8,2,16-24,0,inactive,0.0,1.0,7,28.581135772787043,230.45567316856312,3.544635334123419,0,0.0,7,28.581135772787043,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_0,4,8,2,16-24,0,inactive,0.0,1.0,3,7.7304787931354015,28.5807026502141,2.0909318816438724,0,0.0,3,7.7304787931354015,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_0,5,8,2,16-24,0,inactive,0.3739354132213792,0.6260645867786209,15,18.206239948952383,31.212426426465907,10.619718202932445,3,6.8079578585190905,12,11.398282090433293,True,True,False,True,True,6,1.0,True,True
borough_8__age_2__activity_0,6,8,2,16-24,0,inactive,0.04042799588187852,0.9595720041181214,14,13.714949420310829,17.35900340854075,10.83586615975534,2,0.5544679186844984,12,13.160481501626329,True,True,False,True,True,6,1.0,True,True
borough_8__age_2__activity_0,7,8,2,16-24,0,inactive,0.08057645490852634,0.9194235450914737,19,27.067236406317186,49.01243581278491,14.947946873604563,3,2.180981953792039,16,24.886254452525147,True,True,False,True,True,6,1.0,True,True
borough_8__age_2__activity_0,8,8,2,16-24,0,inactive,0.0,1.0,20,31.771744609646937,65.9598073189673,15.303922139420127,0,0.0,20,31.771744609646937,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_1,3,8,2,16-24,1,fairly_active,0.0,1.0,3,6.664595490227695,15.06886648656928,2.9475895275833506,0,0.0,3,6.664595490227695,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_1,4,8,2,16-24,1,fairly_active,0.0,1.0,6,8.603552456150233,19.122224266936023,3.870946906198439,0,0.0,6,8.603552456150233,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_1,5,8,2,16-24,1,fairly_active,0.0,1.0,4,7.416873245115292,17.59015181776425,3.1273185873559415,0,0.0,4,7.416873245115292,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_1,6,8,2,16-24,1,fairly_active,0.0,1.0,10,12.955783700991523,25.481711532142857,6.58716864819489,0,0.0,10,12.955783700991523,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_1,7,8,2,16-24,1,fairly_active,0.0,1.0,7,8.981722884173317,16.064387170257902,5.021750603561152,0,0.0,7,8.981722884173317,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_1,8,8,2,16-24,1,fairly_active,0.0,1.0,7,6.809485110230911,8.246349843149616,5.622983301512011,0,0.0,7,6.809485110230911,True,True,True,True,True,6,1.0,True,True
borough_8__age_2__activity_2,3,8,2,16-24,2,active,0.023783387705828676,0.9762166122941713,16,50.57588689569801,254.10684063250312,10.066318281394787,1,1.2028659266065258,15,49.373020969091485,True,True,False,True,True,6,1.0,True,True
borough_8__age_2__activity_2,4,8,2,16-24,2,active,0.1115263928212127,0.8884736071787873,20,51.61687328202128,196.4292325541895,13.563671622436512,3,5.756643685853463,17,45.86022959616782,True,True,False,True,True,6,1.0,True,True
borough_8__age_2__activity_2,5,8,2,16-24,2,active,0.12035523912516692,0.879644760874833,26,48.61274585198815,125.4203310130731,18.842232676165278,3,5.8507986515470005,23,42.76194720044115,True,True,False,True,True,6,1.0,True,True
borough_8__age_2__activity_2,6,8,2,16-24,2,active,0.21683222518319814,0.7831677748168018,29,45.44052982948436,115.41546020022207,17.890512654042904,6,9.852971196430586,23,35.587558633053774,True,False,False,True,True,6,1.0,True,True
borough_8__age_2__activity_2,7,8,2,16-24,2,active,0.08364073397694961,0.9163592660230504,25,47.05250195827218,126.45462343995392,17.50776587132443,6,3.935505799241744,19,43.116996159030435,True,False,False,True,True,6,1.0,True,True
borough_8__age_2__activity_2,8,8,2,16-24,2,active,0.24251582702545146,0.7574841729745484,34,53.40188093956821,114.52814247660332,24.900088539080233,7,12.950801320774078,27,40.451079618794125,False,False,False,True,True,6,1.0,True,True
borough_8__age_3__activity_0,3,8,3,25-34,0,inactive,0.0,1.0,19,41.3456365328811,189.8899365301956,9.002381545571163,0,0.0,19,41.3456365328811,True,True,True,True,True,6,1.0,True,True
borough_8__age_3__activity_0,4,8,3,25-34,0,inactive,0.05334616686149738,0.9466538331385028,17,39.910459520783704,145.2178954684152,10.968653512173761,1,2.1290700331147643,16,37.781389487668946,True,True,False,True,True,6,1.0,True,True
borough_8__age_3__activity_0,5,8,3,25-34,0,inactive,0.0,1.0,21,26.06777020387391,58.02431124883522,11.711102273801092,0,0.0,21,26.06777020387391,True,True,True,True,True,6,1.0,True,True
borough_8__age_3__activity_0,6,8,3,25-34,0,inactive,0.02177773916678708,0.9782222608332128,30,23.709693032957055,27.27428586179002,20.610972054985943,2,0.5163435105963277,28,23.193349522360727,False,True,False,True,True,6,1.0,True,True
borough_8__age_3__activity_0,7,8,3,25-34,0,inactive,0.0,1.0,27,34.59234507514123,81.3352763020306,14.712316625741552,0,0.0,27,34.59234507514123,True,True,True,True,True,6,1.0,True,True
borough_8__age_3__activity_0,8,8,3,25-34,0,inactive,0.018700926941115168,0.9812990730588848,26,27.886332038893563,53.46904844317321,14.543881689046772,2,0.5215002581150278,24,27.364831780778534,True,True,False,True,True,6,1.0,True,True
borough_8__age_3__activity_1,3,8,3,25-34,1,fairly_active,0.0,1.0,3,4.417899216248058,8.478702451317655,2.301983540169166,0,0.0,3,4.417899216248058,True,True,True,True,True,6,1.0,True,True
borough_8__age_3__activity_1,4,8,3,25-34,1,fairly_active,0.0244969410523766,0.9755030589476236,11,16.7527358366948,39.2675953477017,7.147220386911334,1,0.4103907822575495,10,16.342345054437253,True,True,False,True,True,6,1.0,True,True
borough_8__age_3__activity_1,5,8,3,25-34,1,fairly_active,0.1714108492110732,0.8285891507889267,11,11.29280054759387,21.479325026342085,5.937213764926869,2,1.9357085318343377,9,9.357092015759532,True,True,False,True,True,6,1.0,True,True
borough_8__age_3__activity_1,6,8,3,25-34,1,fairly_active,0.0,1.0,7,5.057040327699262,5.846218110379666,4.374393221931272,0,0.0,7,5.057040327699262,True,True,True,True,True,6,1.0,True,True
borough_8__age_3__activity_1,7,8,3,25-34,1,fairly_active,0.12294078792618982,0.8770592120738102,7,4.544521394530854,3.5902198106262935,5.752481963422154,1,0.5587070409910501,6,3.985814353539804,True,True,False,True,True,6,1.0,True,True
borough_8__age_3__activity_1,8,8,3,25-34,1,fairly_active,0.0,1.0,8,11.423798821633886,19.10150303917821,6.832089561198129,0,0.0,8,11.423798821633886,True,True,True,True,True,6,1.0,True,True
borough_8__age_3__activity_2,3,8,3,25-34,2,active,0.07090007690694762,0.9290999230930523,28,46.59988117303075,112.73387201690382,19.262612793207122,2,3.303935159022501,26,43.29594601400825,True,True,False,True,True,6,1.0,True,True
borough_8__age_3__activity_2,4,8,3,25-34,2,active,0.09067430209859174,0.9093256979014082,35,55.683907258757806,140.71178901681222,22.03580488363679,4,5.049099428810571,31,50.63480782994723,False,True,False,True,True,6,1.0,True,True
borough_8__age_3__activity_2,5,8,3,25-34,2,active,0.1676357089800183,0.8323642910199817,45,55.086879213659344,97.24770270188466,31.20448275063966,5,9.234528052478417,40,45.85235116118093,False,False,False,True,True,6,1.0,True,True
borough_8__age_3__activity_2,6,8,3,25-34,2,active,0.0,1.0,34,38.95860324735407,73.19394976665312,20.736314570036203,0,0.0,34,38.95860324735407,False,True,True,True,True,6,1.0,True,True
borough_8__age_3__activity_2,7,8,3,25-34,2,active,0.2091225803964559,0.7908774196035442,50,58.09363565765314,108.86256262233341,31.001203927490362,11,12.148690993339985,39,45.944944664313155,False,False,False,True,True,6,1.0,True,True
borough_8__age_3__activity_2,8,8,3,25-34,2,active,0.010444508432258158,0.9895554915677419,34,38.88054435567431,68.08254088348455,22.20388237243749,1,0.4060881733736277,33,38.474456182300685,False,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_0,3,8,4,35-44,0,inactive,0.033739405703353036,0.966260594296647,19,34.470330317857034,100.75130181611388,11.793432450042404,1,1.1630084593227688,18,33.307321858534266,True,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_0,4,8,4,35-44,0,inactive,0.051692035336950944,0.9483079646630491,25,31.986705370352677,54.838021111195054,18.657663054162892,1,1.653457904316909,24,30.33324746603577,True,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_0,5,8,4,35-44,0,inactive,0.0323366630861274,0.9676633369138725,31,34.92856337890165,69.26956611250007,17.612417807447375,1,1.1294731860659903,30,33.799090192835656,False,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_0,6,8,4,35-44,0,inactive,0.035134666103769745,0.9648653338962302,41,48.79349426832604,97.67083155541046,24.375804372695363,2,1.7143431291538385,39,47.079151139172204,False,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_0,7,8,4,35-44,0,inactive,0.0332824346628754,0.9667175653371245,29,25.237474828538737,31.688426802845836,20.099771430241077,1,0.8399646070368031,28,24.397510221501932,True,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_0,8,8,4,35-44,0,inactive,0.06039758013711554,0.9396024198628845,36,41.367762747696304,71.1806357708273,24.0415356819705,3,2.4985127656471704,33,38.86924998204913,False,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_1,3,8,4,35-44,1,fairly_active,0.06734169509329457,0.9326583049067054,8,12.554447607856249,34.267037794295014,4.5995850497660475,1,0.8454377828729969,7,11.709009824983251,True,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_1,4,8,4,35-44,1,fairly_active,0.08096509160915702,0.9190349083908431,5,9.171294502336105,27.960543681685564,3.0082620640769258,1,0.7425546995562009,4,8.428739802779905,True,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_1,5,8,4,35-44,1,fairly_active,0.057078037413449495,0.9429219625865505,12,11.437219432313215,27.559463359089843,4.7464635518651495,1,0.6528140386634053,11,10.78440539364981,True,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_1,6,8,4,35-44,1,fairly_active,0.0,1.0,13,15.533885602683792,24.844955594394303,9.712297572860665,0,0.0,13,15.533885602683792,True,True,True,True,True,6,1.0,True,True
borough_8__age_4__activity_1,7,8,4,35-44,1,fairly_active,0.04935336582253395,0.9506466341774661,11,11.31474265466281,24.10356081409261,5.3113895630887304,1,0.5584206334234025,10,10.756322021239408,True,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_1,8,8,4,35-44,1,fairly_active,0.0,1.0,9,5.177821706575347,4.14267262480923,6.471628355213666,0,0.0,9,5.177821706575347,True,True,True,True,True,6,1.0,True,True
borough_8__age_4__activity_2,3,8,4,35-44,2,active,0.116861479435362,0.883138520564638,34,40.205889497520715,76.30011168827843,21.186254050204525,4,4.698519728694954,30,35.50736976882576,False,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_2,4,8,4,35-44,2,active,0.18566242447659967,0.8143375755234002,37,46.01674015506251,90.64830844402158,23.3599546516215,4,8.543579543698604,33,37.4731606113639,False,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_2,5,8,4,35-44,2,active,0.15068654119737482,0.8493134588026251,32,34.633137126940355,64.5516759146971,18.581302038362153,4,5.218747644473029,28,29.41438948246732,False,True,False,True,True,6,1.0,True,True
borough_8__age_4__activity_2,6,8,4,35-44,2,active,0.12097224112169178,0.8790277588783083,53,47.213459558488154,66.95709093237214,33.29163098994904,8,5.711518013898672,45,41.501941544589485,False,False,False,True,True,6,1.0,True,True
borough_8__age_4__activity_2,7,8,4,35-44,2,active,0.303547588202278,0.696452411797722,55,62.56374394447567,103.45283421348546,37.83581267838946,13,18.991073583250465,42,43.57267036122521,False,False,False,True,True,6,1.0,True,True
borough_8__age_4__activity_2,8,8,4,35-44,2,active,0.10958157342435108,0.8904184265756488,59,58.42162709763086,93.23755383385621,36.606349827844625,6,6.401933819369095,53,52.01969327826176,False,False,False,True,True,6,1.0,True,True
borough_8__age_5__activity_0,3,8,5,45-54,0,inactive,0.0966511647118181,0.9033488352881819,19,27.77519632644463,72.0049574415157,10.714005790492195,3,2.684505075050285,16,25.090691251394343,True,True,False,True,True,6,1.0,True,True
borough_8__age_5__activity_0,4,8,5,45-54,0,inactive,0.05477962057846988,0.94522037942153,17,22.47913712431112,42.14509907430805,11.98980704642889,1,1.2313986026011596,16,21.24773852170996,True,True,False,True,True,6,1.0,True,True
borough_8__age_5__activity_0,5,8,5,45-54,0,inactive,0.057670692622599926,0.9423293073774,14,18.919005336542163,40.3715128052927,8.86587442611728,2,1.0910721414890507,12,17.82793319505311,True,True,False,True,True,6,1.0,True,True
borough_8__age_5__activity_0,6,8,5,45-54,0,inactive,0.04001614005821781,0.9599838599417823,25,27.991014291839857,46.18645543322968,16.963780262779856,1,1.12009234827384,24,26.870921943566017,True,True,False,True,True,6,1.0,True,True
borough_8__age_5__activity_0,7,8,5,45-54,0,inactive,0.1454712627213281,0.8545287372786718,18,20.975435472355805,36.334573331017964,12.10882233972378,3,3.0513230842933363,15,17.92411238806247,True,True,False,True,True,6,1.0,True,True
borough_8__age_5__activity_0,8,8,5,45-54,0,inactive,0.0,1.0,23,31.916272045258367,65.95101058578246,15.445531648707416,0,0.0,23,31.916272045258367,True,True,True,True,True,6,1.0,True,True
borough_8__age_5__activity_1,3,8,5,45-54,1,fairly_active,0.0,1.0,5,6.834447825378212,16.397980247812985,2.8485018503450563,0,0.0,5,6.834447825378212,True,True,True,True,True,6,1.0,True,True
