year,age_group_code,age_group,boroughs,mean_active_inactive_gap_pp,median_active_inactive_gap_pp,mean_fairly_active_inactive_gap_pp,median_fairly_active_inactive_gap_pp
9,2,16-24,32,9.23499554499475,8.961885539877834,-2.0480204066280825,-1.4497940208086306
9,3,25-34,32,3.78393678870241,3.369480217221433,-0.6374935127756003,-0.054814698617454416
9,4,35-44,32,5.563258671880228,5.168877475765825,-0.3924439288170834,-0.10480838714323343
9,5,45-54,32,9.244872627592576,9.580853820232088,0.022669924243891335,0.2297342894634787
9,6,55-64,32,6.236010781576693,6.651537081324263,-0.11478645501525193,0.0
9,7,65-74,32,7.230136828235238,7.813129466296366,0.482552237982039,0.7235850176727044
9,8,75-84,32,4.490390347016723,4.649946966659253,-1.0219676373654285,-0.6018585097354436
9,9,85+,32,0.6486770096934318,0.5730884553560162,1.3495281124382914,1.294058945508532
10,2,16-24,32,7.677867360014141,7.566956352385783,-1.8103815754967514,-1.8251174875153735
10,3,25-34,32,3.155308670239301,2.945571877487602,-0.19006756532545338,0.0
10,4,35-44,32,4.7430842253518835,4.535269111195001,-0.0741677141274802,0.0
10,5,45-54,32,7.571635488463434,7.379783227245081,-0.008617893871072122,0.0
10,6,55-64,32,5.137184350250424,5.242680382347438,-0.05761059252776975,0.0
10,7,65-74,32,6.326135982225498,6.23463687217501,0.8603631814036439,0.6968111854266514
10,8,75-84,32,3.8378356627493644,3.665852792783518,-1.8319033354132586,-2.2325690159359235
10,9,85+,32,1.0082620038130916,1.3067298134219654,3.200724474273831,3.6906113502741387
11,2,16-24,32,7.5390394210708775,7.566956352385783,-1.5130320528443968,-1.4497940208086257
11,3,25-34,32,3.029741205110276,2.945571877487602,0.0,0.0
11,4,35-44,32,4.581739441725733,4.458337937199327,0.0,0.0
11,5,45-54,32,7.324714536849591,7.267085145105208,-6.591949208711867e-17,0.0
11,6,55-64,32,4.819623358397657,4.712852491156704,0.0,0.0
11,7,65-74,32,6.22283088014514,6.23463687217501,1.1252771269990107,1.2266390766173856
11,8,75-84,32,3.445399781461373,3.1360249015927835,-1.3811589783536078,-1.2120724525360185
11,9,85+,32,1.6889973988194282,2.325774730815204,3.6882819735044525,4.220439241464873
12,2,16-24,32,7.5390394210708775,7.566956352385783,-1.5130320528443968,-1.4497940208086257
12,3,25-34,32,3.027659895816347,2.945571877487602,0.0,0.0
12,4,35-44,32,4.583820751019662,4.458337937199327,0.0,0.0
12,5,45-54,32,7.331952745863957,7.267085145105208,-6.591949208711867e-17,0.0
12,6,55-64,32,4.816753540336753,4.712852491156704,0.0,0.0
12,7,65-74,32,6.219922449468833,6.23463687217501,1.1252771269990107,1.2266390766173856
12,8,75-84,32,3.4288426598616626,3.1360249015927835,-1.256095138284542,-1.2120724525360185
12,9,85+,32,1.951337091097875,2.6204408831198642,3.6632473692864838,4.220439241464873
13,2,16-24,32,7.5390394210708775,7.566956352385783,-1.5130320528443968,-1.4497940208086257
13,3,25-34,32,3.027659895816347,2.945571877487602,0.0,0.0
13,4,35-44,32,4.581739441725733,4.458337937199327,0.0,0.0
13,5,45-54,32,7.324714536849591,7.267085145105208,-6.591949208711867e-17,0.0
13,6,55-64,32,4.828799947725849,4.712852491156704,0.0,0.0
13,7,65-74,32,6.22283088014514,6.23463687217501,1.1252771269990107,1.2266390766173856
13,8,75-84,32,3.4288426598616626,3.1360249015927835,-1.2523731823354458,-1.2120724525360185
13,9,85+,32,1.951337091097875,2.6204408831198642,3.6632473692864838,4.220439241464873
14,2,16-24,32,7.5390394210708775,7.566956352385783,-1.5130320528443968,-1.4497940208086257
14,3,25-34,32,3.027659895816347,2.945571877487602,0.0,0.0
14,4,35-44,32,4.583820751019662,4.458337937199327,0.0,0.0
14,5,45-54,32,7.331952745863957,7.267085145105208,-6.591949208711867e-17,0.0
14,6,55-64,32,4.816753540336753,4.712852491156704,0.0,0.0
14,7,65-74,32,6.219922449468833,6.23463687217501,1.1252771269990107,1.2266390766173856
14,8,75-84,32,3.4288426598616626,3.1360249015927835,-1.256095138284542,-1.2120724525360185
14,9,85+,32,1.951337091097875,2.6204408831198642,3.6632473692864838,4.220439241464873
