calendar_year,forecast_horizon,activity_level_3cat,activity_level,boroughs,borough_median_rate_pct,borough_q25_rate_pct,borough_q75_rate_pct,equal_borough_mean_rate_pct
2023/24,1,0,Inactive,32,6.910848477215382,6.855552285855291,7.038148459509154,7.00913678143508
2024/25,2,0,Inactive,32,6.998978667068802,6.998978667068802,6.998978667068802,6.999568433739921
2025/26,3,0,Inactive,32,6.998978667068802,6.998978667068802,6.998978667068802,6.998978667068802
2026/27,4,0,Inactive,32,6.998978667068802,6.998978667068802,6.998978667068802,6.998978667068802
2027/28,5,0,Inactive,32,6.998978667068802,6.998978667068802,6.998978667068802,6.998978667068802
2028/29,6,0,Inactive,32,6.998978667068802,6.998978667068802,6.998978667068802,6.998978667068802
2023/24,1,1,Fairly active,32,8.254020877835302,8.088350500998713,8.325071435033891,8.19537926405583
2024/25,2,1,Fairly active,32,7.714023819129973,7.714023819129973,7.720411052306776,7.784531070778781
2025/26,3,1,Fairly active,32,8.078628982429876,8.078628982429876,8.078628982429876,8.011463120531795
2026/27,4,1,Fairly active,32,7.720411052306776,7.720411052306776,7.720411052306776,7.787576914204857
2027/28,5,1,Fairly active,32,8.078628982429876,8.078628982429876,8.078628982429876,8.011463120531795
2028/29,6,1,Fairly active,32,7.720411052306774,7.720411052306774,7.720411052306774,7.787576914204855
2023/24,1,2,Active,32,13.679674147719892,13.620340179219625,13.818283911364448,13.687790075838146
2024/25,2,2,Active,32,13.683537991711317,13.679674147719892,13.697859587679027,13.683604544453702
2025/26,3,2,Active,32,13.683537991711315,13.683537991711315,13.683537991711315,13.68329650146185
2026/27,4,2,Active,32,13.683537991711315,13.683537991711315,13.683537991711315,13.683537991711315
2027/28,5,2,Active,32,13.683537991711315,13.683537991711315,13.683537991711315,13.683537991711315
2028/29,6,2,Active,32,13.683537991711315,13.683537991711315,13.683537991711315,13.683537991711315
