transition,forecast_horizon,activity_level_3cat,activity_level,boroughs,median_change_pp,q25_change_pp,q75_change_pp,boroughs_increasing,boroughs_decreasing,boroughs_unchanged,share_boroughs_increasing_pct,share_boroughs_decreasing_pct,share_boroughs_unchanged_pct
2023/24 to 2024/25,2,0,Inactive,32,0.0881301898534197,-0.03916979244035157,0.14342638121351148,20,9,3,62.5,28.125,9.375
2024/25 to 2025/26,3,0,Inactive,32,0.0,0.0,0.0,0,4,28,0.0,12.5,87.5
2025/26 to 2026/27,4,0,Inactive,32,0.0,0.0,0.0,0,0,32,0.0,0.0,100.0
2026/27 to 2027/28,5,0,Inactive,32,0.0,0.0,0.0,0,0,32,0.0,0.0,100.0
2027/28 to 2028/29,6,0,Inactive,32,0.0,0.0,0.0,0,0,32,0.0,0.0,100.0
2023/24 to 2024/25,2,1,Fairly active,32,-0.5399970587053291,-0.6110476159039182,-0.3679394486919372,6,26,0,18.75,81.25,0.0
2024/25 to 2025/26,3,1,Fairly active,32,0.36460516329990345,0.3582179301231001,0.36460516329990345,26,6,0,81.25,18.75,0.0
2025/26 to 2026/27,4,1,Fairly active,32,-0.3582179301231001,-0.3582179301231001,-0.3582179301231001,6,26,0,18.75,81.25,0.0
2026/27 to 2027/28,5,1,Fairly active,32,0.3582179301231001,0.3582179301231001,0.3582179301231001,26,6,0,81.25,18.75,0.0
2027/28 to 2028/29,6,1,Fairly active,32,-0.3582179301231019,-0.3582179301231019,-0.3582179301231019,6,26,0,18.75,81.25,0.0
2023/24 to 2024/25,2,2,Active,32,0.003863843991425142,-0.12042432368542144,0.059333968500268064,19,13,0,59.375,40.625,0.0
2024/25 to 2025/26,3,2,Active,32,-1.7763568394002505e-15,-0.014321595967711431,0.0038638439914233658,12,13,7,37.5,40.625,21.875
2025/26 to 2026/27,4,2,Active,32,0.0,0.0,0.0,2,0,30,6.25,0.0,93.75
2026/27 to 2027/28,5,2,Active,32,0.0,0.0,0.0,0,0,32,0.0,0.0,100.0
2027/28 to 2028/29,6,2,Active,32,0.0,0.0,0.0,0,0,32,0.0,0.0,100.0
