calendar_year,forecast_horizon,age_group_code,age_group,comparison,boroughs,median_gap_pp,q25_gap_pp,q75_gap_pp
2023/24,1,2,16-24,Active - Inactive,32,8.961885539877832,8.073740275611165,10.219820140413166
2024/25,2,2,16-24,Active - Inactive,32,7.566956352385782,7.566956352385782,7.919553912585679
2025/26,3,2,16-24,Active - Inactive,32,7.566956352385782,7.566956352385782,7.566956352385782
2026/27,4,2,16-24,Active - Inactive,32,7.566956352385782,7.566956352385782,7.566956352385782
2027/28,5,2,16-24,Active - Inactive,32,7.566956352385782,7.566956352385782,7.566956352385782
2028/29,6,2,16-24,Active - Inactive,32,7.566956352385782,7.566956352385782,7.566956352385782
2023/24,1,3,25-34,Active - Inactive,32,3.369480217221433,2.956307228339745,5.060171261256784
2024/25,2,3,25-34,Active - Inactive,32,2.945571877487601,2.945571877487601,3.4753997686783356
2025/26,3,3,25-34,Active - Inactive,32,2.945571877487601,2.945571877487601,2.945571877487602
2026/27,4,3,25-34,Active - Inactive,32,2.945571877487601,2.945571877487601,2.945571877487602
2027/28,5,3,25-34,Active - Inactive,32,2.945571877487601,2.945571877487601,2.945571877487602
2028/29,6,3,25-34,Active - Inactive,32,2.945571877487601,2.945571877487601,2.945571877487602
2023/24,1,4,35-44,Active - Inactive,32,5.168877475765825,4.6644883814602105,6.767867116382749
2024/25,2,4,35-44,Active - Inactive,32,4.535269111195001,4.432073907236748,4.988165828390062
2025/26,3,4,35-44,Active - Inactive,32,4.458337937199327,4.458337937199327,4.458337937199327
2026/27,4,4,35-44,Active - Inactive,32,4.458337937199327,4.458337937199327,4.458337937199327
2027/28,5,4,35-44,Active - Inactive,32,4.458337937199327,4.458337937199327,4.458337937199327
2028/29,6,4,35-44,Active - Inactive,32,4.458337937199327,4.458337937199327,4.458337937199327
2023/24,1,5,45-54,Active - Inactive,32,9.580853820232086,7.875362862232547,10.02433293545604
2024/25,2,5,45-54,Active - Inactive,32,7.379783227245081,7.267085145105207,7.796913036295941
2025/26,3,5,45-54,Active - Inactive,32,7.267085145105207,7.267085145105207,7.267085145105212
2026/27,4,5,45-54,Active - Inactive,32,7.267085145105207,7.267085145105207,7.267085145105212
2027/28,5,5,45-54,Active - Inactive,32,7.267085145105207,7.267085145105207,7.267085145105212
2028/29,6,5,45-54,Active - Inactive,32,7.267085145105207,7.267085145105207,7.267085145105212
2023/24,1,6,55-64,Active - Inactive,32,6.651537081324262,5.16895008054128,7.294995489113109
2024/25,2,6,55-64,Active - Inactive,32,5.242680382347438,4.8545132821127925,5.249246389838083
2025/26,3,6,55-64,Active - Inactive,32,4.712852491156704,4.712852491156704,4.712852491156708
2026/27,4,6,55-64,Active - Inactive,32,4.712852491156704,4.712852491156704,4.712852491156705
2027/28,5,6,55-64,Active - Inactive,32,4.712852491156704,4.712852491156704,4.712852491156708
2028/29,6,6,55-64,Active - Inactive,32,4.712852491156704,4.712852491156704,4.712852491156705
2023/24,1,7,65-74,Active - Inactive,32,7.813129466296367,6.180944748003178,8.264635629612634
2024/25,2,7,65-74,Active - Inactive,32,6.23463687217501,6.110819519854069,6.23463687217501
2025/26,3,7,65-74,Active - Inactive,32,6.23463687217501,5.76687222147131,6.23463687217501
2026/27,4,7,65-74,Active - Inactive,32,6.23463687217501,5.76687222147131,6.23463687217501
2027/28,5,7,65-74,Active - Inactive,32,6.23463687217501,5.76687222147131,6.23463687217501
2028/29,6,7,65-74,Active - Inactive,32,6.23463687217501,5.76687222147131,6.23463687217501
2023/24,1,8,75-84,Active - Inactive,32,4.649946966659252,3.5569196934980676,5.508764738504695
2024/25,2,8,75-84,Active - Inactive,32,3.665852792783517,3.1360249015927826,3.752923212810521
2025/26,3,8,75-84,Active - Inactive,32,3.1360249015927826,3.1360249015927826,3.2230953216197866
2026/27,4,8,75-84,Active - Inactive,32,3.1360249015927826,3.1360249015927826,3.1360249015927844
2027/28,5,8,75-84,Active - Inactive,32,3.1360249015927826,3.1360249015927826,3.1360249015927844
2028/29,6,8,75-84,Active - Inactive,32,3.1360249015927826,3.1360249015927826,3.1360249015927844
2023/24,1,9,85+,Active - Inactive,32,0.5730884553560163,0.2166867640912412,1.0063116737785642
2024/25,2,9,85+,Active - Inactive,32,1.3067298134219651,0.38054988299542725,1.3067298134219651
2025/26,3,9,85+,Active - Inactive,32,2.325774730815204,1.3067298134219651,2.6204408831198647
2026/27,4,9,85+,Active - Inactive,32,2.6204408831198647,2.108602776178901,2.6204408831198647
2027/28,5,9,85+,Active - Inactive,32,2.6204408831198647,2.108602776178901,2.6204408831198647
2028/29,6,9,85+,Active - Inactive,32,2.6204408831198647,2.108602776178901,2.6204408831198647
2023/24,1,2,16-24,Fairly active - Inactive,32,-1.449794020808631,-3.5034284999138205,-1.3420469470737177
2024/25,2,2,16-24,Fairly active - Inactive,32,-1.8251174875153735,-1.9796219119993603,-1.4497940208086257
2025/26,3,2,16-24,Fairly active - Inactive,32,-1.4497940208086257,-1.4497940208086257,-1.4497940208086257
2026/27,4,2,16-24,Fairly active - Inactive,32,-1.4497940208086257,-1.4497940208086257,-1.4497940208086257
2027/28,5,2,16-24,Fairly active - Inactive,32,-1.4497940208086257,-1.4497940208086257,-1.4497940208086257
2028/29,6,2,16-24,Fairly active - Inactive,32,-1.4497940208086257,-1.4497940208086257,-1.4497940208086257
2023/24,1,3,25-34,Fairly active - Inactive,32,-0.05481469861745403,-2.104151900840413,0.0
2024/25,2,3,25-34,Fairly active - Inactive,32,0.0,-0.5298278911907346,0.0
2025/26,3,3,25-34,Fairly active - Inactive,32,0.0,0.0,0.0
2026/27,4,3,25-34,Fairly active - Inactive,32,0.0,0.0,0.0
2027/28,5,3,25-34,Fairly active - Inactive,32,0.0,0.0,0.0
2028/29,6,3,25-34,Fairly active - Inactive,32,0.0,0.0,0.0
2023/24,1,4,35-44,Fairly active - Inactive,32,-0.1048083871432337,-1.8348183777063833,0.027407349308727236
2024/25,2,4,35-44,Fairly active - Inactive,32,0.0,-0.13245697279768365,0.0
2025/26,3,4,35-44,Fairly active - Inactive,32,0.0,0.0,0.0
2026/27,4,4,35-44,Fairly active - Inactive,32,0.0,0.0,0.0
2027/28,5,4,35-44,Fairly active - Inactive,32,0.0,0.0,0.0
2028/29,6,4,35-44,Fairly active - Inactive,32,0.0,0.0,0.0
2023/24,1,5,45-54,Fairly active - Inactive,32,0.22973428946347907,-1.5188835623421322,0.8227632858731639
2024/25,2,5,45-54,Fairly active - Inactive,32,0.0,-0.5298278911907346,0.5298278911907339
2025/26,3,5,45-54,Fairly active - Inactive,32,0.0,0.0,0.0
2026/27,4,5,45-54,Fairly active - Inactive,32,0.0,0.0,0.0
2027/28,5,5,45-54,Fairly active - Inactive,32,0.0,0.0,0.0
2028/29,6,5,45-54,Fairly active - Inactive,32,0.0,0.0,0.0
2023/24,1,6,55-64,Fairly active - Inactive,32,0.0,-0.4851292584763669,0.0
2024/25,2,6,55-64,Fairly active - Inactive,32,0.0,0.0,0.0
2025/26,3,6,55-64,Fairly active - Inactive,32,0.0,0.0,0.0
2026/27,4,6,55-64,Fairly active - Inactive,32,0.0,0.0,0.0
2027/28,5,6,55-64,Fairly active - Inactive,32,0.0,0.0,0.0
2028/29,6,6,55-64,Fairly active - Inactive,32,0.0,0.0,0.0
2023/24,1,7,65-74,Fairly active - Inactive,32,0.7235850176727041,-1.1207848434309622,0.7840751069944132
2024/25,2,7,65-74,Fairly active - Inactive,32,0.6968111854266512,0.6968111854266512,1.2266390766173858
2025/26,3,7,65-74,Fairly active - Inactive,32,1.2266390766173858,0.6968111854266521,1.2266390766173858
2026/27,4,7,65-74,Fairly active - Inactive,32,1.2266390766173858,0.6968111854266521,1.2266390766173858
2027/28,5,7,65-74,Fairly active - Inactive,32,1.2266390766173858,0.6968111854266521,1.2266390766173858
2028/29,6,7,65-74,Fairly active - Inactive,32,1.2266390766173858,0.6968111854266521,1.2266390766173858
2023/24,1,8,75-84,Fairly active - Inactive,32,-0.6018585097354432,-1.4203230821424193,-0.6018585097354432
2024/25,2,8,75-84,Fairly active - Inactive,32,-2.2325690159359235,-2.3650259887336067,-1.1086467952133492
2025/26,3,8,75-84,Fairly active - Inactive,32,-1.2120724525360185,-1.2120724525360185,-1.2120724525360174
2026/27,4,8,75-84,Fairly active - Inactive,32,-1.2120724525360185,-1.2120724525360185,-1.2120724525360183
2027/28,5,8,75-84,Fairly active - Inactive,32,-1.2120724525360185,-1.2120724525360185,-1.2120724525360183
2028/29,6,8,75-84,Fairly active - Inactive,32,-1.2120724525360185,-1.2120724525360185,-1.2120724525360183
2023/24,1,9,85+,Fairly active - Inactive,32,1.2940589455085323,1.2781564298348247,1.7875679759669163
2024/25,2,9,85+,Fairly active - Inactive,32,3.690611350274139,3.6652152410376244,3.690611350274139
2025/26,3,9,85+,Fairly active - Inactive,32,4.220439241464874,3.7144651237846986,4.220439241464874
2026/27,4,9,85+,Fairly active - Inactive,32,4.220439241464874,3.7144651237846986,4.220439241464874
2027/28,5,9,85+,Fairly active - Inactive,32,4.220439241464874,3.7144651237846986,4.220439241464874
2028/29,6,9,85+,Fairly active - Inactive,32,4.220439241464874,3.7144651237846986,4.220439241464874
