calendar_year,forecast_horizon,age_group_code,age_group,activity_level_3cat,activity_level,boroughs,borough_median_rate_pct,borough_q25_rate_pct,borough_q75_rate_pct,equal_borough_mean_rate_pct
2023/24,1,2,16-24,0,Inactive,32,8.42819944338739,6.593381065681012,8.69753296652142,7.7843157189459555
2024/25,2,2,16-24,0,Inactive,32,8.907149740807887,8.907149740807887,8.907149740807887,8.74590085200987
2025/26,3,2,16-24,0,Inactive,32,8.907149740807887,8.907149740807887,8.907149740807887,8.812129338408711
2026/27,4,2,16-24,0,Inactive,32,8.907149740807887,8.907149740807887,8.907149740807887,8.812129338408711
2027/28,5,2,16-24,0,Inactive,32,8.907149740807887,8.907149740807887,8.907149740807887,8.812129338408711
2028/29,6,2,16-24,0,Inactive,32,8.907149740807887,8.907149740807887,8.907149740807887,8.812129338408711
2023/24,1,2,16-24,1,Fairly active,32,5.143587044872381,5.143587044872381,7.045738803362273,5.736295312317872
2024/25,2,2,16-24,1,Fairly active,32,6.927527828808526,6.927527828808526,7.457355719999261,6.935519276513118
2025/26,3,2,16-24,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2026/27,4,2,16-24,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2027/28,5,2,16-24,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,2,16-24,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,2,16-24,2,Active,32,16.93874258947797,16.6482726097393,17.404364257924918,17.019311263940704
2024/25,2,2,16-24,2,Active,32,16.47410609319367,16.47410609319367,16.496164247641822,16.42376821202401
2025/26,3,2,16-24,2,Active,32,16.47410609319367,16.47410609319367,16.47410609319367,16.351168759479588
2026/27,4,2,16-24,2,Active,32,16.47410609319367,16.47410609319367,16.47410609319367,16.351168759479588
2027/28,5,2,16-24,2,Active,32,16.47410609319367,16.47410609319367,16.47410609319367,16.351168759479588
2028/29,6,2,16-24,2,Active,32,16.47410609319367,16.47410609319367,16.47410609319367,16.351168759479588
2023/24,1,3,25-34,0,Inactive,32,6.952966625693646,5.143587044872381,7.443041918863069,6.411554366187804
2024/25,2,3,25-34,0,Inactive,32,7.457355719999261,6.927527828808526,7.457355719999261,7.166640312766631
2025/26,3,3,25-34,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2026/27,4,3,25-34,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2027/28,5,3,25-34,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,3,25-34,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,3,25-34,1,Fairly active,32,5.143587044872381,5.143587044872381,7.247738945712793,5.7740608534122035
2024/25,2,3,25-34,1,Fairly active,32,6.927527828808526,6.927527828808526,7.457355719999261,6.976572747441177
2025/26,3,3,25-34,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2026/27,4,3,25-34,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2027/28,5,3,25-34,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,3,25-34,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,3,25-34,2,Active,32,10.3320136022907,9.806215342152337,10.450271783300803,10.195491154890213
2024/25,2,3,25-34,2,Active,32,10.402927597486862,10.402927597486862,10.402927597486862,10.321948983005932
2025/26,3,3,25-34,2,Active,32,10.402927597486862,10.402927597486862,10.402927597486862,10.32883849067459
2026/27,4,3,25-34,2,Active,32,10.402927597486862,10.402927597486862,10.402927597486862,10.32675718138066
2027/28,5,3,25-34,2,Active,32,10.402927597486862,10.402927597486862,10.402927597486862,10.32675718138066
2028/29,6,3,25-34,2,Active,32,10.402927597486862,10.402927597486862,10.402927597486862,10.32675718138066
2023/24,1,4,35-44,0,Inactive,32,6.948082536333194,5.143587044872381,7.457355719999261,6.392026363215403
2024/25,2,4,35-44,0,Inactive,32,7.457355719999261,6.927527828808526,7.457355719999261,7.1335260695672105
2025/26,3,4,35-44,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2026/27,4,4,35-44,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2027/28,5,4,35-44,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,4,35-44,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,4,35-44,1,Fairly active,32,5.8809601436825405,5.143587044872381,7.2106274446396075,5.99958243439832
2024/25,2,4,35-44,1,Fairly active,32,7.457355719999261,6.927527828808526,7.457355719999261,7.05935835543973
2025/26,3,4,35-44,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2026/27,4,4,35-44,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2027/28,5,4,35-44,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2028/29,6,4,35-44,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2023/24,1,4,35-44,2,Active,32,11.972853301009692,11.889429627236009,12.136157902595663,11.955285035095631
2024/25,2,4,35-44,2,Active,32,11.902561642217298,11.889429627236009,11.915693657198588,11.876610294919093
2025/26,3,4,35-44,2,Active,32,11.915693657198588,11.915693657198588,11.915693657198588,11.880836727290047
2026/27,4,4,35-44,2,Active,32,11.915693657198588,11.915693657198588,11.915693657198588,11.882918036583977
2027/28,5,4,35-44,2,Active,32,11.915693657198588,11.915693657198588,11.915693657198588,11.880836727290047
2028/29,6,4,35-44,2,Active,32,11.915693657198588,11.915693657198588,11.915693657198588,11.882918036583977
2023/24,1,5,45-54,0,Inactive,32,6.341535084572442,5.143587044872381,7.249821352925431,6.111762900380903
2024/25,2,5,45-54,0,Inactive,32,7.324743192525073,6.927527828808526,7.457355719999261,7.07591547703944
2025/26,3,5,45-54,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.3156544071640255
2026/27,4,5,45-54,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.3156544071640255
2027/28,5,5,45-54,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.3156544071640255
2028/29,6,5,45-54,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.3156544071640255
2023/24,1,5,45-54,1,Fairly active,32,5.52685524102014,5.52685524102014,7.2199053199079035,6.1344328246247946
2024/25,2,5,45-54,1,Fairly active,32,6.927527828808526,6.927527828808526,7.457355719999261,7.067297583168369
2025/26,3,5,45-54,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.3156544071640255
2026/27,4,5,45-54,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.3156544071640255
2027/28,5,5,45-54,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.3156544071640255
2028/29,6,5,45-54,1,Fairly active,32,7.457355719999261,7.457355719999261,7.457355719999261,7.3156544071640255
2023/24,1,5,45-54,2,Active,32,15.189077361388769,14.724440865104468,15.901846096679042,15.356635527973477
2024/25,2,5,45-54,2,Active,32,14.724440865104468,14.724440865104468,14.724440865104468,14.647550965502875
2025/26,3,5,45-54,2,Active,32,14.724440865104468,14.724440865104468,14.724440865104468,14.640368944013616
2026/27,4,5,45-54,2,Active,32,14.724440865104468,14.724440865104468,14.724440865104468,14.64760715302798
2027/28,5,5,45-54,2,Active,32,14.724440865104468,14.724440865104468,14.724440865104468,14.640368944013616
2028/29,6,5,45-54,2,Active,32,14.724440865104468,14.724440865104468,14.724440865104468,14.64760715302798
2023/24,1,6,55-64,0,Inactive,32,5.143587044872381,5.143587044872381,6.962455215099525,5.832890548673926
2024/25,2,6,55-64,0,Inactive,32,6.927527828808526,6.927527828808526,7.457355719999261,7.034183339968948
2025/26,3,6,55-64,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
2026/27,4,6,55-64,0,Inactive,32,7.457355719999261,7.457355719999261,7.457355719999261,7.299097285564315
