calendar_year,forecast_horizon,age_group_code,age_group,boroughs,borough_median_rate_pct,borough_q25_rate_pct,borough_q75_rate_pct,equal_borough_mean_rate_pct
2023/24,1,2,16-24,32,14.690816616961424,14.690816616961424,14.690816616961424,14.73362263233933
2024/25,2,2,16-24,32,14.690816616961424,14.690816616961424,14.690816616961424,14.73362263233933
2025/26,3,2,16-24,32,14.690816616961424,14.690816616961424,14.690816616961424,14.73362263233933
2026/27,4,2,16-24,32,14.690816616961424,14.690816616961424,14.690816616961424,14.73362263233933
2027/28,5,2,16-24,32,14.690816616961424,14.690816616961424,14.690816616961424,14.73362263233933
2028/29,6,2,16-24,32,14.690816616961424,14.690816616961424,14.690816616961424,14.73362263233933
2023/24,1,3,25-34,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2024/25,2,3,25-34,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2025/26,3,3,25-34,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2026/27,4,3,25-34,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2027/28,5,3,25-34,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2028/29,6,3,25-34,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2023/24,1,4,35-44,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2024/25,2,4,35-44,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2025/26,3,4,35-44,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2026/27,4,4,35-44,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2027/28,5,4,35-44,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2028/29,6,4,35-44,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2023/24,1,5,45-54,32,12.215764565241072,12.215764565241072,12.215764565241072,12.281824429288712
2024/25,2,5,45-54,32,12.215764565241072,12.215764565241072,12.215764565241072,12.281824429288712
2025/26,3,5,45-54,32,12.215764565241072,12.215764565241072,12.215764565241072,12.281824429288712
2026/27,4,5,45-54,32,12.215764565241072,12.215764565241072,12.215764565241072,12.281824429288712
2027/28,5,5,45-54,32,12.215764565241072,12.215764565241072,12.215764565241072,12.281824429288712
2028/29,6,5,45-54,32,12.215764565241072,12.215764565241072,12.215764565241072,12.281824429288712
2023/24,1,6,55-64,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2024/25,2,6,55-64,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2025/26,3,6,55-64,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2026/27,4,6,55-64,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2027/28,5,6,55-64,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2028/29,6,6,55-64,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2023/24,1,7,65-74,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2024/25,2,7,65-74,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2025/26,3,7,65-74,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2026/27,4,7,65-74,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2027/28,5,7,65-74,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2028/29,6,7,65-74,32,10.212178327612055,10.212178327612055,10.212178327612055,10.270973553347691
2023/24,1,8,75-84,32,9.48868454726346,9.48868454726346,9.54291793475045,9.60255701204257
2024/25,2,8,75-84,32,9.48868454726346,9.48868454726346,9.48868454726346,9.56188197142733
2025/26,3,8,75-84,32,9.48868454726346,9.48868454726346,9.48868454726346,9.56188197142733
2026/27,4,8,75-84,32,9.48868454726346,9.48868454726346,9.48868454726346,9.56188197142733
2027/28,5,8,75-84,32,9.48868454726346,9.48868454726346,9.48868454726346,9.56188197142733
2028/29,6,8,75-84,32,9.48868454726346,9.48868454726346,9.48868454726346,9.56188197142733
2023/24,1,9,85+,32,3.088179631589636,3.088179631589636,3.088179631589636,3.172100996013719
2024/25,2,9,85+,32,3.088179631589636,3.088179631589636,3.088179631589636,3.172863172524674
2025/26,3,9,85+,32,3.088179631589636,3.088179631589636,3.088179631589636,3.172863172524674
2026/27,4,9,85+,32,3.088179631589636,3.088179631589636,3.088179631589636,3.172863172524674
2027/28,5,9,85+,32,3.088179631589636,3.088179631589636,3.088179631589636,3.172863172524674
2028/29,6,9,85+,32,3.088179631589636,3.088179631589636,3.088179631589636,3.172863172524674
