year,forecast_horizon,LA_2023,age_group_code,age_group,inactive_rate,fairly_active_rate,active_rate,active_inactive_gap_pp,fairly_active_inactive_gap_pp
9,1,8,2,16-24,0.05964746321776366,0.045149523009677374,0.1636821629954777,10.403469977771405,-1.4497940208086284
9,1,8,3,25-34,0.045149523009677374,0.045149523009677374,0.08407103508811815,3.892151207844078,0.0
9,1,8,4,35-44,0.06298893084903882,0.045149523009677374,0.11847879453364736,5.548986368460854,-1.783940783936145
9,1,8,5,45-54,0.045149523009677374,0.0676211907868889,0.16316173560006475,11.801221259038739,2.2471667777211524
9,1,8,6,55-64,0.045149523009677374,0.045149523009677374,0.12197752423470684,7.682800122502948,0.0
9,1,8,7,65-74,0.03791367283295033,0.045149523009677374,0.11604496749591399,7.813129466296366,0.7235850176727044
9,1,8,8,75-84,0.03543393950351061,0.029415354406156183,0.08193340917010314,4.649946966659253,-0.601858509735443
9,1,8,9,85+,0.023195572158147864,0.04005540754835645,0.03300472780356837,0.9809155645420505,1.6859835390208588
9,1,9,2,16-24,0.08907149740807886,0.05143587044872381,0.1647410609319367,7.566956352385783,-3.763562695935505
9,1,9,3,25-34,0.07443041918863069,0.05143587044872381,0.10402927597486862,2.959885678623793,-2.299454873990688
9,1,9,4,35-44,0.05143587044872381,0.05143587044872381,0.11911454161255129,6.767867116382748,0.0
9,1,9,5,45-54,0.05143587044872381,0.07247738945712794,0.1518907736138877,10.04549031651639,2.104151900840413
9,1,9,6,55-64,0.06927527828808526,0.05143587044872381,0.11735949135988064,4.808421307179538,-1.783940783936145
9,1,9,7,65-74,0.044200020271996765,0.06978405422578765,0.12618940218378796,8.19893819117912,2.558403395379089
9,1,9,8,75-84,0.04172028694255705,0.03570170184520261,0.09622887760645474,5.450859066389769,-0.6018585097354436
9,1,9,9,85+,0.03356019068905464,0.04634175498740289,0.039291075242614805,0.5730884553560162,1.2781564298348245
9,1,17,2,16-24,0.06593381065681012,0.05143587044872381,0.1693874258947797,10.345361523796958,-1.4497940208086306
9,1,17,3,25-34,0.07247738945712794,0.05143587044872381,0.09035738252716459,1.7879993070036653,-2.104151900840413
9,1,17,4,35-44,0.0745735571999926,0.07210627444639607,0.11889429627236009,4.432073907236749,-0.24672827535965336
9,1,17,5,45-54,0.05024484454501304,0.0552685524102014,0.14982926917127895,9.958442462626591,0.502370786518836
9,1,17,6,55-64,0.06927527828808526,0.05143587044872381,0.12200585632272368,5.273057803463842,-1.783940783936145
9,1,17,7,65-74,0.06281594237152113,0.05143587044872381,0.12697767989780348,6.416173752628235,-1.1380071922797323
9,1,17,8,75-84,0.06486263525451548,0.06073352487240292,0.10101238724464827,3.614975199013279,-0.4129110382112562
9,1,17,9,85+,0.02846607522773373,0.05143587044872381,0.039291075242614805,1.0825000014881074,2.296979522099008
9,1,30,2,16-24,0.08907149740807886,0.06927527828808526,0.1647410609319367,7.566956352385783,-1.9796219119993603
9,1,30,3,25-34,0.07443041918863069,0.06979004756179907,0.10402927597486862,2.959885678623793,-0.46403716268316186
9,1,30,4,35-44,0.05143587044872381,0.06978405422578765,0.11911454161255129,6.767867116382748,1.834818377706384
9,1,30,5,45-54,0.05143587044872381,0.0745735571999926,0.1641498041272038,11.271393367848,2.3137686751268793
9,1,30,6,55-64,0.07210627444639607,0.05143587044872381,0.12005282659122089,4.794655214482482,-2.067040399767226
9,1,30,7,65-74,0.044200020271996765,0.05143587044872381,0.1282171118815145,8.401709160951773,0.7235850176727044
9,1,30,8,75-84,0.0369218764267751,0.03570170184520261,0.08821975660914957,5.129788018237448,-0.1220174581572489
9,1,30,9,85+,0.03356019068905464,0.05143587044872381,0.039291075242614805,0.5730884553560162,1.7875679759669167
9,1,35,2,16-24,0.06593381065681012,0.0757627969146761,0.18729697835769937,12.136316770088925,0.982898625786599
9,1,35,3,25-34,0.07785896465754077,0.07785896465754077,0.10253117379422326,2.4672209136682484,0.0
9,1,35,4,35-44,0.07895525862988986,0.0757627969146761,0.1213111049564278,4.235584632653794,-0.3192461715213757
9,1,35,5,45-54,0.07256068574563343,0.058553959867749576,0.15517618107143588,8.261549532580245,-1.4006725877883854
9,1,35,6,55-64,0.05472127790627199,0.05472127790627199,0.13333974851368793,7.861847060741595,0.0
9,1,35,7,65-74,0.07089085280327426,0.05472127790627199,0.13026308735535172,5.9372234552077465,-1.616957489700227
9,1,35,8,75-84,0.045005694400105226,0.06401893232995108,0.10539408867454553,6.03883942744403,1.9013237929845856
9,1,35,9,85+,0.03175148268528192,0.049627162444951065,0.04257648270016298,1.0825000014881063,1.7875679759669145
9,1,44,2,16-24,0.0869753296652142,0.05143587044872381,0.16706328115254515,8.008795148733096,-3.5539459216490386
