series_id,LA_2023,age_group_code,age_group,activity_level_3cat,activity_level_3cat_label,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_activity_group,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_107__age_2__activity_0,107,2,16-24,0,inactive,0.067720843760348,True,borough_age_activity,9,1,0.067720843760348,0,6,107,16-24__inactive,Gradient Boosting,0.08907149740807886,0.08907149740807886,False,observed_year8,8.907149740807887,2.1350653647730864
borough_107__age_2__activity_1,107,2,16-24,1,fairly_active,0.1477422943129205,True,borough_age_activity,9,1,0.1477422943129205,0,6,107,16-24__fairly_active,Gradient Boosting,0.06978405422578765,0.06978405422578765,False,observed_year8,6.978405422578765,-7.795824008713284
borough_107__age_2__activity_2,107,2,16-24,2,active,0.2780604443526274,True,borough_age_activity,9,1,0.2780604443526274,0,6,107,16-24__active,Gradient Boosting,0.16743439616327696,0.16743439616327696,False,observed_year8,16.743439616327695,-11.062604818935043
borough_107__age_3__activity_0,107,3,25-34,0,inactive,0.0820918376561594,True,borough_age_activity,9,1,0.0820918376561594,0,6,107,25-34__inactive,Gradient Boosting,0.0745735571999926,0.0745735571999926,False,observed_year8,7.457355719999261,-0.7518280456166802
borough_107__age_3__activity_1,107,3,25-34,1,fairly_active,0.0239370145665547,True,borough_age_activity,9,1,0.0239370145665547,0,6,107,25-34__fairly_active,Gradient Boosting,0.05024484454501304,0.05024484454501304,False,observed_year8,5.024484454501303,2.630782997845834
borough_107__age_3__activity_2,107,3,25-34,2,active,0.0645638836940231,True,borough_age_activity,9,1,0.0645638836940231,0,6,107,25-34__active,Gradient Boosting,0.11349506927843332,0.11349506927843332,False,observed_year8,11.349506927843333,4.893118558441022
borough_107__age_4__activity_0,107,4,35-44,0,inactive,0.0583042673181279,True,borough_age_activity,9,1,0.0583042673181279,0,6,107,35-44__inactive,Gradient Boosting,0.06927527828808526,0.06927527828808526,False,observed_year8,6.927527828808526,1.097101096995736
borough_107__age_4__activity_1,107,4,35-44,1,fairly_active,0.0543325210966746,True,borough_age_activity,9,1,0.0543325210966746,0,6,107,35-44__fairly_active,Gradient Boosting,0.06927527828808526,0.06927527828808526,False,observed_year8,6.927527828808526,1.4942757191410658
borough_107__age_4__activity_2,107,4,35-44,2,active,0.204362523285887,True,borough_age_activity,9,1,0.204362523285887,0,6,107,35-44__active,Gradient Boosting,0.12121844101459471,0.12121844101459471,False,observed_year8,12.121844101459471,-8.31440822712923
borough_107__age_5__activity_0,107,5,45-54,0,inactive,0.0920503086312898,True,borough_age_activity,9,1,0.0920503086312898,0,6,107,45-54__inactive,Gradient Boosting,0.0745735571999926,0.0745735571999926,False,observed_year8,7.457355719999261,-1.747675143129719
