series_id,LA_2023,age_group_code,age_group,year8_observed_rate,initial_year8_lag_observed,task,year,forecast_horizon,frequent_volunteer_rate_lag1,lag_1_missing,time_trend,borough_category,age_group_category,selected_model,raw_predicted_rate,predicted_rate,was_clipped,lag_source,predicted_rate_pp,change_from_year8_pp
borough_107__age_2,107,2,16-24,0.1830338869817772,True,borough_age,9,1,0.1830338869817772,0,6,107,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,-3.6125720812162947
borough_107__age_3,107,3,25-34,0.062170666090344,True,borough_age,9,1,0.062170666090344,0,6,107,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,3.9951117185776535
borough_107__age_4,107,4,35-44,0.1498867779151033,True,borough_age,9,1,0.1498867779151033,0,6,107,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-4.776499463898276
borough_107__age_5,107,5,45-54,0.1118530314589703,True,borough_age,9,1,0.1118530314589703,0,6,107,45-54,Gradient Boosting,0.12215764565241072,0.12215764565241072,False,observed_year8,12.215764565241072,1.030461419344042
borough_107__age_6,107,6,55-64,0.1111960470819738,True,borough_age,9,1,0.1111960470819738,0,6,107,55-64,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-0.9074263805853258
borough_107__age_7,107,7,65-74,0.1071708277366629,True,borough_age,9,1,0.1071708277366629,0,6,107,65-74,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,-0.5049044460542357
borough_107__age_8,107,8,75-84,0.0852003854696602,True,borough_age,9,1,0.0852003854696602,0,6,107,75-84,Gradient Boosting,0.09488684547263461,0.09488684547263461,False,observed_year8,9.48868454726346,0.9686460002974406
borough_107__age_9,107,9,85+,0.0,True,borough_age,9,1,0.0,0,6,107,85+,Gradient Boosting,0.030881796315896357,0.030881796315896357,False,observed_year8,3.088179631589636,3.088179631589636
borough_109__age_2,109,2,16-24,0.1277280054326884,True,borough_age,9,1,0.1277280054326884,0,6,109,16-24,Gradient Boosting,0.14032712958412633,0.14032712958412633,False,observed_year8,14.032712958412633,1.2599124151437935
borough_109__age_3,109,3,25-34,0.0969215685548594,True,borough_age,9,1,0.0969215685548594,0,6,109,25-34,Gradient Boosting,0.0955407466906326,0.0955407466906326,False,observed_year8,9.55407466906326,-0.13808218642267917
borough_109__age_4,109,4,35-44,0.1080165143988063,True,borough_age,9,1,0.1080165143988063,0,6,109,35-44,Gradient Boosting,0.0955407466906326,0.0955407466906326,False,observed_year8,9.55407466906326,-1.24757677081737
borough_109__age_5,109,5,45-54,0.1028343749638182,True,borough_age,9,1,0.1028343749638182,0,6,109,45-54,Gradient Boosting,0.11557660906692278,0.11557660906692278,False,observed_year8,11.557660906692279,1.2742234103104586
borough_109__age_6,109,6,55-64,0.0892493756523148,True,borough_age,9,1,0.0892493756523148,0,6,109,55-64,Gradient Boosting,0.0955407466906326,0.0955407466906326,False,observed_year8,9.55407466906326,0.6291371038317797
borough_109__age_7,109,7,65-74,0.0879778713050493,True,borough_age,9,1,0.0879778713050493,0,6,109,65-74,Gradient Boosting,0.0955407466906326,0.0955407466906326,False,observed_year8,9.55407466906326,0.7562875385583299
borough_109__age_8,109,8,75-84,0.0,True,borough_age,9,1,0.0,0,6,109,75-84,Gradient Boosting,0.08830580888714668,0.08830580888714668,False,observed_year8,8.830580888714668,8.830580888714668
borough_109__age_9,109,9,85+,1.0,True,borough_age,9,1,1.0,0,6,109,85+,Gradient Boosting,0.02609000174931056,0.02609000174931056,False,observed_year8,2.609000174931056,-97.39099982506895
borough_112__age_2,112,2,16-24,0.2261142180682152,True,borough_age,9,1,0.2261142180682152,0,6,112,16-24,Gradient Boosting,0.14690816616961425,0.14690816616961425,False,observed_year8,14.690816616961424,-7.920605189860094
borough_112__age_3,112,3,25-34,0.0640628486811424,True,borough_age,9,1,0.0640628486811424,0,6,112,25-34,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,3.8058934594978138
borough_112__age_4,112,4,35-44,0.0746204593332339,True,borough_age,9,1,0.0746204593332339,0,6,112,35-44,Gradient Boosting,0.10212178327612054,0.10212178327612054,False,observed_year8,10.212178327612055,2.7501323942886637
