age_group_code,age_group,comparison,historical_period_median_gap_pp,historical_years,historical_median_boroughs,forecast_period_median_gap_pp,forecast_years,forecast_median_boroughs,period_difference_pp
2,16-24,Active - Inactive,10.249552381634105,6,31.5,7.566956352385782,6,32.0,-2.682596029248323
3,25-34,Active - Inactive,6.4180387090969955,6,32.0,2.945571877487601,6,32.0,-3.4724668316093945
4,35-44,Active - Inactive,6.712641778563545,6,32.0,4.458337937199327,6,32.0,-2.2543038413642176
5,45-54,Active - Inactive,10.318779906301865,6,32.0,7.267085145105207,6,32.0,-3.051694761196658
6,55-64,Active - Inactive,8.005373541303005,6,32.0,4.712852491156704,6,32.0,-3.292521050146301
7,65-74,Active - Inactive,9.886735297121255,6,32.0,6.23463687217501,6,32.0,-3.652098424946246
8,75-84,Active - Inactive,7.721059308523935,6,31.0,3.1360249015927826,6,32.0,-4.585034406931152
9,85+,Active - Inactive,0.0,6,15.5,2.4731078069675343,6,32.0,2.4731078069675343
2,16-24,Fairly active - Inactive,0.0,6,30.0,-1.4497940208086257,6,32.0,-1.4497940208086257
3,25-34,Fairly active - Inactive,0.0,6,32.0,0.0,6,32.0,0.0
4,35-44,Fairly active - Inactive,0.0,6,32.0,0.0,6,32.0,0.0
5,45-54,Fairly active - Inactive,0.0,6,32.0,0.0,6,32.0,0.0
6,55-64,Fairly active - Inactive,0.0,6,32.0,0.0,6,32.0,0.0
7,65-74,Fairly active - Inactive,0.0,6,31.0,1.2266390766173858,6,32.0,1.2266390766173858
8,75-84,Fairly active - Inactive,0.0,6,26.0,-1.2120724525360185,6,32.0,-1.2120724525360185
9,85+,Fairly active - Inactive,0.0,6,5.5,4.220439241464874,6,32.0,4.220439241464874
