task,forecast_horizon,origins,mean_effective_n_weighted_tv_pp,worst_effective_n_weighted_tv_pp,mean_mae_pp,mean_rmse_pp,mean_error_pp
borough_activity,1,4,3.3506955312447264,3.6674645589961896,3.8602228118619704,4.937407264780546,-0.7367111537958803
borough_activity,2,3,3.1184994319323196,3.8493390295224015,3.596239004402733,4.613310033215953,-0.5400297806201787
borough_activity,3,2,2.747236908545668,2.894606199036064,3.340094122748674,4.496023041627808,-1.2238044403620814
borough_activity,4,1,3.398704490557934,3.398704490557934,4.25425136279069,5.514379552475228,-2.7072558890977363
borough_age,1,4,4.793150990754441,5.02925887609697,5.99241548275354,10.020401400315126,-1.7443893280385225
borough_age,2,3,4.6292557604873865,5.620448067381397,5.6652439066720985,9.118624950615496,-1.2791103133103368
borough_age,3,2,4.772779661042682,4.894570291596126,5.810009282106998,9.002791645998009,-1.72853575314271
borough_age,4,1,5.264689992079275,5.264689992079275,6.282136627154456,10.561380052585696,-3.0185406087429643
borough_age_activity,1,4,6.436185611602823,6.856450519261083,7.988225211023102,13.610886141323228,-2.7053409364662997
borough_age_activity,2,3,6.142413148115669,7.0574367394452855,7.7806275783070005,13.06436506584925,-2.0113657827651217
borough_age_activity,3,2,6.51965962913736,6.750664189457013,8.170139365025882,13.335388133502004,-2.4649968191278004
borough_age_activity,4,1,6.990508360370133,6.990508360370133,8.408358461751185,14.599298456260918,-4.338147493635149
